"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.0062,-0.046,-0.099,0.057,-0.021,-0.046,0.0067,-0.088,-0.081,-0.087,-0.099,0.097,0.04,0.057,-0.0029,0.042,-0.036,-0.069,0.031,-0.0043,-0.026,-0.0012,-0.075,-0.083,-0.0078,0.11,-0.038,-0.066,0.073,0.026,0.039,-0.051,0.0046,-0.075,-0.057,-0.027,-0.051,0.02,0.031,-0.061,-0.069,0.0015,-0.066,-0.097,-0.056,-0.072,-0.041,-0.073,-0.036,-0.015,-0.022,0.061,0.095,-0.032,0.087,0.029,-0.029,-0.038,-0.056,0.061,-0.05,0.053,-0.065,-0.058,-0.039,-0.11,-0.096,-0.0097,0.076,-0.0015,-0.031
"2","^AXJO",-0.016,-0.061,-0.1,0.057,-0.028,-0.047,0.0062,-0.095,-0.073,-0.084,-0.097,0.096,0.044,0.048,-0.011,0.043,-0.036,-0.063,0.035,-0.0081,-0.036,-0.0062,-0.08,-0.087,-0.005,0.11,-0.042,-0.08,0.072,0.024,0.032,-0.052,0.0076,-0.072,-0.061,-0.023,-0.052,0.015,0.033,-0.063,-0.072,0.00077,-0.067,-0.097,-0.072,-0.071,-0.039,-0.072,-0.04,-0.018,-0.029,0.04,0.092,-0.034,0.081,0.027,-0.03,-0.053,-0.068,0.061,-0.056,0.049,-0.067,-0.063,-0.041,-0.12,-0.094,-0.013,0.073,0.0029,-0.036
"3","^BFX",0.08,0.038,-0.037,0.1,0.096,0.0016,0.082,0.01,-0.044,-0.054,-0.047,0.013,0.0045,-0.025,0.019,0.0055,0.056,-0.027,-0.015,0.095,-0.017,0.048,0.0077,0.0061,0.00017,0.062,0.08,0.0083,0.017,0.00028,0.0026,0.072,0.001,-0.062,0.012,0.043,0.068,0.062,-0.029,0.011,-1.3e-05,0.039,-0.0059,0.015,0.084,0.0095,-0.067,0.037,0.045,0.0075,0.1,0.047,0.031,-0.0037,0.045,0.039,0.012,-0.057,0.016,0.065,-0.055,0.19,0.09,0.074,0.016,0.025,0.048,0.051,0.025,0.064,0.032
"4","^BSESN",-0.1,-0.037,0.028,-0.027,-0.021,-0.15,-0.04,-0.14,-0.13,-0.14,-0.12,0.004,-0.0074,0.016,0.018,0.023,-0.11,-0.14,-0.09,-0.14,-0.021,-0.12,-0.09,-0.18,0.06,0.05,0.02,0.004,0.035,-0.051,-0.048,-0.087,-0.08,-0.09,-0.073,-0.1,0.0064,-0.12,0.029,-0.095,-0.1,-0.056,-0.098,-0.11,0.028,-0.091,-0.25,-0.082,-0.023,0.0061,-0.068,0.017,0.0077,0.035,-0.059,-0.14,-0.013,-0.0012,-0.17,-0.0035,-0.18,-0.047,-0.078,-0.16,-0.098,-0.13,-0.13,-0.12,-0.14,-0.075,-0.13
"5","^BUK100P",0.048,-0.05,-0.042,0.065,0.088,0.0081,0.037,0.023,-0.025,-0.0095,-0.0077,-0.044,0.044,-0.024,0.036,-0.068,0.031,-0.033,-0.039,0.017,-0.0061,0.011,0.023,0.027,0.0063,0.053,-0.0059,-0.042,-0.027,-0.027,-0.02,0.037,0.057,-0.079,0.039,0.057,0.11,0.028,-0.056,0.016,-0.0045,0.012,0.026,0.018,-0.021,0.021,-0.05,0.056,-0.061,0.0081,0.073,0.019,-0.0022,-0.0035,0.033,0.019,0.0024,-0.075,-0.019,0.048,-0.086,0.069,0.06,0.074,-0.019,0.062,0.085,0.047,0.0081,0.052,0.002
"6","^BVSP",-0.055,0.044,0.011,0.048,-3e-04,-0.081,-0.032,-0.054,0.042,-0.08,-0.0042,-0.016,-0.06,0.024,0.01,-0.054,-0.065,-0.033,-0.076,0.022,0.011,-0.085,-0.044,-0.08,-0.058,-0.056,0.09,0.016,3e-05,-0.027,-0.098,-0.0017,-0.054,-0.11,-0.044,-0.042,0.049,0.12,0.025,-0.028,-0.053,-0.065,-0.071,-0.049,0.017,-0.12,-0.075,-0.11,0.0059,-0.077,-0.097,0.058,0.089,-0.00062,-0.02,-0.033,0.015,-0.014,-0.064,-0.1,-0.019,-0.044,-0.084,-0.0066,-0.036,-0.0092,0.00016,0.00032,-0.056,-0.0068,-0.056
"7","^DJI",0.038,0.0013,-0.092,0.13,0.094,-0.0073,0.044,0.024,0.0015,-0.074,-0.0019,0.02,-0.067,-0.03,-0.04,0.0048,0.0057,-0.04,-0.073,0.048,0.015,0.014,0.025,0.015,-0.044,0.011,0.066,-0.036,0.02,-0.0095,-0.061,0.051,-0.013,-0.018,0.08,0.0063,0.044,0.067,0.0049,0.037,0.012,0.0022,-0.0051,-0.016,0.0079,-0.02,-0.036,-0.027,0.015,-0.018,0.011,-0.033,0.044,-0.03,0.017,0.049,-0.017,-0.1,-0.033,0.031,-0.019,0.093,0.024,0.095,0.051,0.051,0.031,0.05,0.027,0.1,-0.01
"8","^FCHI",0.075,-0.016,-0.045,0.12,0.1,0.015,0.11,0.021,-0.0036,-0.015,-0.0066,-0.02,-0.022,0.0011,0.033,0.012,0.062,-0.0083,-0.018,0.063,-0.015,0.047,0.052,0.037,-0.045,-0.0028,0.1,-0.0099,-0.0023,-0.031,-0.025,0.025,0.029,-0.07,0.0022,0.067,0.091,0.062,-0.054,0.019,-0.002,0.022,0.0085,0.00098,0.043,0.029,-0.069,0.041,0.0091,-0.00022,0.082,-0.029,-0.0033,-0.022,0.0096,0.049,0.027,-0.073,0.01,0.062,-0.08,0.15,0.064,0.092,0.017,0.073,0.055,0.077,0.056,0.047,0.0018
"9","^FTSE",0.062,-0.028,-0.05,0.059,0.066,0.011,0.0075,0.019,-0.019,-0.029,-0.0097,-0.0049,0.023,-0.0038,0.018,-0.036,0.027,-0.044,-0.028,0.013,-0.026,0.04,0.029,0.024,-0.015,0.031,0.025,-0.0084,0.019,-0.031,-0.037,0.06,0.018,-0.097,0.021,0.051,0.055,0.029,-0.045,0.023,0.0027,0.019,0.012,0.024,0.018,0.021,-0.082,0.043,-0.07,-0.012,0.066,0.036,0.011,-0.0021,0.036,0.038,0.016,-0.065,-0.009,0.036,-0.077,0.084,0.059,0.08,-0.012,0.086,0.08,0.048,0.027,0.041,0.0042
"10","^GDAXI",0.061,-0.025,-0.044,0.083,0.084,0.026,0.1,-0.0016,0.018,-0.02,-0.042,-0.0052,-0.018,0.012,-0.018,0.037,0.035,-0.00029,-0.022,0.094,-0.033,0.034,0.033,0.036,0.022,0.041,0.1,-0.052,0.014,-0.034,-0.00096,-0.0033,0.039,-0.014,-0.00093,0.064,0.082,0.039,-0.034,-0.01,-0.02,0.014,-0.011,-0.0096,0.026,-0.0031,-0.041,0.022,-0.0058,-0.048,0.071,-0.0067,0.0038,-0.031,-0.0032,0.035,0.019,-0.079,-0.0047,0.038,-0.096,0.093,0.058,0.072,0.012,0.023,0.023,0.059,0.029,0.046,-0.042
