"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.15,0.047,0.02,0.11,0.071,-0.0019,0.11,0.083,-0.16,0.099,0.077,0.03,0.092,0.077,0.056,0.12,0.055,-0.11,-0.083,0.067,0.0038,0.11,0.12,0.017,0.12,0.046,-0.028,0.089,0.15,0.07,0.077,0.12,0.075,0.11,0.013,0.091,0.17,0.037,-0.14,-0.02,-0.091,0.084,0.037,-0.019,0.037,0.031,0.042,-0.016,0.037,-0.017,0.083,0.087,0.044,0.15,0.11,0.083,0.14,0.065,0.11,0.025,0.096,0.016,-0.099,0.069,0.087,0.18,0.058,-0.12,0.067,0.065,0.039,0.036,-0.041,-0.099,0.12,0.095,0.079,0.074,0.13,0.096,0.086,0.075,0.035,0.11,-0.014,-0.044,0.074,0.071,0.016,0.043,-0.012,0.026,0.13,0.078,0.016,0.15,0.11,0.048,0.036,0.094
"2","^AXJO",0.16,0.054,0.019,0.1,0.079,-0.00088,0.11,0.087,-0.17,0.099,0.085,0.033,0.099,0.081,0.054,0.12,0.062,-0.11,-0.083,0.069,0.0056,0.11,0.13,0.017,0.12,0.05,-0.021,0.095,0.15,0.066,0.085,0.12,0.066,0.12,0.022,0.1,0.17,0.032,-0.14,-0.028,-0.096,0.091,0.032,-0.031,0.037,0.032,0.051,-0.01,0.033,-0.023,0.085,0.088,0.049,0.15,0.1,0.088,0.14,0.063,0.12,0.029,0.1,0.024,-0.096,0.071,0.092,0.17,0.064,-0.13,0.072,0.068,0.041,0.033,-0.033,-0.1,0.12,0.091,0.08,0.07,0.14,0.099,0.087,0.078,0.042,0.12,-0.015,-0.05,0.07,0.08,0.023,0.045,-0.013,0.027,0.13,0.073,0.014,0.16,0.12,0.05,0.037,0.096
"3","^BFX",0.16,0.12,0.074,0.17,0.1,0.063,0.15,0.14,-0.0054,0.15,0.17,0.15,0.082,0.19,0.17,0.092,0.089,0.041,0.058,0.11,0.07,0.14,0.12,0.12,0.13,0.12,0.092,0.14,0.2,0.17,0.14,0.17,0.13,0.12,0.074,0.085,0.19,0.011,0.026,0.029,0.066,0.11,0.09,0.021,0.088,0.11,0.092,0.045,0.043,0.08,0.14,0.14,0.11,0.2,0.15,0.12,0.14,0.13,0.12,0.15,0.14,0.058,0.049,0.1,0.13,0.089,0.11,0.052,0.082,0.17,0.15,0.12,-0.092,0.03,0.15,0.082,0.19,0.06,0.12,0.031,0.11,0.076,-0.0086,0.11,0.014,0.0042,0.11,0.11,0.091,0.11,0.11,0.16,0.15,0.13,0.12,0.079,0.16,0.064,0.11,0.12
"4","^BSESN",0.029,-0.012,0.065,-0.023,0.012,0.015,0.084,0.089,-0.069,0.072,0.078,-0.059,0.096,0.1,0.089,0.032,0.0093,-0.035,-0.073,-0.0096,0.025,-0.0036,-0.012,0.015,0.069,0.078,-0.032,0.056,0.13,0.071,-0.07,0.087,0.066,0.067,0.045,-0.0061,0.055,0.0027,-0.13,-0.012,-0.082,0.016,0.061,0.059,0.08,-0.059,-0.038,0.029,0.039,-0.1,0.061,0.068,0.038,0.12,0.009,0.026,0.0068,0.13,-0.032,0.0092,0.049,0.017,-0.094,0.021,0.096,0.049,0.017,-0.12,-0.062,0.064,-0.056,0.086,-0.027,-0.061,0.056,-0.026,0.057,0.07,0.016,0.063,0.081,0.044,0.033,-0.07,0.12,0.066,0.085,0.0029,-0.03,0.1,0.011,0.037,-0.0078,0.00034,0.01,0.06,0.079,0.073,0.098,0.1
"5","^BUK100P",0.13,0.076,0.069,0.15,0.11,0.088,0.19,0.14,-0.094,0.093,0.11,0.073,0.074,0.11,0.14,0.033,0.051,0.014,-0.044,0.088,-0.0081,0.092,0.1,0.057,0.11,0.16,0.11,0.13,0.16,0.19,0.11,0.15,0.11,0.11,0.082,0.059,0.16,-0.0021,-0.093,0.064,0.031,0.092,0.082,-0.065,0.038,0.091,0.079,0.078,0.09,0.028,0.14,0.13,0.021,0.16,0.19,0.069,0.081,0.094,0.1,0.1,0.082,0.00094,-0.058,0.095,0.088,0.14,0.075,-0.029,0.073,0.12,0.11,0.041,-0.024,0.0012,0.12,0.099,0.12,0.038,0.12,0.022,0.07,0.07,0.016,0.087,0.015,0.025,0.065,0.11,0.054,0.16,0.09,0.15,0.067,0.083,0.083,0.13,0.1,0.033,0.076,0.049
"6","^BVSP",0.1,0.13,0.19,0.067,0.088,0.12,0.095,0.071,0.062,0.11,0.12,0.092,0.11,0.094,0.19,0.064,0.034,0.099,-0.094,0.083,0.11,0.091,0.06,0.087,0.19,0.11,0.032,0.091,0.079,0.082,0.1,0.17,0.14,0.13,0.059,0.054,0.15,0.049,0.094,0.046,0.063,0.061,0.17,0.025,0.055,0.013,0.045,0.16,0.12,-0.028,0.11,0.078,0.088,0.12,0.055,0.11,0.088,0.076,0.071,0.14,0.098,0.082,0.093,0.18,0.086,0.12,0.082,0.074,0.048,0.12,0.11,0.12,0.045,0.096,0.062,0.12,0.08,0.077,0.062,0.1,0.11,0.097,0.045,0.054,-0.00016,0.014,0.11,0.094,0.073,0.1,-0.094,0.065,0.12,0.049,0.13,0.077,0.12,0.11,0.14,0.11
"7","^DJI",0.064,0.22,0.17,0.065,0.093,0.079,0.12,0.12,0.095,0.18,0.16,0.14,0.17,0.15,0.23,0.13,0.07,0.087,-0.00027,0.14,0.17,0.13,0.11,0.13,0.14,0.17,0.036,0.14,0.22,0.19,0.16,0.18,0.097,0.14,0.13,0.19,0.21,0.063,0.11,0.11,0.17,0.13,0.18,0.094,0.15,0.066,0.0061,0.16,0.18,0.092,0.12,0.19,0.12,0.21,0.18,0.12,0.098,0.16,0.12,0.19,0.16,0.11,0.045,0.11,0.19,0.047,0.18,0.14,0.032,0.22,0.12,0.18,-0.058,0.16,0.094,0.17,0.15,0.075,0.072,0.1,0.14,0.11,-0.099,0.078,-0.049,-0.038,0.21,0.14,0.13,0.11,0.098,0.18,0.14,0.1,0.17,0.086,0.18,0.17,0.2,0.13
"8","^FCHI",0.16,0.14,0.13,0.17,0.13,0.062,0.21,0.16,0.003,0.16,0.17,0.14,0.13,0.19,0.18,0.094,0.095,0.05,0.072,0.14,0.046,0.15,0.14,0.11,0.14,0.16,0.11,0.14,0.21,0.18,0.18,0.22,0.2,0.15,0.069,0.14,0.22,0.024,0.034,0.051,0.093,0.14,0.16,0.02,0.14,0.13,0.077,0.094,0.11,0.097,0.13,0.16,0.1,0.2,0.2,0.13,0.16,0.15,0.13,0.19,0.16,0.033,0.007,0.088,0.15,0.091,0.13,0.059,0.092,0.17,0.18,0.12,-0.05,0.074,0.16,0.1,0.18,0.054,0.14,0.1,0.15,0.13,0.015,0.12,0.0083,0.03,0.14,0.17,0.13,0.18,0.088,0.13,0.17,0.12,0.17,0.089,0.19,0.076,0.17,0.16
"9","^FTSE",0.15,0.12,0.08,0.18,0.087,0.062,0.21,0.15,-0.072,0.14,0.15,0.069,0.096,0.13,0.15,0.087,0.049,0.0091,-0.029,0.13,-0.011,0.12,0.087,0.064,0.11,0.17,0.1,0.12,0.19,0.19,0.14,0.17,0.13,0.15,0.013,0.14,0.18,0.032,-0.069,0.051,0.027,0.11,0.094,-0.053,0.078,0.12,0.069,0.069,0.092,0.015,0.15,0.15,0.03,0.19,0.17,0.1,0.14,0.12,0.11,0.17,0.12,0.0067,-0.054,0.095,0.14,0.13,0.1,-0.028,0.078,0.13,0.11,0.068,-0.032,0.0017,0.12,0.1,0.12,0.035,0.12,0.041,0.09,0.09,0.047,0.1,0.029,0.046,0.11,0.11,0.044,0.19,0.098,0.15,0.12,0.11,0.094,0.065,0.14,0.067,0.11,0.077
"10","^GDAXI",0.22,0.19,0.15,0.16,0.18,0.1,0.25,0.2,-0.047,0.24,0.23,0.16,0.19,0.26,0.21,0.084,0.12,0.0087,0.037,0.2,0.096,0.2,0.2,0.15,0.21,0.14,0.089,0.17,0.24,0.21,0.17,0.26,0.22,0.19,0.1,0.14,0.23,0.048,-0.046,0.055,0.039,0.19,0.19,0.011,0.16,0.12,0.081,0.15,0.11,0.051,0.17,0.2,0.099,0.21,0.2,0.16,0.17,0.22,0.17,0.28,0.23,0.079,-0.051,0.11,0.22,0.15,0.17,-0.01,0.078,0.15,0.14,0.19,-0.05,0.017,0.21,0.12,0.21,0.049,0.19,0.15,0.24,0.2,-0.032,0.13,0.0074,0.036,0.21,0.16,0.097,0.18,0.18,0.2,0.2,0.16,0.2,0.14,0.25,0.13,0.21,0.21
"11","^GSPC",0.11,0.28,0.23,0.1,0.13,0.11,0.18,0.17,0.067,0.22,0.21,0.2,0.21,0.2,0.3,0.18,0.064,0.095,0.021,0.18,0.2,0.16,0.16,0.17,0.18,0.17,0.065,0.21,0.26,0.25,0.17,0.27,0.15,0.2,0.19,0.21,0.26,0.1,0.096,0.084,0.16,0.15,0.24,0.081,0.18,0.045,-0.013,0.23,0.23,0.1,0.14,0.23,0.19,0.24,0.18,0.17,0.14,0.24,0.16,0.24,0.23,0.16,0.011,0.12,0.24,0.074,0.23,0.13,0.03,0.25,0.13,0.23,-0.046,0.15,0.1,0.2,0.2,0.13,0.098,0.14,0.16,0.19,-0.15,0.13,-0.11,-0.06,0.25,0.19,0.13,0.18,0.14,0.22,0.21,0.16,0.23,0.11,0.22,0.23,0.25,0.19
"12","^GSPTSE",0.16,0.23,0.18,0.13,0.16,0.092,0.19,0.2,0.042,0.2,0.2,0.19,0.21,0.2,0.26,0.18,0.11,0.12,0.017,0.17,0.16,0.18,0.12,0.16,0.21,0.15,0.08,0.18,0.22,0.2,0.19,0.25,0.19,0.24,0.15,0.14,0.26,0.0087,0.084,0.035,0.12,0.15,0.21,0.073,0.17,0.075,0.074,0.15,0.2,0.077,0.14,0.26,0.2,0.25,0.17,0.18,0.16,0.22,0.15,0.2,0.21,0.14,0.0024,0.15,0.2,0.12,0.18,0.11,0.075,0.24,0.16,0.21,-0.17,0.1,0.16,0.22,0.21,0.17,0.14,0.1,0.15,0.17,-0.16,0.15,-0.097,-0.068,0.21,0.15,0.11,0.15,0.23,0.22,0.17,0.16,0.21,0.13,0.21,0.19,0.24,0.13
"13","^IPSA",-0.034,-0.088,-0.052,-0.076,-0.099,-0.048,0.031,0.019,-0.0081,-0.014,-0.071,-0.025,-0.059,-0.036,-0.083,0.0044,0.0075,-0.0022,-0.0026,-0.034,0.00064,-0.053,-0.087,-0.095,-0.084,-0.0048,-0.00079,-0.031,0.081,-0.056,-0.059,-0.01,0.012,-0.027,-0.069,-0.011,-0.04,-0.11,-0.042,0.082,-0.0023,-0.062,-0.054,0.0011,-0.072,0.079,0.1,-0.11,-0.052,0.0031,-0.04,-0.057,-0.027,-0.03,0.0029,-0.023,-0.018,-0.025,-0.087,-0.11,-0.052,-0.035,-0.01,-0.079,-0.016,0.083,-0.031,-0.024,0.076,0.02,0.016,-0.029,-0.061,-0.06,-0.012,-0.037,-0.055,-0.025,-0.015,-0.047,-0.063,-0.086,-0.016,-0.056,0.033,-0.023,-0.022,-0.088,-0.23,-0.036,0.005,-0.054,-0.027,-0.037,-0.055,-0.031,-0.039,-0.042,-0.0047,-0.045
"14","^IXIC",0.11,0.26,0.22,0.099,0.14,0.1,0.2,0.2,0.021,0.22,0.21,0.22,0.19,0.22,0.31,0.18,0.058,0.078,0.042,0.18,0.2,0.14,0.16,0.18,0.18,0.15,0.064,0.24,0.25,0.28,0.15,0.3,0.18,0.21,0.22,0.17,0.26,0.11,0.061,0.036,0.12,0.13,0.23,0.042,0.19,-0.0018,-0.049,0.24,0.21,0.071,0.13,0.22,0.23,0.23,0.14,0.15,0.14,0.26,0.16,0.25,0.26,0.18,-0.015,0.083,0.26,0.08,0.23,0.09,-0.0017,0.27,0.084,0.24,-0.023,0.11,0.086,0.17,0.2,0.13,0.091,0.18,0.15,0.24,-0.15,0.14,-0.14,-0.062,0.25,0.18,0.12,0.19,0.15,0.22,0.23,0.19,0.23,0.11,0.24,0.24,0.29,0.23
"15","^JKSE",0.035,0.015,-0.003,0.038,0.025,0.11,0.13,0.037,-0.092,0.079,0.078,0.066,0.058,0.053,0.097,0.14,-0.0076,0.053,-0.065,-0.049,0.0096,0.0091,0.063,0.062,0.028,0.075,0.025,0.1,0.13,0.092,0.0029,0.12,0.058,0.034,0.06,0.056,0.052,0.087,-0.04,0.11,0.064,0.022,0.051,-0.024,0.047,-0.026,-0.081,-0.005,0.033,0.074,0.078,0.096,0.044,0.097,0.053,0.016,-0.0076,0.087,0.0037,0.041,0.099,0.077,-0.1,0.031,0.078,0.1,0.082,0.039,-0.041,0.096,-0.068,0.09,0.021,0.093,0.023,-0.0023,0.075,0.057,0.016,0.078,0.08,-0.0016,0.085,0.039,0.13,0.046,0.13,0.04,0.013,0.037,0.027,0.066,0.087,0.015,0.059,0.074,0.12,0.045,0.084,0.072
"16","^JN0U",0.19,0.085,0.13,0.099,0.13,0.12,0.23,0.16,0.015,0.17,0.19,0.14,0.17,0.2,0.18,0.14,0.099,0.049,-0.007,0.11,0.1,0.078,0.12,0.15,0.16,0.2,0.034,0.16,0.27,0.23,0.13,0.23,0.2,0.11,0.14,0.12,0.23,-0.0011,0.011,0.071,0.052,0.13,0.13,0.036,0.11,0.07,0.076,0.15,0.18,0.018,0.17,0.19,0.13,0.23,0.17,0.12,0.12,0.17,0.15,0.12,0.17,0.11,0.0062,0.12,0.17,0.19,0.19,0.038,0.094,0.18,0.13,0.17,-0.087,0.041,0.18,0.17,0.19,0.11,0.15,0.092,0.1,0.17,-0.049,0.13,0.022,-0.054,0.16,0.12,-0.025,0.17,0.2,0.18,0.15,0.2,0.18,0.13,0.21,0.15,0.17,0.18
"17","^KLSE",0.026,0.023,0.04,2.2e-05,0.0064,0.073,0.021,0.04,-0.13,0.054,0.0055,0.063,0.0089,0.0017,0.08,-0.017,-0.04,0.065,-0.017,0.098,0.051,0.019,0.0039,-0.049,0.014,0.1,0.044,0.038,0.064,0.024,0.00061,0.074,-0.065,0.068,-0.015,0.0034,0.0049,0.047,-0.18,0.029,-0.028,-0.0053,0.034,0.046,-0.033,-0.018,0.0041,-0.12,0.03,-0.0018,0.11,0.02,0.0031,0.06,-0.0041,0.025,0.039,-0.025,-0.0066,0.051,0.0067,-0.055,-0.11,0.065,0.027,0.037,0.012,-0.042,-0.016,0.046,-0.053,0.021,0.075,-0.026,0.0053,0.031,-0.0074,-0.038,0.024,-0.067,0.017,-0.063,0.054,0.013,0.13,0.092,0.032,0.023,-0.089,0.011,-0.015,-0.0037,0.07,-0.011,-0.031,0.047,0.078,0.074,0.039,-0.0057
"18","^KS11",-0.016,-0.055,-0.062,0.021,-0.028,-0.045,0.057,-0.026,-0.052,-0.0098,-0.018,-0.053,-0.088,0.0016,-0.038,-0.028,0.0084,-0.076,-0.023,-0.061,-0.0034,0.0095,0.025,-0.027,-0.0054,-0.029,-0.051,-0.025,0.047,-0.037,-0.056,0.018,-0.068,-0.0087,-0.018,0.028,0.0078,-0.019,-0.072,-0.029,-0.085,-0.011,0.022,0.023,-0.033,-0.00054,0.052,-0.12,-0.067,-0.052,-0.079,-0.039,-0.036,0.017,-0.0048,-0.0052,-0.011,-0.057,-0.033,-0.12,-0.022,-0.027,-0.083,-0.028,-0.023,0.092,-0.0067,-0.09,0.041,-0.082,0.0084,-0.022,-0.1,-0.079,-0.012,-0.063,-0.053,-0.017,0.014,0.022,-0.025,-0.0082,-0.034,-0.012,0.01,-0.033,0.037,-0.051,-0.098,-0.037,-0.12,-0.018,0.0057,-0.0079,-0.053,0.035,0.0045,0.0059,0.011,-0.022
