"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.032,0.087,0.11,-0.0026,-0.011,-0.081,0.088,0.046,0.16,0.14,0.14,-0.0055,0.11,0.16,0.14,0.21,0.062,-0.021,0.035,0.054,0.13,-0.00025,0.14,0.021,0.0057,-0.12,0.086,0.14,-0.0067,0.065,0.0093,-0.021,0.13,0.16,0.19,0.092,0.017,0.0029,0.021,0.16,0.04,-0.034,0.19,0.16,0.17,0.019,0.026,0.031,0.044,0.15,0.1,0.1,0.21,0.14,0.095,0.12,0.12,-0.015,0.054,0.15,0.048,0.1,0.0039,0.24,0.018,0.11,NA,-0.016,0.062,0.0053,0.12,0.0072,-0.025,-0.0045,0.14,-0.2,-0.04,-0.18,-0.25,0.058,0.053,0.11,-0.01,0.05,0.069,0.11,0.076,0.2,-0.00038,0.063,0.17,0.034,0.069
"2","^AXJO",-0.03,0.091,0.12,-0.0033,-0.0076,-0.084,0.09,0.043,0.16,0.15,0.15,-0.0014,0.11,0.17,0.13,0.22,0.059,-0.022,0.033,0.06,0.13,-0.0042,0.14,0.016,0.012,-0.1,0.096,0.14,0.00092,0.069,0.0012,-0.022,0.14,0.16,0.19,0.086,0.017,0.007,0.029,0.18,0.041,-0.039,0.19,0.16,0.18,0.014,0.033,0.037,0.056,0.15,0.095,0.1,0.22,0.14,0.1,0.12,0.12,-0.016,0.059,0.16,0.053,0.11,0.0072,0.26,0.012,0.13,NA,-0.013,0.061,0.00017,0.12,0.0048,-0.025,-0.0048,0.15,-0.21,-0.034,-0.18,-0.26,0.051,0.039,0.13,-0.018,0.05,0.083,0.12,0.065,0.21,0.0015,0.061,0.16,0.034,0.07
"3","^BFX",-0.002,0.19,0.23,0.012,0.044,0.0084,0.16,0.063,0.31,0.28,0.3,0.11,0.18,0.27,0.2,0.28,0.069,-0.028,0.054,0.08,0.3,0.025,0.29,0.046,0.14,-0.11,0.2,0.24,0.092,0.12,0.018,-0.03,0.28,0.28,0.27,0.21,-0.0027,0.062,0.14,0.25,0.044,-0.025,0.29,0.25,0.28,0.046,0.046,0.16,0.17,0.22,0.13,0.24,0.33,0.27,0.21,0.27,0.23,0.033,0.17,0.27,0.076,0.23,-0.0023,0.43,0.04,0.26,NA,0.062,0.057,0.02,0.16,0.027,-0.0017,0.052,0.19,-0.22,-0.085,-0.2,-0.22,0.099,0.12,0.21,-0.0096,0.12,0.18,0.24,0.12,0.36,-0.0065,0.21,0.25,0.084,0.18
"4","^BSESN",-0.0079,0.12,0.096,0.015,-0.027,-0.048,0.036,0.1,0.1,0.095,0.12,0.025,0.053,0.14,0.062,0.11,0.11,-0.05,0.12,0.044,0.11,0.12,0.047,0.091,-0.033,-0.24,0.049,0.14,0.0039,0.064,0.059,-0.042,0.13,0.089,0.13,0.11,-0.04,-0.015,-0.073,0.16,0.077,-0.048,0.18,0.11,0.12,0.0073,0.035,0.055,0.065,0.12,0.074,0.068,0.075,0.046,0.077,0.06,0.059,-0.0097,0.045,0.081,-0.042,0.08,-0.0069,0.17,0.051,0.11,NA,0.023,0.1,0.00056,0.069,0.058,0.076,0.057,0.081,-0.12,-0.14,-0.12,-0.15,0.043,0.053,0.068,-0.027,0.043,0.083,0.082,0.04,0.11,-0.033,0.076,0.13,0.041,0.055
"5","^BUK100P",-0.032,0.15,0.21,0.0057,0.027,0.011,0.13,0.075,0.26,0.21,0.24,0.051,0.13,0.23,0.17,0.17,0.088,-0.049,0.088,0.091,0.19,0.084,0.26,0.074,0.074,-0.14,0.14,0.18,0.044,0.097,0.006,-0.037,0.24,0.19,0.18,0.15,-0.036,0.029,0.12,0.19,0.05,-0.029,0.2,0.17,0.2,0.032,0.043,0.13,0.064,0.18,0.12,0.18,0.27,0.2,0.14,0.19,0.16,0.0088,0.14,0.18,0.028,0.15,-0.0038,0.33,0.085,0.18,NA,0.04,0.065,0.063,0.12,0.064,0.035,0.033,0.12,-0.19,-0.083,-0.14,-0.15,0.074,0.11,0.13,-0.014,0.1,0.11,0.19,0.089,0.31,-0.0071,0.18,0.2,0.053,0.12
"6","^BVSP",-0.034,0.17,0.25,0.053,0.12,-0.02,0.2,0.091,0.32,0.28,0.28,0.12,0.17,0.29,0.19,0.22,0.084,-0.039,0.085,0.059,0.28,0.083,0.3,0.069,0.18,-0.051,0.14,0.26,0.033,0.17,0.04,-0.0068,0.28,0.29,0.26,0.24,0.0074,0.091,0.18,0.27,0.069,-0.045,0.24,0.19,0.21,0.036,0.042,0.18,0.14,0.27,0.15,0.25,0.32,0.27,0.24,0.23,0.21,0.096,0.22,0.26,0.11,0.23,0.089,0.34,0.045,0.22,NA,0.083,0.14,0.045,0.18,0.056,0.07,0.1,0.19,-0.28,-0.048,-0.24,-0.29,0.13,0.067,0.18,0.02,0.1,0.14,0.29,0.12,0.36,0.018,0.18,0.22,0.099,0.2
"7","^DJI",-0.0031,0.19,0.29,0.021,0.15,0.022,0.25,0.049,0.38,0.3,0.32,0.14,0.18,0.29,0.24,0.29,0.031,-0.051,0.045,0.047,0.3,0.042,0.35,0.037,0.09,-0.0073,0.2,0.26,0.1,0.16,0.046,0.034,0.36,0.3,0.29,0.26,0.025,0.14,0.24,0.28,0.052,0.012,0.29,0.23,0.28,0.084,0.058,0.2,0.15,0.26,0.13,0.31,0.33,0.33,0.29,0.28,0.26,0.12,0.24,0.33,0.098,0.27,0.071,0.4,0.052,0.27,NA,0.12,0.11,0.1,0.2,0.027,0.087,0.12,0.2,-0.28,-0.036,-0.19,-0.26,0.15,0.1,0.23,-0.02,0.13,0.15,0.3,0.16,0.43,0.045,0.25,0.24,0.11,0.26
"8","^FCHI",-0.02,0.13,0.18,0.011,0.013,-0.027,0.11,0.063,0.25,0.22,0.24,0.061,0.13,0.25,0.17,0.24,0.074,-0.028,0.063,0.092,0.24,0.05,0.27,0.059,0.084,-0.14,0.13,0.21,0.03,0.069,0.02,-0.057,0.23,0.21,0.2,0.17,-0.049,0.03,0.12,0.22,0.032,-0.014,0.24,0.18,0.21,0.068,0.029,0.13,0.087,0.19,0.09,0.2,0.29,0.2,0.18,0.19,0.18,0.017,0.15,0.21,0.029,0.16,-0.031,0.36,0.049,0.2,NA,0.026,0.039,0.02,0.1,0.034,0.0083,0.028,0.14,-0.19,-0.07,-0.17,-0.18,0.061,0.095,0.17,-0.00059,0.09,0.12,0.18,0.078,0.32,-0.0037,0.15,0.22,0.064,0.13
"9","^FTSE",-0.0021,0.17,0.23,-0.0025,0.039,0.022,0.14,0.029,0.3,0.24,0.26,0.053,0.14,0.24,0.19,0.2,0.039,-0.049,0.04,0.12,0.26,0.043,0.28,0.029,0.089,-0.13,0.17,0.22,0.057,0.14,-0.019,0.0058,0.26,0.23,0.22,0.18,-0.045,0.036,0.11,0.23,0.019,-0.025,0.23,0.19,0.25,0.043,0.03,0.16,0.099,0.2,0.11,0.21,0.29,0.24,0.18,0.21,0.21,0.03,0.13,0.23,0.057,0.2,0.0058,0.37,0.035,0.23,NA,0.031,0.063,0.033,0.14,0.025,0.028,-0.0029,0.17,-0.23,-0.04,-0.18,-0.2,0.098,0.12,0.16,0.00087,0.14,0.16,0.2,0.15,0.35,-0.017,0.2,0.23,0.038,0.15
"10","^GDAXI",0.013,0.17,0.18,-0.0053,0.045,0.02,0.15,0.048,0.29,0.26,0.29,0.085,0.15,0.3,0.18,0.23,0.054,-0.032,0.11,0.067,0.24,0.053,0.3,0.05,0.092,-0.14,0.16,0.23,0.041,0.085,0.054,-0.028,0.27,0.24,0.22,0.23,-0.042,0.068,0.15,0.22,0.049,0.017,0.26,0.2,0.25,0.035,0.057,0.16,0.09,0.24,0.12,0.22,0.27,0.23,0.17,0.22,0.22,0.04,0.17,0.22,0.053,0.21,-0.015,0.36,0.052,0.22,NA,0.061,0.06,0.056,0.1,0.032,0.069,0.11,0.18,-0.17,-0.051,-0.13,-0.16,0.075,0.11,0.18,0.044,0.11,0.14,0.23,0.11,0.34,0.00028,0.2,0.25,0.11,0.15
