"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.92,0.46,0.111,0.364,0.74,0.458,0.914,0.158,0.195,0.16,0.11,0.118,0.523,0.363,0.962,0.497,0.564,0.266,0.616,0.945,0.677,0.985,0.229,0.18,0.901,0.0738,0.544,0.286,0.242,0.672,0.535,0.414,0.942,0.226,0.357,0.662,0.414,0.742,0.621,0.328,0.269,0.981,0.293,0.12,0.372,0.246,0.505,0.239,0.567,0.807,0.722,0.327,0.128,0.607,0.162,0.641,0.641,0.545,0.364,0.323,0.425,0.392,0.297,0.355,0.535,0.0795,0.122,0.877,0.219,0.98,0.614
"2","^AXJO",0.794,0.324,0.099,0.359,0.654,0.451,0.92,0.126,0.243,0.175,0.12,0.122,0.481,0.44,0.859,0.492,0.565,0.309,0.576,0.897,0.561,0.921,0.2,0.163,0.937,0.0854,0.501,0.198,0.247,0.705,0.608,0.405,0.904,0.247,0.329,0.707,0.399,0.804,0.599,0.311,0.25,0.99,0.28,0.118,0.25,0.254,0.531,0.248,0.524,0.767,0.638,0.518,0.141,0.584,0.193,0.66,0.631,0.394,0.275,0.324,0.37,0.429,0.28,0.312,0.515,0.0591,0.132,0.836,0.242,0.962,0.559
"3","^BFX",0.196,0.538,0.556,0.0934,0.121,0.979,0.185,0.873,0.481,0.382,0.447,0.832,0.943,0.686,0.762,0.929,0.37,0.663,0.804,0.125,0.782,0.44,0.901,0.922,0.998,0.318,0.198,0.894,0.787,0.996,0.967,0.248,0.987,0.32,0.842,0.492,0.275,0.32,0.641,0.866,1,0.532,0.925,0.805,0.175,0.879,0.284,0.552,0.465,0.905,0.0954,0.449,0.624,0.953,0.466,0.528,0.85,0.358,0.8,0.298,0.375,0.00227,0.15,0.232,0.795,0.685,0.439,0.413,0.687,0.303,0.603
"4","^BSESN",0.0967,0.549,0.655,0.66,0.735,0.0186,0.521,0.0285,0.0406,0.0244,0.0621,0.949,0.905,0.793,0.768,0.717,0.0786,0.0254,0.149,0.0209,0.737,0.0588,0.146,0.00412,0.333,0.423,0.75,0.948,0.574,0.417,0.438,0.16,0.197,0.146,0.239,0.109,0.918,0.0581,0.638,0.127,0.0954,0.371,0.117,0.0677,0.655,0.145,5.92e-05,0.188,0.708,0.922,0.273,0.786,0.902,0.569,0.344,0.0239,0.84,0.985,0.0071,0.955,0.00287,0.451,0.21,0.00844,0.116,0.0366,0.034,0.0543,0.0252,0.23,0.0385
"5","^BUK100P",0.44,0.421,0.503,0.3,0.155,0.897,0.554,0.708,0.692,0.879,0.902,0.483,0.476,0.7,0.562,0.272,0.621,0.598,0.533,0.786,0.922,0.854,0.718,0.666,0.919,0.396,0.925,0.503,0.661,0.668,0.75,0.558,0.363,0.207,0.528,0.363,0.0681,0.653,0.365,0.803,0.943,0.849,0.681,0.775,0.741,0.734,0.425,0.368,0.324,0.897,0.244,0.765,0.972,0.955,0.594,0.765,0.97,0.23,0.766,0.439,0.167,0.269,0.335,0.233,0.756,0.319,0.174,0.449,0.897,0.403,0.974
"6","^BVSP",0.376,0.479,0.856,0.437,0.996,0.191,0.611,0.385,0.501,0.196,0.946,0.793,0.338,0.696,0.871,0.39,0.3,0.591,0.224,0.724,0.864,0.172,0.479,0.196,0.349,0.365,0.149,0.794,1,0.668,0.113,0.978,0.385,0.0731,0.481,0.498,0.434,0.0529,0.694,0.658,0.393,0.298,0.251,0.435,0.781,0.0538,0.227,0.0854,0.924,0.215,0.119,0.353,0.15,0.992,0.748,0.598,0.811,0.821,0.305,0.0982,0.755,0.481,0.179,0.915,0.568,0.882,0.998,0.996,0.367,0.913,0.369
"7","^DJI",0.546,0.984,0.137,0.0348,0.131,0.907,0.485,0.699,0.981,0.233,0.975,0.747,0.283,0.629,0.523,0.939,0.927,0.517,0.242,0.443,0.808,0.826,0.692,0.814,0.482,0.855,0.286,0.561,0.749,0.879,0.327,0.415,0.832,0.774,0.199,0.92,0.475,0.284,0.938,0.548,0.847,0.972,0.935,0.799,0.899,0.743,0.566,0.661,0.808,0.767,0.861,0.595,0.482,0.628,0.789,0.435,0.781,0.101,0.592,0.621,0.762,0.135,0.705,0.127,0.417,0.414,0.621,0.418,0.666,0.0915,0.868
"8","^FCHI",0.229,0.803,0.469,0.063,0.108,0.806,0.0908,0.741,0.954,0.808,0.915,0.752,0.719,0.986,0.597,0.845,0.316,0.894,0.775,0.309,0.813,0.45,0.401,0.553,0.469,0.964,0.0919,0.874,0.971,0.623,0.686,0.692,0.639,0.259,0.972,0.284,0.142,0.319,0.388,0.764,0.974,0.722,0.892,0.988,0.492,0.637,0.264,0.508,0.884,0.997,0.19,0.647,0.958,0.722,0.878,0.433,0.669,0.239,0.872,0.316,0.198,0.0134,0.307,0.138,0.779,0.244,0.379,0.219,0.365,0.453,0.977
"9","^FTSE",0.317,0.65,0.42,0.341,0.29,0.864,0.904,0.762,0.757,0.641,0.876,0.937,0.706,0.951,0.773,0.559,0.667,0.477,0.654,0.83,0.671,0.525,0.644,0.703,0.813,0.622,0.683,0.893,0.758,0.614,0.549,0.337,0.767,0.117,0.739,0.408,0.38,0.644,0.467,0.713,0.965,0.762,0.849,0.698,0.77,0.731,0.186,0.49,0.26,0.851,0.291,0.562,0.861,0.973,0.564,0.542,0.793,0.295,0.885,0.561,0.215,0.178,0.339,0.196,0.846,0.166,0.2,0.445,0.669,0.506,0.946
"10","^GDAXI",0.327,0.683,0.483,0.181,0.179,0.672,0.096,0.98,0.773,0.748,0.504,0.933,0.774,0.846,0.775,0.555,0.578,0.996,0.721,0.131,0.601,0.591,0.596,0.568,0.725,0.508,0.0917,0.405,0.825,0.584,0.988,0.957,0.536,0.823,0.988,0.304,0.186,0.534,0.589,0.868,0.748,0.825,0.865,0.878,0.676,0.96,0.506,0.725,0.925,0.442,0.255,0.914,0.952,0.622,0.958,0.577,0.756,0.204,0.94,0.542,0.124,0.135,0.348,0.246,0.842,0.706,0.711,0.347,0.641,0.464,0.498
"11","^GSPC",0.464,0.63,0.128,0.0491,0.193,0.825,0.42,0.85,0.728,0.298,0.897,0.983,0.599,0.879,0.857,0.699,0.799,0.579,0.397,0.416,0.934,0.683,0.646,0.703,0.268,0.716,0.245,0.848,0.974,0.584,0.21,0.518,0.99,0.963,0.2,0.782,0.259,0.334,0.955,0.523,0.956,0.946,0.878,0.792,0.615,0.67,0.597,0.613,0.59,0.585,0.795,0.89,0.755,0.589,0.824,0.441,0.414,0.138,0.498,0.729,0.667,0.23,0.517,0.14,0.332,0.408,0.366,0.374,0.328,0.131,0.765
"12","^GSPTSE",0.11,0.961,0.00852,0.0045,0.0902,0.192,0.129,0.336,0.886,0.641,0.935,0.159,0.923,0.951,0.841,0.968,0.187,0.808,0.998,0.343,0.857,0.0189,0.172,0.117,0.508,0.564,0.87,0.301,0.633,0.601,0.27,0.175,0.598,0.502,0.536,0.166,0.573,0.0884,0.901,0.308,0.39,0.627,0.566,0.946,0.911,0.438,0.84,0.942,0.85,0.963,0.345,0.199,0.954,0.53,0.917,0.0174,0.769,0.199,0.783,0.316,0.253,0.0468,0.246,0.0492,0.0577,0.0817,0.405,0.0857,0.269,0.289,0.501
