"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.0292,0.482,0.761,0.109,0.291,0.977,0.101,0.216,0.0147,0.139,0.252,0.652,0.17,0.249,0.408,0.0742,0.414,0.112,0.215,0.318,0.955,0.11,0.063,0.796,0.0739,0.492,0.675,0.184,0.0219,0.295,0.249,0.0699,0.264,0.0964,0.841,0.174,0.0119,0.587,0.0423,0.767,0.174,0.213,0.585,0.778,0.58,0.65,0.535,0.815,0.582,0.801,0.218,0.192,0.514,0.023,0.0874,0.219,0.0431,0.331,0.0951,0.713,0.154,0.816,0.138,0.302,0.195,0.00595,0.388,0.0701,0.319,0.33,0.566,0.592,0.538,0.141,0.0824,0.156,0.238,0.272,0.0499,0.151,0.199,0.267,0.605,0.0922,0.836,0.511,0.272,0.292,0.809,0.519,0.858,0.7,0.0543,0.243,0.806,0.0234,0.106,0.477,0.593,0.161
"2","^AXJO",0.0193,0.422,0.775,0.117,0.237,0.99,0.115,0.193,0.0105,0.141,0.206,0.624,0.141,0.226,0.42,0.072,0.354,0.113,0.214,0.303,0.934,0.0907,0.0491,0.802,0.064,0.458,0.752,0.155,0.0271,0.322,0.203,0.0712,0.323,0.0812,0.745,0.126,0.0093,0.636,0.0317,0.675,0.151,0.177,0.633,0.647,0.586,0.636,0.445,0.878,0.625,0.732,0.204,0.19,0.466,0.0219,0.119,0.188,0.0365,0.349,0.065,0.67,0.13,0.715,0.151,0.288,0.17,0.0129,0.341,0.0583,0.284,0.314,0.537,0.626,0.619,0.122,0.0725,0.172,0.231,0.294,0.0347,0.14,0.194,0.243,0.535,0.0653,0.822,0.455,0.297,0.234,0.734,0.507,0.845,0.684,0.0455,0.277,0.84,0.0155,0.0777,0.457,0.587,0.153
"3","^BFX",0.0175,0.084,0.267,0.0114,0.13,0.348,0.0278,0.034,0.936,0.0281,0.013,0.0295,0.22,0.00398,0.01,0.171,0.183,0.538,0.385,0.0981,0.294,0.0313,0.0647,0.0696,0.0486,0.0798,0.17,0.0387,0.00213,0.0102,0.0319,0.00937,0.0436,0.0681,0.271,0.207,0.00447,0.866,0.694,0.67,0.326,0.0949,0.178,0.752,0.187,0.106,0.171,0.507,0.526,0.231,0.0303,0.0367,0.0921,0.00308,0.0249,0.0846,0.0427,0.0534,0.0835,0.0211,0.0328,0.385,0.464,0.135,0.0502,0.183,0.1,0.44,0.219,0.0131,0.0205,0.0639,0.17,0.651,0.0241,0.22,0.00353,0.374,0.0634,0.648,0.105,0.257,0.898,0.107,0.839,0.95,0.0922,0.0908,0.177,0.106,0.0971,0.0189,0.0252,0.0479,0.0729,0.238,0.0144,0.344,0.098,0.0807
"4","^BSESN",0.669,0.864,0.329,0.731,0.864,0.826,0.211,0.187,0.303,0.28,0.247,0.382,0.154,0.136,0.187,0.632,0.89,0.606,0.28,0.886,0.71,0.958,0.853,0.824,0.305,0.244,0.629,0.402,0.0504,0.288,0.297,0.192,0.326,0.316,0.501,0.928,0.412,0.968,0.0585,0.857,0.22,0.811,0.363,0.377,0.23,0.378,0.576,0.669,0.558,0.13,0.366,0.314,0.567,0.0852,0.894,0.703,0.919,0.0541,0.636,0.891,0.462,0.797,0.163,0.757,0.15,0.469,0.801,0.0685,0.358,0.337,0.406,0.2,0.685,0.361,0.405,0.697,0.393,0.298,0.813,0.347,0.227,0.51,0.621,0.294,0.0626,0.327,0.207,0.965,0.658,0.125,0.865,0.577,0.908,0.996,0.88,0.37,0.239,0.275,0.146,0.125
"5","^BUK100P",0.0439,0.255,0.303,0.0244,0.11,0.191,0.00339,0.0326,0.163,0.165,0.107,0.28,0.271,0.0874,0.0419,0.623,0.444,0.836,0.513,0.19,0.904,0.171,0.129,0.394,0.112,0.0134,0.11,0.0475,0.0199,0.00372,0.0904,0.0255,0.115,0.115,0.224,0.375,0.0162,0.975,0.166,0.343,0.647,0.169,0.223,0.336,0.576,0.173,0.237,0.246,0.179,0.674,0.0379,0.0601,0.752,0.0157,0.00451,0.302,0.227,0.162,0.122,0.121,0.222,0.989,0.384,0.159,0.188,0.0376,0.267,0.668,0.275,0.0694,0.0937,0.542,0.724,0.985,0.0668,0.14,0.0832,0.572,0.0796,0.742,0.293,0.297,0.815,0.197,0.82,0.714,0.335,0.0959,0.42,0.0167,0.179,0.0247,0.32,0.216,0.218,0.0528,0.131,0.623,0.256,0.468
"6","^BVSP",0.126,0.0487,0.00519,0.317,0.187,0.0628,0.156,0.291,0.355,0.102,0.0809,0.171,0.0987,0.16,0.00401,0.342,0.618,0.141,0.162,0.215,0.0949,0.176,0.375,0.195,0.00522,0.106,0.632,0.176,0.241,0.221,0.132,0.00951,0.0392,0.0611,0.38,0.424,0.0255,0.468,0.159,0.496,0.347,0.36,0.0113,0.714,0.41,0.843,0.504,0.0171,0.0636,0.681,0.0922,0.244,0.19,0.0679,0.416,0.116,0.19,0.257,0.292,0.0397,0.145,0.222,0.164,0.00683,0.202,0.0627,0.22,0.269,0.476,0.0651,0.0873,0.0701,0.5,0.154,0.354,0.0815,0.231,0.252,0.357,0.134,0.104,0.147,0.499,0.425,0.998,0.838,0.0922,0.162,0.278,0.129,0.161,0.33,0.0709,0.463,0.0565,0.253,0.0701,0.111,0.0415,0.107
"7","^DJI",0.339,0.00105,0.0094,0.333,0.166,0.242,0.0841,0.0678,0.156,0.00659,0.0148,0.0303,0.0107,0.0204,0.000457,0.0504,0.295,0.194,0.997,0.037,0.0122,0.0529,0.0861,0.0438,0.0419,0.0107,0.589,0.0304,0.00114,0.00408,0.0159,0.00564,0.148,0.0315,0.0485,0.00483,0.00199,0.35,0.111,0.0876,0.0113,0.0523,0.00728,0.159,0.0299,0.327,0.928,0.0154,0.00615,0.172,0.0643,0.0041,0.0833,0.00178,0.00788,0.075,0.145,0.0137,0.0679,0.0051,0.0174,0.101,0.505,0.0898,0.0054,0.481,0.00604,0.0315,0.633,0.00109,0.0822,0.00573,0.387,0.015,0.16,0.00986,0.0237,0.261,0.283,0.117,0.0406,0.0876,0.14,0.247,0.466,0.574,0.0019,0.0354,0.0484,0.0907,0.143,0.00773,0.0425,0.13,0.0108,0.198,0.00834,0.0123,0.00328,0.0487
"8","^FCHI",0.0148,0.0321,0.0438,0.0105,0.0444,0.359,0.00124,0.0185,0.965,0.014,0.0131,0.039,0.06,0.00477,0.00865,0.16,0.156,0.456,0.28,0.0346,0.496,0.0221,0.039,0.0977,0.0382,0.0169,0.0889,0.0413,0.00182,0.00673,0.00766,0.000954,0.00252,0.023,0.304,0.0405,0.000967,0.716,0.609,0.452,0.167,0.0428,0.0202,0.765,0.0392,0.0496,0.253,0.162,0.116,0.148,0.0445,0.0192,0.133,0.00322,0.00304,0.0502,0.0195,0.0239,0.0525,0.00406,0.0174,0.625,0.917,0.19,0.0299,0.173,0.0458,0.382,0.169,0.0116,0.00851,0.0752,0.458,0.272,0.0162,0.126,0.00658,0.425,0.0321,0.129,0.0217,0.048,0.82,0.0634,0.901,0.652,0.0427,0.0115,0.0554,0.00829,0.187,0.0572,0.00932,0.0765,0.0112,0.186,0.00517,0.254,0.0127,0.0192
"9","^FTSE",0.0227,0.0793,0.231,0.00865,0.196,0.359,0.00176,0.0245,0.286,0.0392,0.0287,0.304,0.152,0.0511,0.0282,0.194,0.468,0.892,0.662,0.0582,0.869,0.0796,0.193,0.343,0.093,0.013,0.121,0.0679,0.00418,0.00342,0.0423,0.0109,0.0487,0.0248,0.848,0.0375,0.00604,0.635,0.307,0.447,0.691,0.115,0.163,0.429,0.243,0.0852,0.301,0.305,0.168,0.825,0.0252,0.0204,0.66,0.00519,0.00922,0.132,0.0412,0.0727,0.103,0.00916,0.0653,0.92,0.422,0.158,0.0332,0.0482,0.135,0.677,0.247,0.054,0.113,0.312,0.634,0.98,0.0694,0.138,0.08,0.607,0.0661,0.537,0.182,0.181,0.487,0.138,0.666,0.495,0.113,0.0869,0.508,0.00535,0.145,0.0246,0.0852,0.111,0.159,0.332,0.0356,0.318,0.0928,0.253
"10","^GDAXI",0.000715,0.00522,0.0205,0.0164,0.00717,0.13,0.000205,0.0024,0.488,0.000299,0.000545,0.0163,0.00407,7.28e-05,0.00126,0.213,0.0766,0.897,0.582,0.00228,0.152,0.00208,0.00325,0.0235,0.00194,0.0308,0.185,0.0131,0.000214,0.00168,0.0119,9.29e-05,0.00113,0.00508,0.121,0.0402,0.000404,0.476,0.494,0.417,0.561,0.00422,0.00343,0.868,0.0167,0.0855,0.229,0.0278,0.0994,0.452,0.0112,0.00325,0.138,0.00131,0.0033,0.0181,0.0126,0.000853,0.00905,2.1e-05,0.000475,0.24,0.449,0.109,0.000985,0.0209,0.0133,0.881,0.243,0.0234,0.0391,0.00433,0.457,0.796,0.00182,0.0796,0.00138,0.468,0.0034,0.0208,0.000365,0.00329,0.639,0.0557,0.912,0.595,0.00198,0.0168,0.147,0.00823,0.00653,0.00215,0.0022,0.0152,0.00207,0.0387,0.000195,0.0565,0.00141,0.0018
