"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.069,0.1,0.03,0.023,0.071,0.023,0.0063,0.041,0.01,-0.05,0.0064,0.0095,-0.027,0.026,0.011,-0.093,0.0026,0.045,-0.033,0.038,0.041,0.025,0.058,0.019,-0.02,0.035,-0.046,0.097,-0.021,-0.049,-0.025,0.03,0.013,-0.035,-0.051,0.036,0.13,0.068,-0.0049,0.055,-0.023,0.025,0.0021,0.013,0.088,-0.002,-0.097,-0.014,0.042,0.014,0.024,-0.081,0.029,0.021,-0.0086,0.029,-0.042,-0.077,-0.041,0.012,-0.018,0.028,0.047,0.13,0.056,0.092,0.039,0.079,0.062,0.11,0.036
"2","ACN",0.056,0.057,-0.03,0.067,0.1,0.027,0.082,0.034,0.00045,-0.016,0.013,0.057,0.026,0.069,-0.01,-0.048,0.042,-0.0011,-0.037,0.02,0.011,0.035,0.053,0.056,-0.097,0.098,0.12,-0.0082,-0.06,0.0029,-0.057,0.03,-0.044,0.027,0.017,0.031,0.072,0.14,0.024,0.033,0.028,0.013,0.082,0.0079,0.043,-0.00067,-0.054,0.03,0.09,0.048,0.018,0.08,0.045,-0.016,0.03,0.068,-0.0043,-0.036,0.061,0.065,-0.04,0.11,0.056,0.068,0.069,0.05,0.11,0.062,0.057,0.083,-0.0044
"3","ADBE",0.067,0.075,-0.052,0.01,0.053,0.011,0.1,0.015,-0.039,-0.041,0.01,0.067,-0.057,-0.038,-0.16,-0.059,0.028,-0.036,0.045,0.018,-0.03,0.075,0.04,0.06,0.0075,0.1,0.018,0.044,0.00012,-0.036,-0.043,0.0025,-0.0057,0.0024,0.0015,0.041,0.077,0.078,0.034,0.066,-0.0057,0.066,-0.015,-0.021,0.13,-0.055,-0.01,-0.047,0.0086,-0.0033,0.031,0.11,0.039,0.038,0.017,0.073,-0.014,-0.017,-0.035,-0.024,-0.037,0.11,0.086,0.076,0.059,0.05,0.079,0.1,0.12,0.034,0.022
"4","AMAT",0.062,0.058,0.019,0.04,0.054,-0.017,0.034,0.016,0.065,-0.049,-0.02,-0.044,-0.033,0.025,0.074,-0.031,-0.033,0.069,-0.0036,0.048,0.05,-0.036,0.017,-0.0042,-0.045,0.1,0.065,0.013,-0.035,-0.00073,0.0081,0.0069,0.015,0.016,-0.018,0.035,0.05,0.076,0.024,0.072,-0.005,-0.0073,-0.036,0.0073,0.079,-0.051,-0.067,-0.032,0.042,0.029,0.042,0.083,0.09,-0.01,0.035,-0.02,-0.027,-0.017,-0.038,0.073,-0.071,0.016,0.065,0.07,0.021,0.031,0.031,0.047,0.038,0.027,-0.017
"5","AMD",0.077,0.065,-0.022,-0.031,0.016,0.01,0.015,0.038,-0.0061,-0.037,-0.053,-0.082,-0.015,0.035,0.024,-0.05,-0.025,-0.085,-0.01,0.092,0.016,0.00042,0.022,0.011,0.064,0.06,0.047,0.076,-0.061,-0.0062,0.036,0.029,0.083,-0.06,0.016,0.0088,0.099,0.025,-0.015,0.079,-0.033,-0.026,-0.02,-0.0012,0.071,-0.034,-0.046,-0.04,0.03,-0.037,0.056,0.098,-0.02,-0.0027,-0.046,-0.0042,-0.017,0.013,-0.093,0.045,-0.094,0.046,0.019,0.053,-0.018,0.085,0.15,0.067,0.05,0.092,-0.033
"6","AMZN",0.083,0.049,-0.0098,0.068,0.033,0.068,0.069,0.053,-0.026,0.0061,0.056,0.069,0.069,0.0046,0.0066,-0.054,0.053,0.031,-0.031,0.046,-0.018,0.079,0.059,0.084,0.017,0.12,-0.042,-0.018,-0.023,-0.011,-0.022,0.048,-0.094,0.0044,-0.083,0.043,0.012,0.096,-0.013,0.08,-0.0082,0.065,0.012,0.02,0.04,-0.002,-0.03,-0.0069,0.0096,0.0023,0.067,0.013,-0.029,0.02,0.0081,0.07,-0.035,-0.039,-0.037,-0.022,-0.075,0.09,0.09,0.14,0.065,0.1,0.092,0.1,0.092,0.066,0.031
"7","ASML",0.13,0.065,0.024,0.073,0.14,0.06,0.11,0.11,0.049,0.0091,0.029,0.053,0.017,-0.033,0.073,-0.065,0.072,0.084,0.03,0.088,0.093,0.081,0.1,0.097,-0.058,0.12,0.051,0.02,0.014,0.02,0.017,0.067,0.02,0.061,0.025,0.14,0.09,0.083,0.017,0.14,-0.025,0.13,0.076,0.072,0.094,0.068,-0.045,0.04,-0.01,0.055,0.11,-0.034,0.008,0.025,0.071,0.1,-0.0058,-0.019,0.019,0.013,0.016,0.082,0.15,0.16,0.082,0.15,0.082,0.16,0.062,0.099,0.042
"8","AVGO",0.063,0.026,0.008,0.059,0.12,-0.0019,0.019,0.012,0.04,-0.07,-0.033,-0.036,-0.018,-0.0016,0.1,0.014,-0.016,-0.046,0.021,0.05,0.037,0.0085,-0.00099,-0.0084,-0.041,0.041,0.013,0.018,0.074,-0.063,-0.0065,0.011,0.011,-0.0026,0.0037,0.024,0.0021,0.0077,-0.045,0.048,-0.044,0.092,-0.016,-0.028,0.049,-0.016,-0.026,-0.026,0.0063,0.03,-0.025,0.016,-0.047,-0.047,-0.032,0.025,-0.014,0.0067,0.032,0.06,-0.028,0.037,-0.00045,0.085,0.042,0.1,0.02,0.058,0.089,0.082,0.015
"9","BABA",0.1,0.09,-0.053,0.13,0.15,0.022,0.06,0.054,0.073,-0.024,0.016,0.015,0.0049,-0.028,-0.064,-0.086,0.044,0.058,-0.0021,0.058,0.017,0.064,0.084,0.042,0.027,0.1,0.018,0.026,0.0075,-0.034,-0.011,0.11,-0.028,-0.036,-0.031,0.049,0.055,0.095,-0.028,0.09,0.0039,0.13,0.0046,0.03,0.072,0.014,-0.063,0.022,0.065,0.034,0.0095,0.011,-0.026,-0.0013,0.084,0.077,-0.07,-0.0085,-0.015,0.062,-0.013,0.051,0.08,0.14,0.087,0.16,0.081,0.086,0.077,0.083,0.1
"10","CRM",0.011,0.069,-0.092,0.058,0.03,0.021,-0.0025,-0.051,-0.093,-0.049,-0.012,0.016,-0.098,-0.031,-0.0076,0.017,-0.012,-0.038,-0.051,-0.0022,-0.05,0.019,-0.0094,-0.0085,-0.027,-0.1,-0.00056,0.0071,-0.014,-0.059,-0.037,-0.058,-0.032,0.021,-0.072,-0.044,0.039,-0.046,-0.047,-0.0035,-0.011,-0.011,-0.04,-0.097,0.051,-0.068,0.021,-0.068,0.024,-0.079,0.021,0.074,0.018,-0.039,-0.043,0.011,0.051,-0.0084,-0.025,-0.045,-0.099,0.039,0.051,0.011,-0.026,0.017,-0.0048,0.028,0.0065,-0.023,-0.03
