"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.01,0.21,0.24,-0.0069,0.19,0.035,0.23,0.016,0.34,0.28,0.27,0.23,0.14,0.3,0.16,0.22,-0.0082,-0.021,0.041,0.012,0.28,0.066,0.39,0.029,0.13,-0.022,0.19,0.25,0.075,0.15,0.12,0.12,0.3,0.25,0.22,0.3,0.055,0.2,0.28,0.22,0.027,0.073,0.23,0.3,0.21,-0.029,0.14,0.26,0.11,0.25,0.076,0.26,0.27,0.29,0.26,0.27,0.19,0.24,0.21,0.31,0.15,0.3,0.062,0.32,0.015,0.3,NA,0.23,0.18,0.16,0.15,0.083,0.09,0.18,0.058,-0.2,-0.015,-0.13,-0.19,0.21,0.075,0.15,0.086,0.17,0.096,0.32,0.074,0.34,0.13,0.29,0.19,0.17,0.31
"2","ACN",-0.017,0.14,0.22,-0.068,0.052,0.036,0.19,0.0095,0.31,0.25,0.24,0.1,0.14,0.29,0.18,0.2,0.044,-0.057,0.037,0.048,0.19,0.038,0.28,0.025,0.035,0.029,0.16,0.21,0.074,0.18,0.038,0.061,0.29,0.24,0.22,0.21,0.055,0.15,0.21,0.16,0.1,-0.041,0.24,0.2,0.19,0.062,0.05,0.11,0.081,0.28,0.082,0.22,0.23,0.26,0.17,0.22,0.18,0.12,0.17,0.26,0.036,0.22,0.038,0.3,0.028,0.25,NA,0.05,0.059,0.074,0.12,-0.0013,0.054,0.099,0.13,-0.18,-0.084,-0.11,-0.16,0.11,0.073,0.15,0.0075,0.21,0.14,0.22,0.16,0.3,-0.014,0.22,0.17,0.065,0.2
"3","ADBE",0.03,0.21,0.22,-0.045,0.11,0.086,0.2,-0.034,0.3,0.26,0.25,0.18,0.15,0.29,0.21,0.25,-0.039,-0.04,0.066,0.0093,0.27,0.032,0.32,0.014,0.082,0.089,0.17,0.28,0.1,0.17,0.12,0.035,0.27,0.26,0.24,0.28,0.017,0.24,0.25,0.2,0.061,0.099,0.22,0.32,0.21,0.033,0.051,0.23,0.12,0.29,0.12,0.22,0.3,0.3,0.25,0.26,0.2,0.21,0.23,0.29,0.052,0.3,0.12,0.35,0.024,0.31,NA,0.2,0.13,0.12,0.17,-0.019,0.15,0.18,0.15,-0.26,0.025,-0.2,-0.24,0.16,0.11,0.18,0.072,0.21,0.14,0.29,0.14,0.32,0.13,0.22,0.25,0.074,0.23
"4","AMAT",-0.043,0.15,0.24,0.021,0.11,0.00073,0.22,0.097,0.31,0.3,0.25,0.081,0.2,0.31,0.25,0.24,0.092,-0.094,0.047,0.018,0.31,0.066,0.36,0.055,0.13,0.03,0.18,0.26,0.12,0.21,0.034,0.024,0.3,0.31,0.26,0.27,0.05,0.19,0.27,0.24,0.099,0.068,0.29,0.25,0.23,0.044,0.081,0.22,0.11,0.27,0.16,0.23,0.28,0.35,0.24,0.31,0.24,0.053,0.21,0.28,0.04,0.26,0.021,0.35,0.05,0.26,NA,0.13,0.099,0.081,0.11,0.055,0.07,0.14,0.16,-0.24,-0.066,-0.21,-0.24,0.12,0.15,0.18,-0.022,0.16,0.19,0.25,0.23,0.41,0.032,0.23,0.22,0.011,0.22
"5","AMD",0.033,0.16,0.19,0.038,0.13,0.00056,0.23,0.017,0.26,0.25,0.21,0.16,0.11,0.24,0.16,0.19,-0.00083,-0.045,-0.0078,0.039,0.25,0.072,0.31,0.019,0.015,-0.0089,0.16,0.19,0.059,0.13,0.11,0.061,0.26,0.24,0.17,0.26,0.017,0.19,0.2,0.16,0.036,0.073,0.22,0.23,0.19,0.028,0.13,0.23,0.034,0.24,0.05,0.26,0.21,0.26,0.3,0.22,0.14,0.17,0.15,0.26,-0.028,0.27,0.14,0.27,0.0053,0.23,NA,0.16,0.11,0.082,0.16,0.082,0.079,0.12,0.092,-0.18,-0.00092,-0.16,-0.17,0.19,0.11,0.15,0.13,0.2,0.11,0.22,0.14,0.32,0.15,0.25,0.24,0.047,0.18
"6","AMZN",0.062,0.18,0.17,-0.044,0.083,0.068,0.17,-0.05,0.25,0.18,0.24,0.18,0.1,0.23,0.13,0.19,-0.062,-0.018,0.066,-0.009,0.2,-0.019,0.3,-0.053,0.085,0.0032,0.12,0.17,0.062,0.12,0.14,0.039,0.21,0.17,0.13,0.22,0.04,0.27,0.22,0.12,0.036,0.074,0.19,0.24,0.13,0.039,0.11,0.17,0.036,0.19,0.081,0.18,0.21,0.23,0.23,0.25,0.11,0.17,0.19,0.21,0.057,0.19,0.099,0.25,-0.025,0.24,NA,0.24,0.1,0.14,0.1,-0.032,0.062,0.14,0.074,-0.17,0.054,-0.17,-0.16,0.13,0.072,0.09,0.062,0.14,0.088,0.24,0.078,0.22,0.16,0.22,0.16,0.12,0.15
"7","ASML",-0.0067,0.18,0.22,-0.012,0.1,0.06,0.2,0.059,0.28,0.27,0.23,0.15,0.17,0.29,0.22,0.2,0.057,-0.093,0.09,0.06,0.25,0.028,0.34,0.052,0.047,0.057,0.13,0.24,0.078,0.19,0.067,0.042,0.28,0.24,0.21,0.26,-0.00097,0.19,0.32,0.2,0.16,0.09,0.29,0.24,0.19,0.015,0.082,0.21,0.12,0.26,0.14,0.23,0.25,0.29,0.23,0.25,0.22,0.1,0.21,0.28,0.037,0.26,0.021,0.3,0.033,0.25,NA,0.13,0.087,0.11,0.1,0.057,0.073,0.14,0.13,-0.14,-0.016,-0.11,-0.12,0.12,0.1,0.19,0.016,0.23,0.13,0.22,0.12,0.34,0.028,0.22,0.19,0.056,0.19
"8","AVGO",-0.021,0.22,0.25,0.0046,0.1,0.057,0.24,0.053,0.35,0.34,0.32,0.1,0.22,0.36,0.25,0.21,0.046,-0.1,0.077,0.029,0.33,0.042,0.34,0.083,0.14,0.0067,0.17,0.3,0.13,0.22,0.054,0.045,0.33,0.32,0.25,0.31,0.046,0.24,0.31,0.25,0.086,0.062,0.28,0.24,0.29,0.033,0.11,0.24,0.09,0.33,0.13,0.29,0.29,0.36,0.28,0.31,0.27,0.17,0.23,0.32,0.093,0.31,0.074,0.34,0.086,0.3,NA,0.15,0.1,0.15,0.16,0.086,0.12,0.18,0.14,-0.13,-0.048,-0.09,-0.13,0.19,0.13,0.16,0.082,0.23,0.19,0.3,0.2,0.4,0.047,0.26,0.24,0.083,0.25
"9","BABA",0.039,0.11,0.061,0.031,0.041,0.045,0.077,-0.082,0.11,0.13,0.16,0.039,0.071,0.1,0.051,0.13,-0.11,-0.0068,-0.082,-0.015,0.18,-0.045,0.2,-0.035,0.079,-0.037,0.07,0.069,0.023,0.14,0.033,-0.16,0.17,0.097,0.11,0.13,-0.026,0.1,0.099,0.13,-0.024,-0.062,0.12,0.17,0.034,-0.028,0.0065,0.091,-0.038,0.054,-0.045,0.12,0.24,0.15,0.24,0.14,0.063,0.025,0.077,0.096,0.074,0.11,0.025,0.18,-0.043,0.18,NA,0.087,0.027,-0.019,0.0082,-0.041,-0.014,-0.061,-0.021,-0.12,0.024,-0.1,-0.11,0.095,0.01,0.07,-0.098,0.0056,0.043,0.094,0.028,0.16,0.018,0.13,0.045,-0.019,0.11
"10","CRM",0.047,0.17,0.15,-0.021,0.087,0.13,0.072,-0.051,0.22,0.21,0.24,0.12,0.14,0.25,0.15,0.2,-0.066,-0.095,0.0084,0.03,0.17,0.049,0.24,0.05,0.07,-0.039,0.17,0.18,0.057,0.16,0.12,-0.041,0.2,0.2,0.17,0.22,-0.023,0.13,0.25,0.1,0.0042,0.21,0.15,0.25,0.15,0.018,-0.058,0.21,0.028,0.22,0.071,0.15,0.24,0.19,0.2,0.23,0.16,0.14,0.16,0.23,0.067,0.26,0.12,0.25,0.13,0.3,NA,0.17,0.079,0.21,0.04,-0.027,-0.031,0.098,0.13,-0.13,0.043,-0.11,-0.12,0.079,0.099,0.075,0.00054,0.098,0.1,0.23,0.13,0.21,0.15,0.21,0.12,0.01,0.15
