"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.07,0.16,0.15,0.05,0.067,0.084,0.16,0.12,-0.0099,0.17,0.14,0.16,0.083,0.13,0.16,0.15,-8e-04,0.042,0.011,0.13,0.22,0.065,0.1,0.088,0.13,0.087,0.085,0.12,0.11,0.16,0.1,0.17,0.1,0.17,0.12,0.13,0.16,0.12,-0.047,0.039,0.069,0.049,0.19,0.06,0.057,-0.018,-0.054,0.14,0.11,0.08,0.081,0.086,0.12,0.11,0.012,0.12,0.11,0.18,0.13,0.14,0.17,0.12,-0.04,0.11,0.19,0.047,0.17,0.048,-0.026,0.21,0.053,0.11,-0.076,0.063,0.018,0.19,0.13,0.1,0.053,0.1,0.099,0.16,-0.1,0.051,-0.13,-0.049,0.16,0.15,0.041,0.2,0.077,0.089,0.14,0.14,0.14,0.061,0.14,0.13,0.15,0.17
"2","ACN",0.071,0.22,0.2,0.049,0.086,0.16,0.22,0.17,0.11,0.16,0.16,0.2,0.13,0.15,0.25,0.15,0.023,0.14,-0.044,0.11,0.17,0.16,0.13,0.12,0.18,0.16,0.088,0.18,0.21,0.16,0.1,0.22,0.22,0.13,0.12,0.17,0.23,0.1,-0.031,0.12,0.16,0.1,0.28,0.18,0.15,0.027,-0.047,0.22,0.19,0.11,0.18,0.2,0.14,0.2,0.14,0.18,0.088,0.2,0.098,0.14,0.16,0.13,-0.016,0.14,0.17,0.15,0.14,0.14,0.011,0.17,0.14,0.17,-0.07,0.13,0.073,0.19,0.21,0.092,0.086,0.15,0.17,0.13,-0.074,0.12,-0.027,0.0015,0.21,0.19,0.11,0.17,0.11,0.16,0.15,0.086,0.21,0.098,0.18,0.17,0.24,0.17
"3","ADBE",0.077,0.19,0.22,0.024,0.11,0.14,0.15,0.16,0.032,0.18,0.16,0.17,0.13,0.18,0.2,0.14,-0.0011,0.13,0.028,0.13,0.18,0.16,0.11,0.13,0.16,0.071,0.045,0.18,0.18,0.17,0.071,0.22,0.14,0.15,0.15,0.11,0.2,0.15,-0.073,0.059,0.11,0.081,0.21,0.11,0.13,-0.028,-0.086,0.19,0.16,0.089,0.11,0.16,0.17,0.15,0.015,0.17,0.1,0.2,0.12,0.18,0.21,0.12,-0.094,0.087,0.21,-0.0024,0.15,0.095,-0.046,0.16,0.076,0.21,-0.047,0.099,0.025,0.092,0.15,0.12,0.088,0.18,0.16,0.23,-0.092,0.12,-0.077,-0.0028,0.21,0.15,0.12,0.19,0.094,0.13,0.13,0.14,0.17,0.1,0.2,0.21,0.23,0.19
"4","AMAT",0.16,0.25,0.18,0.12,0.2,0.087,0.25,0.18,0.056,0.22,0.19,0.21,0.16,0.17,0.3,0.15,0.2,0.023,-0.037,0.14,0.13,0.11,0.21,0.25,0.15,0.2,-0.011,0.22,0.21,0.28,0.15,0.29,0.22,0.2,0.21,0.2,0.22,-0.01,-0.0029,0.0024,0.026,0.18,0.16,0.041,0.17,0.086,0.072,0.24,0.17,0.06,0.12,0.19,0.17,0.19,0.17,0.18,0.14,0.21,0.2,0.21,0.26,0.16,-0.00062,0.099,0.22,0.15,0.22,0.022,0.14,0.25,0.12,0.21,-0.019,0.0022,0.18,0.11,0.21,0.11,0.15,0.093,0.072,0.22,-0.09,0.15,-0.049,-0.033,0.2,0.14,0.11,0.072,0.17,0.21,0.18,0.14,0.27,0.13,0.22,0.18,0.24,0.16
"5","AMD",0.03,0.19,0.13,0.053,0.077,0.078,0.16,0.15,-0.055,0.12,0.084,0.11,0.075,0.05,0.17,0.15,-0.014,0.084,-0.0011,0.12,0.13,0.056,0.12,0.087,0.14,0.13,0.058,0.15,0.13,0.2,0.076,0.18,0.12,0.14,0.11,0.11,0.14,0.13,-0.026,0.068,0.098,0.02,0.12,-0.011,0.2,-0.037,-0.11,0.14,0.08,0.021,0.039,0.12,0.079,0.099,0.11,0.059,0.087,0.14,0.067,0.12,0.18,0.11,-0.093,0.031,0.14,0.13,0.16,0.067,-0.0031,0.16,0.019,0.14,-0.022,0.099,-0.0033,0.056,0.11,0.08,-0.023,0.12,0.058,0.17,-0.0038,0.066,-0.071,-0.0036,0.15,0.11,0.15,0.23,0.076,0.12,0.16,0.13,0.16,0.034,0.13,0.15,0.16,0.11
"6","AMZN",0.093,0.14,0.15,0.15,0.1,0.11,0.15,0.12,-0.12,0.13,0.12,0.1,0.11,0.12,0.12,0.096,0.016,-0.0057,0.06,0.12,0.18,0.13,0.12,0.081,0.088,0.1,0.037,0.12,0.058,0.16,0.082,0.18,0.084,0.15,0.14,0.11,0.12,0.076,-0.12,-0.058,-0.012,0.065,0.12,0.017,0.069,0.018,-0.017,0.14,0.14,0.058,0.13,0.055,0.18,0.11,0.03,0.11,0.13,0.17,0.082,0.11,0.14,0.11,-0.092,0.053,0.16,0.073,0.13,-0.015,-0.0013,0.085,0.034,0.14,-0.021,0.059,0.054,0.12,0.1,0.089,0.073,0.15,0.13,0.13,-0.11,0.1,-0.059,-0.034,0.15,0.089,0.074,0.099,0.027,0.089,0.15,0.1,0.15,0.083,0.12,0.18,0.17,0.16
"7","ASML",0.19,0.27,0.17,0.16,0.18,0.088,0.25,0.18,-0.021,0.18,0.2,0.2,0.17,0.19,0.21,0.14,0.12,-0.049,0.019,0.15,0.14,0.17,0.22,0.19,0.17,0.17,-0.0072,0.21,0.19,0.27,0.16,0.27,0.21,0.18,0.19,0.17,0.23,0.036,-0.1,-0.047,-0.025,0.15,0.19,0.082,0.19,0.075,0.014,0.21,0.17,-0.0045,0.16,0.2,0.2,0.17,0.11,0.17,0.17,0.21,0.22,0.2,0.24,0.097,-0.052,0.077,0.2,0.13,0.2,-0.042,0.086,0.24,0.11,0.2,-0.022,-0.02,0.16,0.11,0.19,0.074,0.17,0.11,0.093,0.25,-0.032,0.18,-0.021,-0.014,0.22,0.16,0.13,0.14,0.15,0.17,0.17,0.14,0.23,0.14,0.24,0.17,0.23,0.15
"8","AVGO",0.098,0.26,0.22,0.084,0.13,0.13,0.27,0.19,0.016,0.21,0.18,0.2,0.16,0.16,0.28,0.17,0.094,0.053,-8.8e-05,0.15,0.15,0.12,0.15,0.21,0.16,0.12,0.053,0.22,0.2,0.25,0.1,0.29,0.18,0.16,0.22,0.18,0.2,0.065,-0.0071,0.077,0.092,0.14,0.21,0.066,0.22,0.057,-0.013,0.23,0.2,0.13,0.14,0.2,0.21,0.19,0.15,0.15,0.12,0.23,0.11,0.25,0.26,0.14,-0.093,0.11,0.23,0.13,0.2,0.069,0.045,0.33,0.087,0.25,-0.069,0.089,0.11,0.13,0.15,0.12,0.095,0.14,0.091,0.24,-0.18,0.13,-0.14,-0.082,0.22,0.13,0.077,0.11,0.19,0.23,0.18,0.18,0.24,0.12,0.22,0.23,0.25,0.14
"9","BABA",0.073,0.0018,0.066,-0.027,0.07,0.045,0.092,0.14,-0.091,0.06,0.076,0.14,0.11,0.11,0.11,0.036,0.032,0.043,-0.035,0.074,0.099,0.084,0.043,0.011,0.02,0.076,0.055,0.11,0.11,0.06,-0.0015,0.12,0.11,-0.014,0.073,0.041,0.11,-0.018,-0.13,0.11,0.057,0.042,0.074,0.038,0.017,-0.009,0.023,0.077,0.11,-0.015,0.052,0.071,0.23,0.085,-0.0061,0.023,0.036,0.097,0.084,0.0032,0.1,0.071,0.029,0.05,0.12,0.13,0.054,0.022,0.022,0.069,-0.022,0.052,-0.035,-0.016,0.038,0.054,0.085,0.0039,0.07,0.0056,0.048,0.086,-0.074,0.12,-0.12,-0.048,0.035,0.089,-0.0041,-0.047,0.081,0.022,0.056,0.066,0.03,0.031,0.086,0.03,0.15,0.12
"10","CRM",-0.022,0.095,0.12,0.034,0.033,0.086,0.13,0.067,0.072,0.11,0.078,0.068,0.096,0.08,0.2,0.064,-0.033,0.1,0.017,0.13,0.13,0.026,0.046,0.067,0.078,0.013,0.046,0.11,0.18,0.077,-0.013,0.16,0.059,0.068,0.091,0.073,0.14,0.088,0.023,0.032,0.077,-0.029,0.081,0.096,0.094,-0.071,-0.087,0.098,0.084,0.071,-0.005,0.038,0.14,0.065,0.017,0.095,0.018,0.099,0.031,0.072,0.087,0.074,-0.011,0.0055,0.11,0.033,0.077,0.1,-0.072,0.087,0.031,0.088,-0.022,0.1,-0.045,0.018,0.054,0.01,-0.0086,0.048,-0.0093,0.091,-0.057,0.03,-0.026,0.076,0.081,0.042,0.14,0.15,0.058,0.091,0.065,0.044,0.16,-0.0049,0.11,0.11,0.11,0.13
