"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.276,0.111,0.635,0.717,0.263,0.716,0.921,0.517,0.875,0.432,0.919,0.881,0.671,0.684,0.857,0.143,0.967,0.478,0.601,0.551,0.518,0.694,0.357,0.76,0.756,0.583,0.47,0.124,0.738,0.438,0.698,0.633,0.834,0.584,0.419,0.57,0.0356,0.28,0.939,0.388,0.721,0.69,0.973,0.835,0.165,0.974,0.124,0.83,0.504,0.822,0.703,0.2,0.645,0.738,0.891,0.649,0.511,0.223,0.52,0.848,0.782,0.654,0.458,0.0459,0.375,0.145,0.538,0.212,0.327,0.0707,0.568
"2","ACN",0.378,0.368,0.631,0.292,0.0977,0.665,0.195,0.588,0.994,0.806,0.835,0.368,0.687,0.276,0.873,0.452,0.509,0.987,0.559,0.747,0.856,0.583,0.403,0.378,0.126,0.121,0.0599,0.897,0.346,0.963,0.368,0.639,0.484,0.665,0.789,0.628,0.253,0.0257,0.7,0.599,0.654,0.843,0.194,0.9,0.492,0.992,0.396,0.632,0.153,0.452,0.778,0.203,0.478,0.804,0.641,0.285,0.946,0.57,0.338,0.301,0.531,0.0843,0.376,0.285,0.274,0.434,0.0761,0.325,0.371,0.188,0.944
"3","ADBE",0.291,0.238,0.407,0.873,0.403,0.863,0.11,0.81,0.539,0.518,0.87,0.291,0.365,0.551,0.0134,0.354,0.659,0.572,0.475,0.771,0.638,0.236,0.522,0.344,0.906,0.104,0.774,0.483,0.999,0.565,0.494,0.969,0.929,0.97,0.981,0.518,0.226,0.219,0.588,0.299,0.928,0.299,0.817,0.738,0.042,0.382,0.869,0.457,0.891,0.958,0.623,0.0738,0.54,0.55,0.785,0.251,0.82,0.791,0.585,0.706,0.555,0.0773,0.173,0.227,0.354,0.429,0.214,0.109,0.0512,0.591,0.727
"4","AMAT",0.325,0.362,0.764,0.532,0.392,0.791,0.595,0.796,0.302,0.443,0.747,0.487,0.599,0.693,0.245,0.626,0.605,0.276,0.955,0.449,0.431,0.57,0.79,0.947,0.482,0.0989,0.306,0.842,0.58,0.991,0.898,0.913,0.807,0.803,0.776,0.577,0.433,0.228,0.706,0.257,0.937,0.908,0.566,0.908,0.209,0.422,0.289,0.616,0.504,0.652,0.51,0.189,0.154,0.871,0.579,0.758,0.664,0.791,0.546,0.248,0.26,0.804,0.304,0.269,0.739,0.626,0.625,0.461,0.544,0.668,0.786
"5","AMD",0.222,0.307,0.723,0.628,0.806,0.87,0.815,0.55,0.924,0.561,0.403,0.196,0.812,0.578,0.705,0.432,0.698,0.18,0.873,0.143,0.804,0.995,0.734,0.865,0.311,0.342,0.46,0.229,0.337,0.922,0.568,0.644,0.189,0.344,0.803,0.89,0.117,0.692,0.816,0.212,0.599,0.683,0.753,0.985,0.261,0.587,0.467,0.524,0.639,0.561,0.378,0.12,0.753,0.966,0.471,0.947,0.792,0.833,0.141,0.476,0.138,0.464,0.769,0.398,0.782,0.178,0.0184,0.289,0.429,0.147,0.6
"6","AMZN",0.191,0.438,0.877,0.285,0.606,0.285,0.278,0.405,0.683,0.924,0.372,0.278,0.272,0.943,0.917,0.395,0.406,0.629,0.622,0.465,0.772,0.209,0.354,0.186,0.782,0.0661,0.504,0.777,0.72,0.859,0.734,0.447,0.135,0.945,0.19,0.492,0.851,0.128,0.831,0.208,0.897,0.306,0.855,0.747,0.526,0.974,0.638,0.914,0.88,0.971,0.292,0.842,0.645,0.75,0.898,0.267,0.579,0.539,0.561,0.733,0.238,0.154,0.156,0.0282,0.307,0.0998,0.145,0.102,0.147,0.295,0.619
"7","ASML",0.0349,0.303,0.707,0.249,0.0281,0.341,0.0875,0.0685,0.442,0.885,0.646,0.398,0.787,0.599,0.246,0.3,0.252,0.186,0.632,0.164,0.141,0.201,0.108,0.125,0.36,0.067,0.418,0.754,0.83,0.751,0.783,0.288,0.748,0.338,0.688,0.0306,0.156,0.19,0.786,0.0279,0.691,0.0389,0.232,0.254,0.139,0.285,0.472,0.532,0.87,0.383,0.0834,0.596,0.899,0.697,0.262,0.0968,0.927,0.758,0.769,0.836,0.806,0.193,0.0158,0.0127,0.194,0.018,0.194,0.0121,0.326,0.118,0.511
"8","AVGO",0.317,0.678,0.899,0.355,0.0537,0.976,0.769,0.853,0.524,0.265,0.597,0.571,0.774,0.98,0.115,0.825,0.799,0.471,0.74,0.432,0.564,0.893,0.988,0.894,0.517,0.519,0.843,0.776,0.242,0.323,0.918,0.861,0.868,0.967,0.954,0.705,0.973,0.903,0.478,0.451,0.486,0.146,0.799,0.657,0.435,0.802,0.686,0.678,0.921,0.639,0.693,0.804,0.453,0.459,0.611,0.693,0.83,0.916,0.613,0.345,0.662,0.562,0.994,0.177,0.505,0.11,0.749,0.363,0.157,0.194,0.81
"9","BABA",0.101,0.154,0.406,0.0454,0.0206,0.733,0.343,0.393,0.248,0.7,0.802,0.816,0.939,0.657,0.312,0.175,0.488,0.36,0.974,0.356,0.791,0.312,0.185,0.51,0.675,0.107,0.772,0.676,0.905,0.591,0.86,0.0889,0.663,0.566,0.63,0.439,0.382,0.133,0.653,0.155,0.951,0.0365,0.942,0.633,0.252,0.826,0.318,0.724,0.303,0.587,0.881,0.867,0.678,0.983,0.182,0.223,0.265,0.893,0.815,0.325,0.84,0.417,0.207,0.0287,0.17,0.00917,0.2,0.172,0.223,0.191,0.108
"10","CRM",0.856,0.275,0.147,0.359,0.63,0.742,0.968,0.42,0.139,0.443,0.849,0.799,0.123,0.629,0.905,0.794,0.846,0.549,0.419,0.972,0.433,0.768,0.882,0.893,0.667,0.0974,0.993,0.911,0.821,0.353,0.564,0.363,0.618,0.745,0.252,0.487,0.542,0.467,0.453,0.955,0.865,0.867,0.523,0.124,0.423,0.284,0.74,0.281,0.699,0.211,0.746,0.242,0.782,0.539,0.495,0.856,0.423,0.895,0.691,0.477,0.116,0.534,0.421,0.867,0.682,0.791,0.94,0.662,0.918,0.715,0.631
