"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.875,0.00112,9.79e-05,0.914,0.00245,0.585,0.000261,0.804,3.17e-08,6.55e-06,1.15e-05,0.00019,0.0244,1.25e-06,0.0121,0.00038,0.897,0.745,0.515,0.854,9.78e-06,0.3,1.18e-10,0.652,0.0405,0.735,0.00245,8.24e-05,0.24,0.0164,0.055,0.0583,1.06e-06,5.09e-05,0.000591,1.28e-06,0.387,0.00137,7.33e-06,0.000384,0.67,0.25,0.000275,1.99e-06,0.000734,0.653,0.0246,2.83e-05,0.0927,5.08e-05,0.231,4.17e-05,1.23e-05,3.16e-06,2.37e-05,1.48e-05,0.00243,0.000175,0.000919,6.56e-07,0.022,1.21e-06,0.332,3.72e-07,0.819,1.59e-06,NA,0.000344,0.00494,0.0121,0.0162,0.19,0.157,0.00341,0.366,0.00196,0.814,0.0387,0.003,0.00101,0.241,0.0155,0.175,0.0081,0.13,1.89e-07,0.246,2.89e-08,0.04,3.36e-06,0.00308,0.0084,4.04e-07
"2","ACN",0.789,0.0308,0.000384,0.285,0.413,0.575,0.00211,0.882,4.21e-07,5.44e-05,0.000173,0.112,0.0275,3.51e-06,0.00435,0.00129,0.494,0.37,0.563,0.447,0.002,0.554,9.09e-06,0.7,0.587,0.654,0.00983,0.000646,0.245,0.00429,0.546,0.339,3.74e-06,0.000179,0.000515,0.000977,0.384,0.0178,0.000701,0.00925,0.109,0.521,0.000182,0.00121,0.00246,0.328,0.431,0.0869,0.205,7.22e-06,0.196,0.000401,0.000258,4.63e-05,0.00722,0.000372,0.00511,0.0641,0.00642,3.48e-05,0.577,0.000538,0.548,2.12e-06,0.656,5.28e-05,NA,0.428,0.354,0.243,0.0547,0.984,0.393,0.117,0.0455,0.00492,0.186,0.0831,0.0114,0.0921,0.254,0.0194,0.906,0.000917,0.0303,0.000364,0.0116,1.46e-06,0.829,0.000367,0.00801,0.305,0.00123
"3","ADBE",0.634,0.000867,0.000426,0.484,0.0939,0.177,0.00135,0.594,1.21e-06,3.02e-05,7.4e-05,0.00413,0.0208,3.47e-06,0.000719,7.12e-05,0.543,0.526,0.3,0.884,1.88e-05,0.615,2.56e-07,0.825,0.196,0.161,0.0072,4.89e-06,0.111,0.00799,0.0656,0.585,1.9e-05,3.82e-05,0.000122,8.77e-06,0.794,0.000159,5.35e-05,0.00147,0.339,0.121,0.000496,3.13e-07,0.00073,0.606,0.423,0.000303,0.069,4.37e-06,0.0625,0.00063,1.44e-06,2.05e-06,6.36e-05,2.35e-05,0.00173,0.00109,0.000344,4.19e-06,0.416,1.46e-06,0.0499,1.46e-08,0.707,5.59e-07,NA,0.00198,0.0488,0.0548,0.00891,0.769,0.0193,0.00414,0.0195,3.06e-05,0.694,0.00191,0.000104,0.00964,0.0721,0.00439,0.256,0.000639,0.0224,4.18e-06,0.0235,1.65e-07,0.0429,0.000359,8.83e-05,0.246,0.000212
"4","AMAT",0.502,0.0177,0.00011,0.742,0.0821,0.991,0.000538,0.128,7.98e-07,1.32e-06,6.82e-05,0.202,0.00169,4.46e-07,7.26e-05,0.000167,0.148,0.139,0.462,0.782,8.53e-07,0.301,6.92e-09,0.385,0.0387,0.633,0.00535,3.96e-05,0.0576,0.000822,0.589,0.706,1.12e-06,7.96e-07,2.96e-05,2.08e-05,0.428,0.00292,1.54e-05,0.000101,0.12,0.282,2.56e-06,6.24e-05,0.000195,0.486,0.201,0.000571,0.0795,1.25e-05,0.00979,0.000276,5.22e-06,9.18e-09,0.000181,4.51e-07,0.000127,0.408,0.00104,9.21e-06,0.526,3.46e-05,0.747,1.1e-08,0.433,2.27e-05,NA,0.0381,0.118,0.204,0.0878,0.383,0.271,0.0305,0.0109,0.000168,0.302,0.000974,0.000102,0.065,0.0187,0.00446,0.727,0.0133,0.00247,9.32e-05,0.000257,2.09e-11,0.613,0.000334,0.000546,0.862,0.000447
"5","AMD",0.602,0.0127,0.00207,0.555,0.0436,0.993,0.000204,0.786,2.4e-05,5.18e-05,0.000741,0.0135,0.0725,9.63e-05,0.0139,0.00285,0.99,0.478,0.902,0.545,7e-05,0.26,5.27e-07,0.762,0.808,0.889,0.00929,0.00291,0.352,0.0355,0.0879,0.339,4.63e-05,0.000179,0.00858,3.46e-05,0.787,0.00246,0.00123,0.00959,0.572,0.251,0.000395,0.000314,0.00231,0.661,0.0332,0.000215,0.595,0.000118,0.434,3.25e-05,0.000663,3.89e-05,2.06e-06,0.000442,0.0246,0.00684,0.0219,4.03e-05,0.664,2.25e-05,0.0311,1.82e-05,0.934,0.00021,NA,0.0116,0.0735,0.196,0.0114,0.199,0.216,0.0628,0.149,0.00362,0.988,0.0139,0.00638,0.002,0.086,0.0167,0.046,0.00151,0.0883,0.000349,0.0262,3.38e-07,0.0163,5.69e-05,0.000163,0.463,0.00433
"6","AMZN",0.331,0.00456,0.00904,0.493,0.19,0.286,0.00891,0.436,5.82e-05,0.00519,0.000178,0.00519,0.101,0.000195,0.0385,0.00293,0.332,0.782,0.301,0.887,0.00164,0.761,1.59e-06,0.401,0.181,0.96,0.0559,0.00841,0.33,0.0531,0.0267,0.542,0.000706,0.00677,0.0397,0.000348,0.526,1.1e-05,0.000622,0.0535,0.572,0.245,0.00307,0.000181,0.0349,0.539,0.0725,0.00673,0.571,0.00276,0.204,0.00484,0.000852,0.00021,0.00027,8.06e-05,0.0786,0.00586,0.00233,0.00074,0.372,0.00249,0.118,4.94e-05,0.699,0.000129,NA,0.000177,0.112,0.0281,0.113,0.62,0.333,0.0245,0.247,0.00653,0.399,0.00874,0.0118,0.0446,0.256,0.157,0.326,0.0284,0.164,0.000139,0.219,0.000355,0.0136,0.000425,0.00935,0.0695,0.016
"7","ASML",0.916,0.00484,0.000554,0.846,0.112,0.342,0.00134,0.354,5.71e-06,1.09e-05,0.000232,0.0169,0.00739,2.34e-06,0.000364,0.00173,0.367,0.145,0.159,0.349,6.19e-05,0.662,2.91e-08,0.415,0.457,0.369,0.0339,0.00013,0.223,0.00224,0.29,0.508,7.77e-06,0.000101,0.000776,2.61e-05,0.988,0.00264,2.3e-07,0.00161,0.00973,0.156,3.45e-06,0.000179,0.00274,0.819,0.196,0.000862,0.0631,2.67e-05,0.0268,0.000325,5.43e-05,3.86e-06,0.000341,5.18e-05,0.000541,0.101,0.000936,5.39e-06,0.565,3.69e-05,0.738,1.55e-06,0.602,7.02e-05,NA,0.0409,0.172,0.0933,0.116,0.369,0.253,0.0275,0.0383,0.0225,0.799,0.0856,0.0537,0.0541,0.0983,0.00223,0.796,0.00025,0.047,0.000379,0.0514,2.81e-08,0.666,0.000578,0.00241,0.377,0.00275
"8","AVGO",0.739,0.000598,5.52e-05,0.943,0.107,0.371,0.000149,0.409,1.22e-08,3.34e-08,1.83e-07,0.114,0.00036,6.8e-09,6.13e-05,0.000987,0.468,0.1,0.224,0.651,1.44e-07,0.504,4.68e-08,0.192,0.0332,0.916,0.00564,2.1e-06,0.0414,0.000527,0.394,0.477,1.2e-07,2.03e-07,6.52e-05,5.34e-07,0.472,0.000105,6.58e-07,4.71e-05,0.179,0.328,7.09e-06,0.000103,3.06e-06,0.608,0.0821,0.000118,0.157,1.26e-07,0.0353,3.96e-06,4.29e-06,6.62e-09,8.94e-06,7.19e-07,1.79e-05,0.00905,0.000187,2.35e-07,0.142,6.47e-07,0.246,4.9e-08,0.175,2.11e-06,NA,0.0144,0.11,0.016,0.0115,0.177,0.0509,0.00368,0.03,0.0369,0.449,0.155,0.0379,0.00314,0.0409,0.0105,0.197,0.000281,0.00259,2.05e-06,0.00134,4.98e-11,0.459,2.87e-05,0.000119,0.191,5.96e-05
"9","BABA",0.537,0.0949,0.339,0.623,0.517,0.482,0.229,0.198,0.0788,0.0393,0.012,0.541,0.263,0.102,0.424,0.0408,0.0918,0.916,0.198,0.815,0.0053,0.477,0.00126,0.581,0.217,0.564,0.274,0.276,0.717,0.0234,0.601,0.0106,0.00762,0.128,0.0858,0.0408,0.688,0.113,0.119,0.0473,0.71,0.332,0.0642,0.00894,0.589,0.664,0.919,0.152,0.556,0.395,0.477,0.0676,0.000131,0.0151,0.000107,0.0246,0.324,0.69,0.227,0.132,0.248,0.0806,0.692,0.00351,0.502,0.00374,NA,0.17,0.67,0.761,0.898,0.518,0.83,0.341,0.744,0.0659,0.711,0.105,0.0783,0.134,0.871,0.274,0.124,0.93,0.497,0.139,0.659,0.00971,0.773,0.0408,0.477,0.766,0.0804
"10","CRM",0.457,0.00718,0.0176,0.746,0.173,0.0363,0.259,0.424,0.000434,0.00066,0.000153,0.0615,0.0329,7.61e-05,0.0154,0.00187,0.301,0.137,0.895,0.635,0.00869,0.446,0.000142,0.428,0.27,0.541,0.00578,0.00392,0.369,0.0119,0.0573,0.516,0.00183,0.00185,0.0059,0.00042,0.722,0.0353,5.48e-05,0.102,0.947,0.000721,0.0212,8.59e-05,0.0217,0.771,0.361,0.000725,0.662,0.00037,0.267,0.0161,0.000153,0.00217,0.00174,0.000251,0.0104,0.0305,0.00968,0.000226,0.289,2.28e-05,0.0534,8.92e-05,0.0427,1.25e-06,NA,0.0088,0.213,0.00109,0.526,0.675,0.629,0.123,0.0428,0.0399,0.498,0.0872,0.0534,0.215,0.119,0.237,0.993,0.121,0.106,0.000238,0.043,0.000976,0.0219,0.000829,0.0655,0.871,0.019
