"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.314,0.0183,0.0251,0.468,0.336,0.226,0.0217,0.0787,0.886,0.0158,0.0474,0.0245,0.23,0.0554,0.0223,0.0357,0.991,0.545,0.879,0.0519,0.00118,0.348,0.137,0.207,0.0701,0.209,0.222,0.0919,0.107,0.0184,0.148,0.0127,0.146,0.0116,0.0805,0.0585,0.0185,0.0841,0.504,0.571,0.32,0.482,0.00652,0.387,0.41,0.8,0.434,0.0381,0.125,0.252,0.241,0.215,0.0792,0.114,0.868,0.0884,0.127,0.00752,0.0604,0.0386,0.0136,0.0971,0.568,0.13,0.00483,0.499,0.0159,0.491,0.71,0.00234,0.446,0.102,0.272,0.368,0.798,0.00486,0.0613,0.138,0.45,0.144,0.156,0.0182,0.143,0.464,0.0526,0.478,0.0181,0.036,0.558,0.00451,0.265,0.201,0.0397,0.0471,0.0469,0.379,0.0426,0.0662,0.0305,0.0117
"2","ACN",0.305,0.00177,0.00359,0.482,0.214,0.0183,0.00158,0.0143,0.13,0.0197,0.022,0.0035,0.0596,0.0307,0.000239,0.0327,0.737,0.0392,0.526,0.107,0.0166,0.0206,0.0687,0.079,0.0097,0.0183,0.207,0.00773,0.0027,0.0211,0.133,0.00116,0.00161,0.0688,0.0806,0.0134,0.000938,0.144,0.657,0.0818,0.0219,0.134,2.99e-05,0.00791,0.0282,0.697,0.501,0.00144,0.00539,0.119,0.0102,0.00353,0.0485,0.00448,0.0502,0.00919,0.203,0.00419,0.156,0.0368,0.0178,0.0575,0.817,0.0468,0.0118,0.0332,0.0362,0.0466,0.873,0.0143,0.0418,0.0131,0.316,0.0685,0.295,0.00481,0.0029,0.184,0.215,0.0291,0.0129,0.0528,0.29,0.0963,0.702,0.982,0.0018,0.00579,0.128,0.0124,0.119,0.0214,0.0268,0.217,0.00262,0.16,0.00902,0.0148,0.000418,0.0122
"3","ADBE",0.27,0.00614,0.00177,0.73,0.103,0.0436,0.0257,0.025,0.648,0.00874,0.0207,0.0154,0.0679,0.00782,0.00293,0.0412,0.988,0.0626,0.69,0.0613,0.0103,0.024,0.103,0.0694,0.0185,0.304,0.52,0.00941,0.0108,0.0117,0.304,0.00168,0.0391,0.0351,0.0329,0.111,0.00366,0.0344,0.296,0.398,0.101,0.243,0.00222,0.108,0.0609,0.682,0.214,0.00621,0.0215,0.2,0.116,0.025,0.0149,0.0276,0.831,0.0164,0.141,0.0032,0.0877,0.0095,0.00231,0.0785,0.177,0.211,0.00286,0.973,0.0354,0.171,0.51,0.0191,0.276,0.00252,0.501,0.153,0.723,0.184,0.0351,0.0794,0.205,0.0108,0.0174,0.000892,0.187,0.0787,0.269,0.968,0.00286,0.0269,0.0844,0.00498,0.175,0.056,0.0539,0.0425,0.015,0.137,0.00457,0.00277,0.000982,0.00478
"4","AMAT",0.0237,0.000264,0.00773,0.0756,0.00437,0.211,0.000226,0.00782,0.421,0.00108,0.00505,0.00181,0.024,0.0113,8.92e-06,0.0314,0.00465,0.742,0.59,0.0423,0.0593,0.112,0.00206,0.000246,0.0268,0.00376,0.871,0.00127,0.00247,3.61e-05,0.0284,2.79e-05,0.00145,0.00321,0.00218,0.00434,0.00117,0.881,0.967,0.972,0.709,0.00875,0.0204,0.554,0.0134,0.216,0.302,0.000401,0.0153,0.385,0.0811,0.00473,0.0164,0.00588,0.0123,0.00849,0.0494,0.00214,0.00356,0.00278,0.000147,0.0233,0.993,0.153,0.00127,0.0316,0.00121,0.752,0.0384,0.00021,0.0743,0.00226,0.786,0.974,0.00901,0.113,0.00187,0.102,0.0357,0.18,0.298,0.00128,0.193,0.027,0.478,0.64,0.00313,0.0485,0.107,0.3,0.0114,0.00256,0.0103,0.0466,6.31e-05,0.058,0.00146,0.0109,0.000496,0.0217
"5","AMD",0.662,0.00607,0.0581,0.449,0.271,0.264,0.0208,0.0301,0.433,0.0819,0.226,0.121,0.282,0.47,0.0142,0.0292,0.843,0.227,0.987,0.0882,0.0668,0.421,0.0734,0.211,0.0397,0.0665,0.404,0.0256,0.0604,0.00394,0.271,0.0106,0.0837,0.0504,0.109,0.129,0.0509,0.0642,0.707,0.329,0.157,0.771,0.0968,0.876,0.00444,0.591,0.127,0.047,0.247,0.76,0.574,0.0742,0.256,0.153,0.0983,0.393,0.208,0.0433,0.334,0.0879,0.0082,0.122,0.182,0.659,0.0436,0.0516,0.0232,0.335,0.965,0.0239,0.786,0.0497,0.75,0.152,0.962,0.417,0.128,0.251,0.739,0.0753,0.407,0.0126,0.957,0.346,0.305,0.959,0.0301,0.0976,0.0255,0.000673,0.271,0.0956,0.0221,0.0663,0.0205,0.624,0.0602,0.0352,0.0224,0.124
"6","AMZN",0.179,0.0487,0.0335,0.0265,0.131,0.109,0.0339,0.0904,0.0863,0.0634,0.0737,0.145,0.0974,0.074,0.0838,0.167,0.813,0.935,0.391,0.0922,0.0103,0.069,0.0949,0.243,0.205,0.141,0.593,0.0925,0.402,0.0196,0.239,0.00911,0.228,0.0261,0.0508,0.101,0.0889,0.273,0.0969,0.403,0.862,0.349,0.0879,0.802,0.319,0.793,0.812,0.0489,0.0364,0.404,0.0663,0.433,0.0111,0.115,0.67,0.119,0.0659,0.0147,0.239,0.112,0.0458,0.119,0.187,0.446,0.0177,0.291,0.0589,0.826,0.985,0.221,0.629,0.0495,0.763,0.399,0.439,0.0935,0.145,0.198,0.295,0.0348,0.0568,0.0582,0.124,0.14,0.398,0.622,0.0355,0.198,0.29,0.154,0.703,0.202,0.0293,0.137,0.0334,0.234,0.082,0.00824,0.0143,0.0182
"7","ASML",0.00637,9.13e-05,0.0113,0.0175,0.0106,0.206,0.000306,0.0104,0.766,0.0077,0.00366,0.0046,0.0152,0.00634,0.00184,0.04,0.0754,0.48,0.78,0.03,0.0432,0.0161,0.00153,0.00545,0.0166,0.0154,0.917,0.00291,0.00687,6.32e-05,0.0174,8.77e-05,0.00185,0.00978,0.00519,0.0124,0.000857,0.606,0.151,0.499,0.716,0.0251,0.00611,0.237,0.00549,0.283,0.839,0.00208,0.0166,0.948,0.0218,0.00367,0.00316,0.012,0.104,0.0137,0.0163,0.002,0.00115,0.00351,0.000455,0.163,0.455,0.265,0.00364,0.0708,0.00381,0.544,0.218,0.00041,0.1,0.00363,0.753,0.779,0.0176,0.113,0.00682,0.286,0.0144,0.126,0.178,0.000333,0.644,0.00738,0.767,0.839,0.00137,0.022,0.0526,0.0426,0.0341,0.0148,0.0163,0.0498,0.00103,0.0454,0.000584,0.0121,0.000939,0.0299
"8","AVGO",0.157,0.000123,0.00108,0.228,0.0623,0.06,5.59e-05,0.00681,0.816,0.00211,0.00775,0.0034,0.0236,0.0183,4.94e-05,0.0166,0.177,0.445,0.999,0.0315,0.0336,0.0832,0.0344,0.00263,0.0245,0.0737,0.446,0.00133,0.00448,0.000304,0.137,2.32e-05,0.0098,0.0178,0.00133,0.00809,0.00437,0.353,0.919,0.267,0.187,0.0413,0.00217,0.343,0.00117,0.413,0.846,0.00084,0.00404,0.0636,0.0451,0.00403,0.00255,0.00654,0.0254,0.0296,0.0868,0.00072,0.116,0.000282,0.000129,0.0448,0.182,0.12,0.000622,0.0684,0.00337,0.318,0.519,7.4e-07,0.21,0.000278,0.323,0.2,0.123,0.0579,0.0318,0.0843,0.171,0.0471,0.189,0.00055,0.00787,0.0589,0.0368,0.236,0.0012,0.0598,0.266,0.11,0.00688,0.00104,0.00986,0.00811,0.000358,0.0824,0.0017,0.000851,0.000226,0.0461
"9","BABA",0.291,0.98,0.341,0.696,0.315,0.515,0.185,0.0469,0.189,0.39,0.272,0.044,0.101,0.107,0.11,0.6,0.648,0.533,0.617,0.289,0.155,0.225,0.537,0.869,0.772,0.272,0.429,0.113,0.0988,0.391,0.983,0.0777,0.111,0.838,0.29,0.556,0.108,0.796,0.0592,0.103,0.409,0.546,0.29,0.584,0.811,0.897,0.746,0.271,0.125,0.835,0.455,0.307,0.000692,0.219,0.93,0.746,0.61,0.162,0.227,0.964,0.146,0.307,0.678,0.471,0.0964,0.0707,0.434,0.749,0.751,0.318,0.757,0.451,0.619,0.818,0.583,0.436,0.223,0.955,0.312,0.936,0.49,0.213,0.287,0.0775,0.0736,0.487,0.616,0.199,0.953,0.499,0.241,0.749,0.419,0.34,0.664,0.659,0.216,0.671,0.0309,0.0875
"10","CRM",0.75,0.173,0.0719,0.629,0.636,0.218,0.0683,0.332,0.3,0.128,0.261,0.328,0.165,0.252,0.00441,0.36,0.637,0.144,0.806,0.0525,0.053,0.707,0.505,0.339,0.259,0.855,0.507,0.128,0.0108,0.268,0.847,0.024,0.398,0.331,0.19,0.293,0.051,0.206,0.745,0.644,0.268,0.679,0.245,0.167,0.174,0.305,0.21,0.158,0.229,0.305,0.942,0.582,0.0471,0.35,0.803,0.17,0.798,0.156,0.658,0.3,0.209,0.29,0.874,0.937,0.116,0.64,0.271,0.138,0.298,0.212,0.657,0.206,0.754,0.148,0.517,0.8,0.437,0.881,0.901,0.494,0.894,0.19,0.412,0.663,0.705,0.276,0.244,0.55,0.0436,0.028,0.407,0.191,0.349,0.526,0.018,0.944,0.129,0.118,0.107,0.054
