"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.057,-0.54,-0.84,-0.63,0.24,0.48,0.52,-0.51,0.47,0.77,-0.048,-0.12,0.35,0.31,0.25,0.35,-0.042,0.25,-0.39,0.37,0.0095,0.085,0.17,0.43,0.44,0.57,0.38,-0.58,-0.1,-0.045,-0.37,-0.12,-0.23,0.82,-0.6,0.32,-0.55,-0.36,0.65,-0.26,-0.0024,-0.095,0.3,-0.23,-0.56,-0.012,0.63,0.05,0.39,0.22,-0.38,0.71,-0.41,-0.85,0.34,-0.4,-0.57,-0.56,-0.5,0.18,-0.83,-0.15,-0.1,-0.52,0.36,-0.33,0.66,-0.14,0.05,-0.74,-0.31
"2","^AXJO",-0.048,-0.53,-0.83,-0.62,0.24,0.49,0.53,-0.5,0.48,0.78,-0.031,-0.1,0.35,0.31,0.25,0.35,-0.03,0.26,-0.38,0.38,0.0081,0.093,0.18,0.44,0.45,0.59,0.37,-0.57,-0.096,-0.035,-0.37,-0.11,-0.22,0.83,-0.59,0.34,-0.54,-0.35,0.66,-0.25,0.0022,-0.088,0.32,-0.22,-0.55,-0.0048,0.64,0.066,0.38,0.23,-0.37,0.7,-0.4,-0.84,0.35,-0.38,-0.57,-0.57,-0.5,0.19,-0.83,-0.14,-0.086,-0.51,0.37,-0.32,0.66,-0.13,0.06,-0.73,-0.31
"3","^BFX",-0.29,-0.61,-0.57,-0.45,0.045,-0.12,-0.12,-0.58,-0.18,0.083,-0.49,-0.52,0.12,0.5,-0.0081,0.58,-0.46,-0.25,-0.5,-0.12,-0.0074,-0.29,-0.39,-0.24,0.1,-0.061,0.62,-0.73,-0.19,-0.34,-0.44,-0.26,-0.39,0.35,-0.45,-0.24,-0.76,-0.41,0.15,-0.6,-0.096,-0.27,-0.07,-0.45,-0.68,-0.21,0.14,-0.31,0.64,-0.046,-0.5,0.73,-0.65,-0.6,-0.029,-0.54,-0.061,-0.08,-0.11,0.11,-0.59,-0.41,-0.51,-0.54,-0.3,-0.62,0.36,-0.51,-0.2,-0.57,-0.16
"4","^BSESN",0.14,-0.54,-0.58,-0.29,0.43,0.35,0.33,-0.24,0.29,0.32,-0.01,-0.066,0.48,0.48,0.33,0.54,0.0071,0.13,-0.16,0.29,0.29,0.19,0.095,0.25,0.51,0.36,0.57,-0.64,-0.18,0.12,-0.14,0.043,-0.38,0.48,-0.29,0.23,-0.69,-0.071,0.58,-0.09,0.2,0.093,0.33,-0.053,-0.61,0.18,0.12,0.097,0.59,0.34,-0.15,0.72,-0.61,-0.55,0.12,-0.14,-0.29,-0.32,-0.28,0.53,-0.49,-0.039,0.014,-0.16,0.13,-0.18,0.66,-0.081,0.31,-0.34,0.17
"5","^BUK100P",0.33,-0.17,-0.36,-0.31,0.5,0.48,0.53,-0.024,0.31,0.46,0.27,0.19,0.47,0.1,0.56,0.24,0.27,0.42,0.055,0.45,0.4,0.36,0.3,0.41,0.48,0.53,0.29,-0.2,-0.17,0.27,0.12,0.31,-0.32,0.42,-0.11,0.49,-0.2,0.14,0.28,-0.022,0.3,0.27,0.51,0.2,-0.21,0.37,0.4,0.36,0.18,0.5,0.08,0.32,-0.22,-0.45,0.49,0.017,-0.29,-0.4,-0.44,0.47,-0.32,0.25,0.18,-0.086,0.38,-0.042,0.57,0.23,0.37,-0.23,-0.042
"6","^BVSP",-0.47,-0.71,-0.75,-0.43,-0.21,0.011,0.032,-0.75,0.25,0.47,-0.42,-0.45,0.098,0.44,-0.16,0.63,-0.49,-0.19,-0.68,-0.053,-0.33,-0.37,-0.27,-0.0036,0.13,0.21,0.7,-0.81,-0.25,-0.39,-0.72,-0.51,-0.49,0.71,-0.76,-0.15,-0.8,-0.65,0.49,-0.58,-0.32,-0.52,-0.01,-0.57,-0.77,-0.43,0.48,-0.27,0.65,-0.25,-0.67,0.89,-0.68,-0.75,-0.076,-0.59,-0.34,-0.25,-0.2,-0.089,-0.84,-0.55,-0.45,-0.74,-0.1,-0.61,0.38,-0.47,-0.27,-0.8,-0.42
"7","^DJI",-0.19,-0.58,-0.73,-0.53,0.14,0.19,0.23,-0.58,0.18,0.48,-0.25,-0.3,0.27,0.44,0.12,0.54,-0.26,0.036,-0.49,0.12,-0.011,-0.11,-0.11,0.12,0.32,0.3,0.58,-0.68,-0.2,-0.18,-0.45,-0.21,-0.38,0.64,-0.58,0.07,-0.7,-0.42,0.45,-0.48,-0.046,-0.22,0.17,-0.36,-0.64,-0.12,0.46,-0.11,0.59,0.072,-0.48,0.78,-0.61,-0.78,0.18,-0.48,-0.32,-0.33,-0.37,0.19,-0.76,-0.3,-0.33,-0.59,0.054,-0.52,0.54,-0.31,-0.047,-0.7,-0.31
"8","^FCHI",-0.11,-0.62,-0.79,-0.59,0.26,0.27,0.29,-0.54,0.19,0.49,-0.23,-0.3,0.35,0.46,0.22,0.5,-0.2,0.062,-0.43,0.19,0.1,-0.024,-0.04,0.17,0.39,0.31,0.55,-0.7,-0.18,-0.14,-0.38,-0.15,-0.34,0.64,-0.55,0.12,-0.71,-0.35,0.47,-0.4,0.02,-0.13,0.19,-0.31,-0.67,-0.034,0.39,-0.084,0.55,0.18,-0.43,0.78,-0.57,-0.81,0.22,-0.47,-0.34,-0.38,-0.38,0.24,-0.76,-0.24,-0.27,-0.52,0.09,-0.46,0.61,-0.3,0.017,-0.69,-0.21
"9","^FTSE",0.33,-0.18,-0.37,-0.32,0.5,0.49,0.54,-0.029,0.32,0.47,0.27,0.19,0.48,0.11,0.56,0.25,0.27,0.43,0.051,0.46,0.4,0.37,0.31,0.42,0.49,0.54,0.3,-0.21,-0.18,0.27,0.12,0.31,-0.32,0.43,-0.12,0.49,-0.21,0.14,0.3,-0.023,0.3,0.27,0.52,0.2,-0.21,0.37,0.41,0.37,0.19,0.51,0.076,0.33,-0.23,-0.46,0.49,0.013,-0.3,-0.41,-0.45,0.48,-0.33,0.25,0.18,-0.089,0.39,-0.043,0.58,0.22,0.37,-0.24,-0.046
"10","^GDAXI",-0.095,-0.64,-0.79,-0.5,0.29,0.31,0.29,-0.52,0.25,0.5,-0.19,-0.28,0.37,0.55,0.18,0.52,-0.18,0.07,-0.44,0.23,0.05,-0.0028,-0.022,0.22,0.47,0.32,0.56,-0.74,-0.17,-0.099,-0.39,-0.15,-0.33,0.67,-0.55,0.12,-0.77,-0.36,0.56,-0.33,-0.0056,-0.092,0.23,-0.29,-0.7,-0.044,0.35,-0.066,0.6,0.14,-0.4,0.83,-0.61,-0.81,0.096,-0.4,-0.38,-0.39,-0.35,0.29,-0.76,-0.26,-0.21,-0.47,0.099,-0.39,0.64,-0.27,0.082,-0.65,-0.098
