"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.37,0.76,0.33,0.71,-0.85,0.52,0.34,0.32,0.27,0.026,0.055,0.54,-0.26,-0.41,-0.056,0.44,-0.6,0.2,0.098,0.25,0.21,-0.74,-0.33,-0.66,-0.56,-0.16,0.15,-0.049,0.18,-0.065,0.58,-0.033,0.35,-0.7,0.099,0.7,0.73,-0.89,0.017,0.27,0.25,-0.85,0.39,0.69,0.79,0.46,-0.84,-0.09,0.16,0.36,0.21,-0.11,-0.51,-0.19,0.56,-0.43,0.76,0.044,0.25,0.13,0.1,0.3,0.25,0.46,-0.16,0.69,0.37,0.14,-0.6,-0.069,0.75,0.11,0.17,0.23,-0.84,0.65,0.36,0.35,-0.67,0.53,0.13,0.39,-0.8,-0.37,-0.094,-0.25,0.39,0.66,0.49,0.82,-0.66,-0.31,0.3,0.5,0.22,-0.24,-0.02,0.4,-0.3,-0.28
"2","^AXJO",-0.35,0.76,0.31,0.73,-0.85,0.5,0.31,0.29,0.24,0.055,0.08,0.56,-0.22,-0.39,-0.062,0.46,-0.59,0.18,0.13,0.29,0.18,-0.74,-0.31,-0.69,-0.58,-0.13,0.13,-0.026,0.21,-0.036,0.6,-0.036,0.32,-0.71,0.13,0.72,0.72,-0.9,0.0099,0.24,0.22,-0.85,0.39,0.65,0.79,0.45,-0.83,-0.088,0.15,0.33,0.23,-0.097,-0.51,-0.17,0.54,-0.43,0.77,0.06,0.28,0.16,0.13,0.28,0.22,0.45,-0.13,0.65,0.39,0.12,-0.6,-0.05,0.72,0.14,0.14,0.2,-0.84,0.62,0.36,0.35,-0.66,0.56,0.17,0.4,-0.81,-0.36,-0.077,-0.24,0.41,0.66,0.49,0.82,-0.65,-0.28,0.32,0.52,0.2,-0.2,0.0074,0.42,-0.27,-0.27
"3","^BFX",-0.29,0.8,0.33,0.74,-0.83,0.52,0.33,0.3,0.25,0.17,0.13,0.64,-0.078,-0.34,0.031,0.51,-0.56,0.17,0.14,0.31,0.21,-0.72,-0.26,-0.69,-0.58,0.0099,0.15,0.064,0.33,0.058,0.64,0.051,0.35,-0.69,0.2,0.75,0.75,-0.89,0.021,0.24,0.23,-0.84,0.46,0.6,0.83,0.45,-0.78,0.0012,0.2,0.34,0.35,-0.031,-0.47,-0.1,0.56,-0.37,0.79,0.15,0.33,0.25,0.21,0.3,0.23,0.51,-0.031,0.6,0.45,0.14,-0.56,0.081,0.7,0.23,0.17,0.21,-0.81,0.6,0.41,0.41,-0.63,0.66,0.29,0.45,-0.82,-0.32,-0.044,-0.22,0.47,0.68,0.57,0.83,-0.58,-0.2,0.4,0.56,0.22,-0.14,0.09,0.47,-0.16,-0.17
"4","^BSESN",-0.43,0.77,0.62,0.29,-0.67,0.77,0.68,0.72,0.62,-0.14,-0.16,0.34,-0.27,-0.5,0.19,0.19,-0.57,0.51,-0.31,-0.17,0.53,-0.57,-0.55,-0.23,-0.17,-0.24,0.41,-0.16,-0.088,-0.3,0.25,0.22,0.62,-0.51,-0.13,0.42,0.71,-0.67,0.18,0.54,0.52,-0.65,0.52,0.92,0.7,0.6,-0.76,0.11,0.32,0.61,0.18,-0.15,-0.25,-0.26,0.83,-0.38,0.63,0.012,-0.14,-0.09,-0.16,0.59,0.59,0.61,-0.31,0.93,0.23,0.35,-0.4,-0.037,0.86,-0.095,0.44,0.52,-0.68,0.9,0.45,0.31,-0.46,0.23,-0.12,0.26,-0.47,-0.4,-0.16,-0.22,0.12,0.67,0.57,0.71,-0.49,-0.35,0.07,0.31,0.48,-0.43,-0.23,0.16,-0.38,-0.27
"5","^BUK100P",-0.24,0.72,0.32,0.73,-0.76,0.5,0.33,0.25,0.32,0.24,0.28,0.68,-0.039,-0.19,0.056,0.62,-0.46,0.23,0.065,0.44,0.22,-0.68,-0.19,-0.67,-0.47,0.062,0.19,0.13,0.31,0.13,0.72,0.085,0.32,-0.63,0.33,0.8,0.75,-0.85,0.0092,0.32,0.3,-0.78,0.48,0.52,0.81,0.4,-0.68,0.05,0.21,0.41,0.41,0.045,-0.51,0.044,0.51,-0.29,0.8,0.21,0.4,0.33,0.31,0.39,0.3,0.56,0.078,0.52,0.54,0.15,-0.45,0.054,0.58,0.3,0.25,0.27,-0.75,0.57,0.39,0.47,-0.58,0.69,0.37,0.53,-0.86,-0.21,-0.039,-0.23,0.57,0.68,0.54,0.76,-0.6,-0.085,0.48,0.62,0.29,0.038,0.21,0.56,-0.064,-0.17
"6","^BVSP",-0.085,-0.26,-0.61,0.38,-0.23,-0.57,-0.7,-0.73,-0.53,-0.11,0.074,-0.1,-0.22,-0.017,-0.63,-0.0044,-0.2,-0.35,0.54,0.58,-0.67,-0.3,0.087,-0.63,-0.6,-0.13,-0.33,-0.15,0.014,0.034,0.26,-0.62,-0.67,-0.37,0.12,0.21,-0.29,-0.23,-0.07,-0.5,-0.49,-0.27,-0.45,-0.44,-0.21,-0.42,-0.024,-0.55,-0.54,-0.59,-0.18,-0.24,-0.45,-0.13,-0.66,-0.29,0.1,-0.26,0.27,0.12,0.052,-0.58,-0.46,-0.49,-0.055,-0.53,-0.13,-0.33,-0.32,-0.4,-0.42,-0.064,-0.51,-0.43,-0.19,-0.55,-0.47,-0.35,-0.32,0.26,0.085,-0.17,-0.2,-0.19,0.076,0.067,0.0085,-0.3,-0.45,-0.19,-0.31,-0.094,-0.01,-0.073,-0.59,0.16,0.005,0.077,-0.11,-0.24
"7","^DJI",-0.21,0.8,0.43,0.67,-0.76,0.57,0.42,0.35,0.29,0.37,0.29,0.77,0.096,-0.17,0.17,0.67,-0.43,0.21,0.11,0.39,0.33,-0.66,-0.14,-0.63,-0.48,0.19,0.14,0.22,0.46,0.22,0.72,0.2,0.45,-0.61,0.36,0.79,0.8,-0.84,-0.0085,0.31,0.29,-0.77,0.62,0.56,0.89,0.41,-0.68,0.18,0.34,0.44,0.51,0.13,-0.4,0.082,0.6,-0.26,0.77,0.33,0.41,0.36,0.37,0.43,0.26,0.65,0.17,0.56,0.6,0.16,-0.46,0.22,0.64,0.42,0.23,0.26,-0.73,0.61,0.5,0.58,-0.56,0.74,0.46,0.62,-0.89,-0.19,0.01,-0.22,0.64,0.73,0.67,0.83,-0.53,-0.027,0.54,0.69,0.37,0.0068,0.27,0.61,0.038,-0.016
"8","^FCHI",-0.31,0.81,0.42,0.72,-0.83,0.57,0.41,0.35,0.3,0.25,0.19,0.7,0.0011,-0.29,0.09,0.58,-0.53,0.21,0.12,0.35,0.28,-0.73,-0.26,-0.68,-0.53,0.099,0.18,0.11,0.37,0.11,0.68,0.13,0.42,-0.69,0.26,0.77,0.78,-0.89,0.033,0.29,0.27,-0.84,0.57,0.63,0.86,0.43,-0.76,0.093,0.29,0.41,0.44,0.029,-0.48,-0.032,0.6,-0.36,0.8,0.24,0.33,0.29,0.27,0.39,0.27,0.6,0.038,0.62,0.51,0.17,-0.53,0.14,0.67,0.3,0.21,0.25,-0.81,0.64,0.46,0.48,-0.63,0.73,0.37,0.53,-0.86,-0.29,-0.013,-0.22,0.54,0.72,0.62,0.83,-0.57,-0.15,0.46,0.61,0.31,-0.1,0.15,0.54,-0.082,-0.12
"9","^FTSE",-0.25,0.72,0.34,0.72,-0.77,0.52,0.35,0.28,0.35,0.22,0.26,0.68,-0.063,-0.2,0.062,0.61,-0.47,0.26,0.035,0.42,0.24,-0.68,-0.21,-0.65,-0.46,0.035,0.21,0.11,0.29,0.12,0.72,0.09,0.34,-0.64,0.3,0.79,0.76,-0.85,0.013,0.35,0.33,-0.79,0.48,0.55,0.82,0.41,-0.69,0.048,0.21,0.44,0.4,0.035,-0.5,0.029,0.53,-0.29,0.81,0.2,0.39,0.32,0.3,0.41,0.32,0.58,0.056,0.55,0.53,0.17,-0.45,0.04,0.6,0.29,0.28,0.29,-0.76,0.6,0.39,0.48,-0.58,0.67,0.34,0.53,-0.86,-0.21,-0.051,-0.23,0.57,0.7,0.55,0.77,-0.62,-0.1,0.47,0.63,0.3,0.0055,0.2,0.55,-0.085,-0.19
"10","^GDAXI",-0.22,0.76,0.34,0.71,-0.77,0.49,0.31,0.24,0.14,0.37,0.26,0.73,0.088,-0.19,0.067,0.64,-0.42,0.089,0.24,0.47,0.2,-0.68,-0.15,-0.7,-0.56,0.21,0.07,0.18,0.47,0.22,0.71,0.12,0.34,-0.64,0.36,0.77,0.71,-0.84,-0.043,0.17,0.15,-0.77,0.56,0.49,0.84,0.35,-0.66,0.11,0.28,0.32,0.51,0.087,-0.45,0.041,0.49,-0.31,0.76,0.3,0.42,0.36,0.36,0.31,0.12,0.56,0.16,0.47,0.56,0.064,-0.48,0.18,0.54,0.41,0.1,0.13,-0.72,0.51,0.43,0.5,-0.57,0.8,0.51,0.59,-0.87,-0.23,0.072,-0.16,0.62,0.65,0.6,0.79,-0.55,-0.052,0.51,0.65,0.26,0.016,0.25,0.59,0.042,-0.032
