"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.37,0.38,0.44,-0.38,0.26,0.094,0.64,-0.37,0.43,0.7,0.54,0.16,0.42,0.5,0.35,0.59,-0.35,0.41,0.37,-0.34,0.25,-0.049,0.045,-0.32,0.21,-0.27,0.63,0.66,0.046,0.47,0.3,-0.061,-0.016,0.65,0.52,0.44,0.34,0.31,0.19,-0.3,0.15,0.25,0.54,0.22,0.68,-0.2,0.31,0.29,0.22,0.67,0.4,0.4,0.26,0.61,0.7,0.46,0.48,0.28,0.37,0.51,0.33,0.55,0.15,0.37,-0.33,0.31,NA,0.22,0.15,-0.2,0.45,-0.27,0.33,0.33,0.5,0.083,-0.36,0.38,-0.069,0.35,0.42,-0.059,0.25,0.43,0.44,0.53,0.51,-0.0088,0.16,0.53,0.75,0.33,0.25
"2","^AXJO",0.31,0.32,0.41,-0.32,0.19,0.028,0.59,-0.31,0.42,0.73,0.47,0.11,0.47,0.44,0.38,0.6,-0.29,0.35,0.31,-0.29,0.22,-0.075,-0.0087,-0.24,0.14,-0.29,0.65,0.64,-0.023,0.42,0.23,-0.026,-0.053,0.68,0.57,0.37,0.26,0.25,0.11,-0.31,0.074,0.17,0.56,0.17,0.66,-0.19,0.23,0.21,0.14,0.64,0.34,0.33,0.26,0.57,0.68,0.43,0.42,0.2,0.34,0.53,0.26,0.51,0.087,0.44,-0.25,0.26,NA,0.15,0.093,-0.2,0.39,-0.23,0.26,0.26,0.44,0.077,-0.31,0.4,-0.069,0.29,0.36,-0.069,0.22,0.36,0.38,0.46,0.47,-0.0098,0.088,0.49,0.76,0.27,0.19
"3","^BFX",0.12,0.22,0.36,-0.13,0.051,-0.047,0.48,-0.13,0.44,0.74,0.31,0.064,0.53,0.3,0.45,0.62,-0.12,0.21,0.16,-0.14,0.21,-0.048,-0.047,-0.048,0.02,-0.29,0.66,0.6,-0.11,0.37,0.099,0.1,-0.042,0.73,0.63,0.22,0.084,0.13,-0.039,-0.28,-0.075,0.036,0.61,0.12,0.67,-0.11,0.079,0.069,0.031,0.55,0.23,0.2,0.3,0.5,0.61,0.42,0.3,0.064,0.33,0.6,0.093,0.45,0.0061,0.58,-0.072,0.22,NA,0.042,0.0066,-0.098,0.29,-0.087,0.14,0.093,0.31,0.11,-0.14,0.46,-0.041,0.22,0.22,-0.034,0.16,0.22,0.3,0.29,0.39,0.04,-0.034,0.42,0.77,0.17,0.12
"4","^BSESN",0.63,0.63,0.5,-0.66,0.54,0.34,0.77,-0.66,0.36,0.5,0.78,0.35,0.12,0.76,0.14,0.47,-0.64,0.68,0.65,-0.59,0.26,0.055,0.22,-0.64,0.51,-0.14,0.5,0.71,0.28,0.63,0.6,-0.18,0.025,0.39,0.21,0.74,0.65,0.55,0.52,-0.23,0.44,0.54,0.35,0.38,0.64,-0.27,0.64,0.58,0.52,0.77,0.66,0.62,0.11,0.67,0.7,0.46,0.66,0.53,0.41,0.34,0.63,0.63,0.39,-0.0021,-0.64,0.45,NA,0.49,0.38,-0.24,0.69,-0.41,0.57,0.64,0.72,0.091,-0.62,0.19,-0.046,0.57,0.71,-0.075,0.36,0.72,0.64,0.79,0.65,-0.052,0.44,0.62,0.65,0.57,0.39
"5","^BUK100P",-0.046,-0.057,0.16,0.041,-0.21,-0.27,0.27,0.027,0.27,0.72,0.071,-0.18,0.6,0.1,0.45,0.47,0.053,0.041,-0.00079,-0.022,0.013,-0.2,-0.29,0.16,-0.19,-0.37,0.61,0.5,-0.33,0.15,-0.11,0.2,-0.21,0.73,0.67,-0.037,-0.17,-0.11,-0.3,-0.42,-0.25,-0.2,0.54,-0.14,0.46,-0.12,-0.16,-0.2,-0.25,0.41,-0.0066,-0.057,0.22,0.26,0.4,0.21,0.056,-0.19,0.15,0.49,-0.15,0.22,-0.25,0.68,0.13,-0.046,NA,-0.22,-0.2,-0.1,0.049,-0.013,-0.074,-0.12,0.048,0.11,0.017,0.49,-0.03,-0.049,0.0037,-0.19,0.03,0.0022,0.076,0.059,0.21,-0.082,-0.24,0.18,0.68,-0.029,-0.11
"6","^BVSP",0.34,0.49,0.5,-0.36,0.34,0.18,0.67,-0.36,0.49,0.64,0.55,0.31,0.34,0.54,0.32,0.62,-0.34,0.41,0.42,-0.35,0.31,0.081,0.18,-0.32,0.25,-0.19,0.58,0.68,0.14,0.57,0.35,0.019,0.061,0.58,0.44,0.5,0.38,0.38,0.25,-0.25,0.18,0.3,0.6,0.28,0.74,-0.14,0.36,0.36,0.31,0.67,0.5,0.44,0.29,0.65,0.73,0.52,0.51,0.32,0.47,0.54,0.37,0.61,0.27,0.32,-0.33,0.41,NA,0.33,0.23,-0.13,0.52,-0.21,0.42,0.39,0.54,0.1,-0.34,0.31,-0.066,0.49,0.45,0.0056,0.21,0.47,0.5,0.55,0.5,0.033,0.21,0.58,0.75,0.42,0.33
"7","^DJI",0.49,0.62,0.57,-0.52,0.55,0.4,0.81,-0.52,0.53,0.53,0.74,0.4,0.22,0.66,0.26,0.59,-0.5,0.53,0.52,-0.44,0.39,0.13,0.34,-0.55,0.48,-0.16,0.53,0.64,0.37,0.63,0.54,-0.18,0.23,0.46,0.3,0.67,0.58,0.59,0.51,-0.17,0.38,0.53,0.5,0.46,0.75,-0.1,0.58,0.58,0.54,0.68,0.63,0.66,0.31,0.75,0.78,0.59,0.72,0.57,0.51,0.49,0.58,0.7,0.45,0.13,-0.53,0.54,NA,0.52,0.42,-0.11,0.66,-0.28,0.55,0.58,0.74,0.15,-0.48,0.26,-0.028,0.58,0.6,0.035,0.3,0.62,0.6,0.73,0.59,0.1,0.45,0.69,0.62,0.52,0.51
"8","^FCHI",0.21,0.23,0.34,-0.22,0.085,-0.019,0.52,-0.22,0.38,0.71,0.37,0.034,0.48,0.37,0.39,0.56,-0.2,0.29,0.23,-0.23,0.15,-0.081,-0.083,-0.14,0.078,-0.31,0.64,0.63,-0.12,0.36,0.18,0.052,-0.11,0.69,0.56,0.27,0.15,0.17,0.014,-0.35,-0.021,0.096,0.54,0.09,0.63,-0.17,0.15,0.11,0.066,0.59,0.26,0.23,0.22,0.48,0.6,0.37,0.33,0.11,0.3,0.52,0.15,0.44,0.012,0.49,-0.17,0.19,NA,0.064,0.037,-0.13,0.32,-0.14,0.17,0.16,0.35,0.1,-0.22,0.42,-0.044,0.21,0.29,-0.12,0.2,0.29,0.32,0.35,0.42,-0.048,0.026,0.4,0.76,0.2,0.11
"9","^FTSE",-0.038,-0.049,0.17,0.033,-0.2,-0.26,0.28,0.02,0.27,0.72,0.08,-0.17,0.6,0.11,0.45,0.47,0.046,0.047,0.0044,-0.027,0.019,-0.2,-0.28,0.15,-0.18,-0.37,0.61,0.5,-0.32,0.15,-0.1,0.2,-0.21,0.73,0.67,-0.029,-0.16,-0.096,-0.29,-0.42,-0.25,-0.19,0.54,-0.14,0.47,-0.12,-0.15,-0.19,-0.24,0.41,0.00025,-0.047,0.22,0.27,0.41,0.21,0.065,-0.18,0.15,0.5,-0.15,0.23,-0.24,0.67,0.12,-0.04,NA,-0.21,-0.2,-0.11,0.055,-0.018,-0.068,-0.11,0.057,0.1,0.01,0.48,-0.036,-0.042,0.011,-0.19,0.034,0.0095,0.082,0.069,0.21,-0.082,-0.23,0.18,0.69,-0.024,-0.1
"10","^GDAXI",0.3,0.6,0.6,-0.32,0.49,0.4,0.76,-0.34,0.65,0.51,0.62,0.47,0.27,0.53,0.32,0.69,-0.31,0.34,0.39,-0.28,0.5,0.27,0.44,-0.39,0.36,-0.14,0.49,0.56,0.39,0.63,0.42,-0.084,0.34,0.48,0.35,0.55,0.46,0.55,0.41,-0.11,0.25,0.45,0.64,0.48,0.84,0.0073,0.45,0.5,0.51,0.56,0.57,0.6,0.45,0.75,0.79,0.65,0.67,0.5,0.6,0.63,0.45,0.7,0.48,0.25,-0.37,0.6,NA,0.51,0.4,0.013,0.59,-0.14,0.51,0.47,0.66,0.18,-0.29,0.28,-0.018,0.61,0.44,0.17,0.18,0.48,0.52,0.59,0.46,0.2,0.38,0.7,0.6,0.47,0.55
"11","^GSPC",0.6,0.77,0.61,-0.63,0.7,0.52,0.84,-0.62,0.55,0.39,0.84,0.55,0.06,0.77,0.17,0.54,-0.61,0.62,0.63,-0.53,0.47,0.23,0.5,-0.68,0.6,-0.09,0.43,0.62,0.56,0.73,0.66,-0.24,0.36,0.3,0.13,0.81,0.75,0.69,0.71,-0.048,0.56,0.67,0.43,0.58,0.73,-0.11,0.72,0.74,0.7,0.69,0.75,0.77,0.3,0.8,0.77,0.65,0.8,0.71,0.55,0.41,0.74,0.74,0.6,-0.065,-0.66,0.67,NA,0.67,0.52,-0.12,0.77,-0.34,0.69,0.72,0.83,0.12,-0.57,0.13,-0.033,0.72,0.72,0.13,0.35,0.73,0.72,0.84,0.64,0.16,0.57,0.76,0.52,0.65,0.65
"12","^GSPTSE",0.35,0.52,0.59,-0.37,0.41,0.26,0.74,-0.38,0.57,0.65,0.63,0.33,0.38,0.56,0.39,0.68,-0.36,0.4,0.4,-0.32,0.41,0.092,0.26,-0.38,0.34,-0.21,0.62,0.64,0.27,0.6,0.38,-0.069,0.2,0.61,0.47,0.55,0.41,0.46,0.36,-0.17,0.25,0.38,0.61,0.4,0.77,-0.072,0.41,0.44,0.39,0.67,0.54,0.55,0.4,0.73,0.78,0.58,0.62,0.42,0.52,0.6,0.41,0.69,0.34,0.33,-0.37,0.48,NA,0.4,0.31,-0.093,0.56,-0.21,0.43,0.43,0.63,0.15,-0.34,0.34,-0.028,0.5,0.48,0.042,0.23,0.49,0.54,0.61,0.55,0.17,0.3,0.67,0.71,0.41,0.44
"13","^IPSA",0.21,0.14,0.25,-0.21,0.02,-0.15,0.44,-0.19,0.28,0.67,0.26,-0.036,0.46,0.32,0.37,0.46,-0.18,0.28,0.19,-0.24,0.038,-0.13,-0.22,-0.056,0.021,-0.32,0.58,0.6,-0.22,0.32,0.12,0.1,-0.25,0.64,0.5,0.2,0.095,0.033,-0.07,-0.4,-0.049,-0.0099,0.48,-0.049,0.48,-0.22,0.068,0.045,-0.068,0.55,0.19,0.1,0.1,0.36,0.48,0.25,0.17,-0.0065,0.21,0.4,0.1,0.33,-0.072,0.48,-0.095,0.063,NA,-0.023,-0.065,-0.2,0.24,-0.14,0.056,0.064,0.22,0.093,-0.25,0.35,-0.014,0.15,0.25,-0.22,0.2,0.21,0.26,0.26,0.38,-0.11,-0.1,0.27,0.73,0.13,0.013
"14","^IXIC",0.67,0.9,0.57,-0.7,0.83,0.65,0.78,-0.71,0.5,0.13,0.87,0.7,-0.19,0.83,0.012,0.39,-0.69,0.69,0.72,-0.59,0.52,0.36,0.67,-0.79,0.7,0.02,0.24,0.53,0.76,0.79,0.75,-0.28,0.51,0.0076,-0.13,0.91,0.89,0.76,0.89,0.13,0.75,0.79,0.26,0.69,0.63,-0.11,0.85,0.87,0.85,0.61,0.83,0.84,0.26,0.76,0.67,0.67,0.82,0.82,0.53,0.23,0.88,0.7,0.74,-0.34,-0.75,0.78,NA,0.8,0.6,-0.12,0.85,-0.38,0.83,0.85,0.87,0.093,-0.64,-0.071,-0.031,0.83,0.8,0.25,0.36,0.81,0.79,0.9,0.63,0.22,0.68,0.76,0.32,0.77,0.76
"15","^JKSE",0.34,0.3,0.37,-0.35,0.19,0.028,0.58,-0.36,0.31,0.67,0.44,0.083,0.37,0.48,0.3,0.48,-0.32,0.43,0.37,-0.37,0.09,-0.11,-0.09,-0.26,0.2,-0.24,0.6,0.7,-0.087,0.42,0.3,0.08,-0.2,0.61,0.45,0.39,0.26,0.24,0.097,-0.4,0.067,0.19,0.46,0.085,0.56,-0.2,0.28,0.21,0.12,0.68,0.38,0.29,0.11,0.5,0.59,0.33,0.36,0.18,0.3,0.41,0.25,0.46,0.072,0.35,-0.28,0.18,NA,0.15,0.11,-0.19,0.41,-0.22,0.26,0.28,0.41,0.1,-0.35,0.36,-0.032,0.28,0.43,-0.22,0.22,0.42,0.41,0.46,0.5,-0.14,0.11,0.4,0.77,0.3,0.12
"16","^JN0U",0.45,0.53,0.45,-0.48,0.38,0.21,0.69,-0.48,0.43,0.57,0.62,0.29,0.25,0.63,0.25,0.54,-0.46,0.53,0.51,-0.46,0.27,0.046,0.17,-0.43,0.32,-0.21,0.54,0.71,0.19,0.59,0.43,-0.046,0.056,0.49,0.35,0.57,0.47,0.41,0.34,-0.28,0.3,0.37,0.51,0.29,0.7,-0.23,0.46,0.41,0.37,0.7,0.53,0.47,0.22,0.64,0.69,0.51,0.55,0.38,0.41,0.45,0.47,0.58,0.28,0.21,-0.44,0.41,NA,0.35,0.24,-0.19,0.57,-0.3,0.47,0.48,0.59,0.12,-0.45,0.27,-0.051,0.49,0.55,-0.033,0.27,0.56,0.56,0.64,0.56,-0.026,0.27,0.57,0.7,0.48,0.35
"17","^KLSE",0.38,0.72,0.51,-0.41,0.5,0.29,0.65,-0.42,0.57,0.39,0.57,0.57,0.12,0.62,0.25,0.55,-0.39,0.47,0.48,-0.39,0.46,0.24,0.45,-0.38,0.31,-0.11,0.42,0.65,0.44,0.72,0.39,0.002,0.35,0.32,0.22,0.61,0.54,0.45,0.45,-0.069,0.4,0.41,0.6,0.42,0.75,-0.11,0.47,0.52,0.49,0.59,0.62,0.51,0.38,0.7,0.72,0.69,0.54,0.45,0.55,0.46,0.55,0.64,0.45,0.12,-0.38,0.61,NA,0.49,0.29,-0.15,0.66,-0.25,0.6,0.5,0.57,0.2,-0.38,0.17,0.026,0.71,0.55,0.23,0.26,0.53,0.65,0.61,0.53,0.18,0.27,0.67,0.61,0.59,0.54
"18","^KS11",0.66,0.84,0.55,-0.71,0.74,0.54,0.78,-0.72,0.44,0.29,0.87,0.58,-0.066,0.87,0.078,0.41,-0.69,0.74,0.75,-0.63,0.41,0.23,0.5,-0.75,0.66,-0.046,0.38,0.68,0.6,0.77,0.73,-0.18,0.33,0.16,-0.00089,0.9,0.81,0.69,0.77,-0.013,0.66,0.72,0.29,0.57,0.65,-0.16,0.82,0.78,0.75,0.73,0.82,0.77,0.19,0.75,0.69,0.63,0.78,0.71,0.49,0.27,0.81,0.68,0.61,-0.22,-0.74,0.67,NA,0.68,0.53,-0.16,0.85,-0.4,0.78,0.82,0.84,0.13,-0.64,0.037,-0.01,0.76,0.83,0.12,0.39,0.83,0.8,0.89,0.69,0.11,0.61,0.72,0.49,0.76,0.62
"19","^MERV",0.6,0.86,0.53,-0.61,0.73,0.47,0.71,-0.58,0.53,0.21,0.75,0.67,-0.069,0.74,0.1,0.44,-0.58,0.6,0.57,-0.48,0.51,0.27,0.6,-0.62,0.51,-0.041,0.29,0.51,0.7,0.75,0.55,-0.27,0.52,0.11,0.02,0.8,0.77,0.6,0.74,0.064,0.69,0.6,0.44,0.57,0.65,-0.1,0.67,0.76,0.7,0.55,0.73,0.71,0.34,0.77,0.71,0.71,0.7,0.68,0.57,0.31,0.78,0.68,0.63,-0.17,-0.61,0.71,NA,0.69,0.47,-0.2,0.75,-0.37,0.71,0.68,0.75,0.12,-0.57,-0.01,-0.019,0.79,0.69,0.28,0.39,0.65,0.76,0.79,0.62,0.25,0.48,0.78,0.41,0.67,0.71
"20","^MXX",0.31,0.19,0.25,-0.32,0.025,-0.17,0.43,-0.32,0.22,0.74,0.36,-0.072,0.45,0.44,0.35,0.41,-0.29,0.4,0.32,-0.33,0.032,-0.25,-0.26,-0.16,0.03,-0.34,0.66,0.72,-0.2,0.33,0.17,0.092,-0.26,0.66,0.57,0.3,0.14,0.053,-0.022,-0.37,0.037,0.045,0.41,-0.014,0.47,-0.28,0.15,0.064,-0.04,0.69,0.25,0.16,0.085,0.41,0.5,0.28,0.23,0.031,0.14,0.36,0.15,0.34,-0.13,0.43,-0.2,0.071,NA,-0.05,-0.076,-0.31,0.33,-0.28,0.17,0.19,0.28,0.018,-0.32,0.38,-0.074,0.12,0.36,-0.2,0.24,0.34,0.35,0.39,0.48,-0.13,-0.067,0.32,0.79,0.24,-0.0098
"21","^N100",0.28,0.32,0.38,-0.3,0.17,0.037,0.57,-0.3,0.41,0.7,0.45,0.11,0.44,0.45,0.37,0.57,-0.28,0.36,0.31,-0.29,0.21,-0.042,-0.0024,-0.22,0.15,-0.3,0.63,0.66,-0.019,0.44,0.24,0.011,-0.035,0.65,0.53,0.36,0.25,0.23,0.11,-0.32,0.079,0.17,0.55,0.16,0.67,-0.19,0.23,0.2,0.15,0.63,0.33,0.3,0.24,0.54,0.64,0.43,0.4,0.19,0.33,0.52,0.25,0.49,0.086,0.43,-0.24,0.27,NA,0.14,0.082,-0.16,0.4,-0.2,0.26,0.25,0.42,0.11,-0.29,0.4,-0.048,0.3,0.36,-0.075,0.23,0.36,0.4,0.44,0.47,-0.017,0.084,0.46,0.75,0.28,0.18
"22","^N225",0.63,0.74,0.47,-0.68,0.59,0.4,0.74,-0.67,0.44,0.39,0.8,0.44,0.046,0.81,0.13,0.43,-0.65,0.7,0.68,-0.59,0.35,0.15,0.37,-0.67,0.51,-0.18,0.45,0.71,0.45,0.7,0.63,-0.2,0.25,0.27,0.13,0.79,0.72,0.58,0.64,-0.14,0.58,0.6,0.35,0.46,0.68,-0.25,0.71,0.64,0.62,0.73,0.68,0.65,0.2,0.71,0.7,0.62,0.71,0.61,0.41,0.31,0.74,0.62,0.46,-0.085,-0.67,0.59,NA,0.54,0.38,-0.23,0.75,-0.42,0.69,0.71,0.76,0.13,-0.61,0.13,-0.036,0.65,0.75,0.081,0.41,0.75,0.73,0.82,0.67,0.035,0.48,0.66,0.56,0.68,0.52
"23","^NYA",0.48,0.54,0.52,-0.5,0.45,0.29,0.76,-0.5,0.46,0.6,0.69,0.3,0.28,0.64,0.28,0.57,-0.49,0.53,0.5,-0.44,0.31,0.033,0.21,-0.49,0.41,-0.2,0.58,0.68,0.24,0.59,0.48,-0.13,0.1,0.53,0.36,0.62,0.51,0.49,0.42,-0.24,0.32,0.45,0.49,0.36,0.71,-0.16,0.51,0.48,0.43,0.72,0.58,0.57,0.25,0.7,0.75,0.52,0.64,0.46,0.45,0.47,0.51,0.64,0.33,0.19,-0.49,0.44,NA,0.41,0.33,-0.16,0.61,-0.3,0.48,0.51,0.67,0.13,-0.47,0.29,-0.038,0.5,0.58,-0.04,0.31,0.59,0.58,0.69,0.6,0.031,0.36,0.63,0.69,0.47,0.4
"24","^NZ50",0.66,0.75,0.55,-0.68,0.65,0.46,0.79,-0.67,0.47,0.38,0.85,0.48,0.035,0.78,0.12,0.49,-0.66,0.66,0.66,-0.57,0.42,0.16,0.43,-0.71,0.56,-0.13,0.4,0.61,0.51,0.7,0.64,-0.29,0.29,0.27,0.11,0.8,0.76,0.64,0.69,-0.077,0.59,0.63,0.37,0.52,0.68,-0.23,0.71,0.7,0.65,0.69,0.7,0.72,0.25,0.73,0.74,0.59,0.75,0.66,0.46,0.34,0.76,0.67,0.53,-0.099,-0.69,0.62,NA,0.61,0.44,-0.22,0.74,-0.43,0.68,0.73,0.8,0.14,-0.63,0.12,-0.019,0.67,0.71,0.11,0.35,0.72,0.69,0.85,0.61,0.11,0.52,0.7,0.5,0.64,0.58
"25","^RUT",0.63,0.66,0.49,-0.66,0.53,0.31,0.74,-0.67,0.4,0.52,0.78,0.36,0.14,0.8,0.19,0.46,-0.64,0.7,0.67,-0.61,0.29,0.03,0.23,-0.62,0.49,-0.2,0.55,0.77,0.33,0.68,0.59,-0.12,0.13,0.39,0.24,0.76,0.65,0.51,0.55,-0.18,0.5,0.53,0.37,0.4,0.65,-0.26,0.64,0.58,0.51,0.81,0.67,0.62,0.17,0.7,0.71,0.56,0.66,0.53,0.39,0.33,0.66,0.62,0.37,0.017,-0.62,0.5,NA,0.46,0.33,-0.27,0.73,-0.43,0.63,0.67,0.72,0.086,-0.62,0.19,-0.05,0.57,0.73,-0.0074,0.37,0.74,0.71,0.82,0.69,0.018,0.4,0.64,0.66,0.64,0.43
"26","^STI",0.01,-0.15,0.067,-0.011,-0.31,-0.38,0.18,-0.0095,0.11,0.72,0.032,-0.32,0.58,0.098,0.4,0.34,0.0073,0.1,0.012,-0.064,-0.12,-0.35,-0.47,0.16,-0.24,-0.38,0.6,0.52,-0.48,0.066,-0.11,0.21,-0.41,0.72,0.65,-0.066,-0.2,-0.21,-0.37,-0.45,-0.28,-0.26,0.39,-0.25,0.32,-0.23,-0.18,-0.28,-0.35,0.44,-0.079,-0.16,0.052,0.14,0.31,0.079,-0.045,-0.27,-0.016,0.36,-0.19,0.12,-0.39,0.63,0.12,-0.18,NA,-0.34,-0.3,-0.2,-0.0083,-0.072,-0.16,-0.16,-0.021,0.064,-0.043,0.46,-0.026,-0.17,0.024,-0.27,0.091,0.0079,0.05,0.031,0.23,-0.19,-0.32,0.054,0.7,-0.068,-0.26
"27","^STOXX50E",0.19,0.34,0.44,-0.2,0.2,0.099,0.6,-0.21,0.51,0.68,0.42,0.19,0.45,0.39,0.41,0.65,-0.19,0.26,0.25,-0.2,0.29,0.056,0.098,-0.17,0.14,-0.26,0.61,0.61,0.038,0.45,0.21,0.044,0.054,0.66,0.54,0.33,0.21,0.27,0.1,-0.27,0.02,0.18,0.63,0.22,0.73,-0.08,0.2,0.21,0.18,0.57,0.35,0.33,0.34,0.58,0.68,0.49,0.42,0.21,0.43,0.61,0.21,0.54,0.16,0.48,-0.18,0.34,NA,0.2,0.14,-0.065,0.39,-0.11,0.26,0.22,0.43,0.13,-0.19,0.4,-0.038,0.35,0.3,0.0056,0.16,0.31,0.37,0.39,0.41,0.062,0.11,0.51,0.74,0.27,0.25
"28","^TA125",0.17,0.13,0.32,-0.17,0.00047,-0.15,0.45,-0.17,0.34,0.78,0.31,-0.069,0.58,0.32,0.46,0.53,-0.15,0.24,0.18,-0.19,0.12,-0.23,-0.2,-0.05,0.016,-0.39,0.7,0.61,-0.14,0.32,0.089,0.1,-0.092,0.75,0.66,0.21,0.045,0.048,-0.045,-0.34,-0.019,-0.024,0.54,0.041,0.52,-0.15,0.049,0.027,-0.083,0.58,0.2,0.16,0.26,0.44,0.54,0.33,0.24,0.017,0.23,0.49,0.072,0.38,-0.11,0.58,-0.069,0.11,NA,-0.048,-0.076,-0.19,0.26,-0.14,0.1,0.099,0.26,0.11,-0.2,0.46,-0.014,0.09,0.22,-0.17,0.14,0.2,0.28,0.31,0.38,0.025,-0.093,0.36,0.75,0.14,0.057
"29","^TWII",0.67,0.86,0.56,-0.7,0.76,0.55,0.79,-0.7,0.46,0.24,0.85,0.62,-0.1,0.84,0.056,0.42,-0.68,0.71,0.72,-0.61,0.43,0.27,0.54,-0.75,0.65,-0.02,0.32,0.62,0.63,0.78,0.71,-0.23,0.34,0.12,-0.035,0.89,0.83,0.7,0.78,-0.013,0.68,0.73,0.32,0.57,0.65,-0.16,0.81,0.8,0.77,0.68,0.81,0.77,0.21,0.75,0.69,0.62,0.78,0.72,0.52,0.27,0.82,0.69,0.65,-0.24,-0.74,0.68,NA,0.72,0.54,-0.17,0.82,-0.4,0.77,0.8,0.83,0.14,-0.64,0.00071,-0.0071,0.8,0.8,0.13,0.4,0.8,0.79,0.88,0.67,0.12,0.6,0.73,0.46,0.74,0.65
"30","^VIX",-0.16,-0.42,-0.46,0.18,-0.29,-0.18,-0.61,0.18,-0.58,-0.54,-0.45,-0.3,-0.4,-0.39,-0.44,-0.61,0.17,-0.2,-0.22,0.15,-0.38,-0.12,-0.28,0.2,-0.25,0.22,-0.53,-0.48,-0.32,-0.53,-0.21,0.04,-0.33,-0.54,-0.45,-0.37,-0.26,-0.35,-0.26,0.19,-0.2,-0.25,-0.66,-0.32,-0.69,-0.017,-0.24,-0.31,-0.27,-0.46,-0.4,-0.42,-0.47,-0.63,-0.63,-0.55,-0.49,-0.31,-0.5,-0.58,-0.3,-0.57,-0.28,-0.39,0.19,-0.42,NA,-0.32,-0.21,0.032,-0.41,0.11,-0.31,-0.28,-0.46,-0.21,0.15,-0.34,-0.015,-0.42,-0.28,-0.038,-0.14,-0.27,-0.41,-0.43,-0.39,-0.22,-0.18,-0.59,-0.55,-0.28,-0.43
"31","^XAX",0.23,0.32,0.41,-0.24,0.19,0.037,0.58,-0.24,0.44,0.67,0.41,0.14,0.44,0.42,0.4,0.58,-0.22,0.3,0.27,-0.26,0.22,-0.035,0.018,-0.17,0.13,-0.29,0.62,0.64,0.042,0.45,0.21,0.069,0.0097,0.65,0.53,0.35,0.21,0.23,0.12,-0.33,0.088,0.15,0.61,0.14,0.64,-0.098,0.21,0.2,0.13,0.6,0.36,0.31,0.31,0.55,0.65,0.44,0.39,0.17,0.39,0.52,0.22,0.5,0.11,0.46,-0.19,0.26,NA,0.17,0.1,-0.12,0.39,-0.13,0.25,0.23,0.4,0.16,-0.24,0.37,-0.0074,0.31,0.33,-0.09,0.17,0.32,0.39,0.41,0.45,0.03,0.079,0.47,0.74,0.27,0.22
"32","000001",0.55,0.87,0.63,-0.57,0.86,0.66,0.79,-0.55,0.51,0.043,0.74,0.78,-0.22,0.68,-0.022,0.44,-0.55,0.54,0.57,-0.46,0.52,0.45,0.71,-0.68,0.68,0.14,0.11,0.39,0.72,0.76,0.66,-0.28,0.42,-0.026,-0.21,0.81,0.82,0.77,0.79,0.12,0.6,0.76,0.35,0.63,0.6,-0.0038,0.75,0.87,0.84,0.47,0.8,0.79,0.25,0.72,0.64,0.58,0.75,0.76,0.65,0.29,0.77,0.73,0.81,-0.31,-0.65,0.73,NA,0.86,0.68,-0.026,0.76,-0.26,0.69,0.71,0.79,0.13,-0.51,-0.14,0.0097,0.9,0.69,0.24,0.33,0.68,0.69,0.75,0.54,0.22,0.65,0.72,0.3,0.64,0.75
