"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.362,4.51e-21,5.65e-70,1.4e-30,9.04e-05,2.83e-16,1.72e-19,1.78e-18,1.58e-15,1.23e-52,0.442,0.0552,4.06e-09,2.14e-07,6.32e-05,4.1e-09,0.496,5.69e-05,1.21e-10,9.95e-10,0.878,0.173,0.00714,4.04e-13,4.85e-14,4.48e-24,2.28e-10,3.6e-25,0.109,0.468,5.65e-10,0.0467,0.000227,1.27e-64,1.05e-26,8.28e-08,2.18e-22,2.34e-09,6.6e-33,2.21e-05,0.97,0.127,6.04e-07,0.000138,4.51e-23,0.845,1.36e-30,0.422,9.17e-11,0.000317,2.93e-10,7.33e-41,5.71e-12,1.31e-73,1.41e-08,3.55e-11,1.07e-23,2.58e-23,9.18e-18,0.00313,3.07e-68,0.0132,0.105,2.41e-19,3e-09,5.71e-08,4.55e-34,0.0197,0.418,5.25e-46,2.53e-07
"2","^AXJO",0.442,4.52e-20,3.2e-67,2.01e-29,7.56e-05,6.33e-17,1.72e-20,1.17e-17,1.39e-16,1.82e-54,0.616,0.092,5.36e-09,3.6e-07,4.75e-05,7.44e-09,0.634,1.94e-05,3.28e-10,2.83e-10,0.897,0.134,0.0043,6.18e-14,2.21e-14,2.21e-25,5.94e-10,6.12e-24,0.124,0.575,1.18e-09,0.0646,0.000342,5.59e-66,3.42e-26,2.1e-08,2.09e-21,5.23e-09,1.93e-33,4.83e-05,0.972,0.157,1.69e-07,0.000316,4.96e-22,0.938,6.64e-32,0.288,1.81e-10,0.000236,1.03e-09,1.28e-39,1.26e-11,1.99e-71,8.78e-09,2.03e-10,3.19e-24,1.01e-23,3.36e-18,0.00216,1.29e-66,0.0231,0.167,1.03e-18,5.94e-10,1.89e-07,3.24e-34,0.0403,0.338,1.44e-44,2.71e-07
"3","^BFX",1.48e-06,3.36e-28,4.27e-24,3.97e-14,0.475,0.0464,0.0514,3.72e-25,0.00284,0.182,2.53e-17,4.66e-19,0.0615,1.42e-17,0.897,1.69e-24,1.03e-14,4.26e-05,1.09e-17,0.0471,0.906,2.95e-06,4.79e-11,6.93e-05,0.106,0.329,3.53e-29,9.35e-44,0.00168,2.95e-08,7.8e-14,1.9e-05,6.84e-11,1.11e-08,1.64e-14,0.000107,6.73e-50,3.32e-12,0.014,9.29e-27,0.125,9.27e-06,0.261,3.04e-14,5.07e-36,0.000616,0.0231,3.46e-07,6.82e-32,0.456,1.47e-17,4.46e-44,4.44e-33,2.85e-27,0.641,5.87e-21,0.327,0.198,0.0679,0.086,7.08e-26,4.2e-12,2.15e-18,7.84e-21,7.3e-07,3.05e-29,2.29e-09,2.15e-18,0.00149,9.4e-24,0.00943
"4","^BSESN",0.0197,1.73e-21,1.62e-24,2.47e-06,3.98e-13,5.78e-09,3.94e-08,9.74e-05,2.87e-06,8.89e-08,0.871,0.291,9.74e-17,4.87e-16,3.37e-08,4.98e-21,0.909,0.0356,0.0107,2.76e-06,1.36e-06,0.00254,0.128,4.13e-05,2.33e-18,2.41e-09,5.07e-24,1.17e-31,0.0038,0.0514,0.0228,0.492,3.01e-10,4.38e-16,1.59e-06,0.000233,1.15e-37,0.252,5.28e-25,0.147,0.00117,0.134,3.38e-08,0.398,1.91e-27,0.00381,0.0581,0.121,3.44e-26,2.08e-08,0.0129,2.93e-43,6.55e-28,1.5e-21,0.0461,0.0266,2.36e-06,9.76e-08,5.22e-06,3.03e-20,7.75e-17,0.536,0.828,0.00798,0.035,0.00423,8.92e-34,0.192,2.97e-07,1.58e-08,0.00622
"5","^BUK100P",4.84e-08,0.00474,2.2e-09,2.22e-07,9.39e-18,3.73e-16,7.09e-20,0.706,4.31e-07,4.61e-15,1.14e-05,0.00205,1.18e-15,0.109,1.86e-22,8.75e-05,9.65e-06,1.04e-12,0.376,1.77e-14,2.73e-11,1.34e-09,6.69e-07,4.44e-12,2.83e-16,6.11e-20,1.88e-06,0.000954,0.00479,1e-05,0.052,2.55e-07,1.5e-07,2.24e-12,0.0837,5.44e-17,0.00101,0.0226,3.82e-06,0.719,5.65e-07,1.17e-05,8.75e-19,0.00103,0.000796,6.17e-10,1.61e-11,1.33e-09,0.00348,5.76e-18,0.201,1.44e-07,0.000273,4.22e-14,6.5e-17,0.788,2.01e-06,3.51e-11,5.75e-14,1.11e-15,9.09e-08,6.15e-05,0.00346,0.169,1.92e-10,0.504,1.82e-23,0.000247,8.76e-10,0.000136,0.498
"6","^BVSP",6.36e-16,4.42e-41,8.66e-48,2.64e-13,0.000603,0.862,0.604,2.36e-48,5.06e-05,1.65e-15,1.21e-12,2.49e-14,0.114,5.31e-14,0.00892,6.07e-30,7.18e-17,0.00269,6.01e-37,0.399,4.69e-08,5.15e-10,8.27e-06,0.954,0.041,0.00083,4.82e-40,8.6e-61,3.39e-05,4.57e-11,9.69e-43,6.85e-19,5.7e-17,2.07e-40,1.57e-50,0.017,3.74e-60,7.35e-33,5.79e-17,2.65e-24,1.55e-07,1.06e-19,0.869,2.94e-24,7.98e-53,6.24e-13,3.28e-16,8.03e-06,2.66e-32,5.36e-05,9.4e-36,8.91e-88,3.7e-37,2.51e-47,0.22,8.09e-26,2.66e-08,4.29e-05,0.00124,0.151,5.85e-71,3.37e-22,2.07e-14,5.61e-46,0.109,1.72e-27,3.38e-10,1.8e-15,1.07e-05,1.62e-59,1.55e-12
"7","^DJI",0.00207,6.47e-25,1.39e-44,3.16e-20,0.0283,0.0018,0.000156,2.94e-25,0.0031,2.21e-16,4.79e-05,5.67e-07,1.24e-05,1.41e-13,0.0496,9.6e-21,2.67e-05,0.56,5.18e-17,0.0503,0.858,0.0816,0.0718,0.0614,1.54e-07,1.11e-06,1.11e-24,9.56e-37,0.00127,0.00385,2.88e-14,0.000791,3.12e-10,1.05e-31,1.62e-24,0.262,1.81e-39,1.25e-12,3.64e-14,1.44e-16,0.464,0.000398,0.00542,2.83e-09,7.12e-31,0.0524,3.92e-15,0.0848,7.87e-26,0.245,1.92e-16,3.2e-55,9.46e-28,8.32e-54,0.00425,4.05e-16,9.6e-08,5.18e-08,4.29e-10,0.00257,1.49e-50,1.19e-06,7.39e-08,7.08e-26,0.384,3.84e-19,3.52e-21,2.46e-07,0.449,1.39e-39,4.38e-07
"8","^FCHI",0.0702,8.86e-29,9.42e-56,1.35e-25,2.6e-05,9.68e-06,2.37e-06,4.8e-21,0.00259,2.35e-17,0.000164,8.43e-07,7.96e-09,4.02e-15,0.000379,1.71e-17,0.00129,0.315,5.27e-13,0.00235,0.0944,0.698,0.517,0.00637,7.54e-11,2.52e-07,1.42e-21,2.29e-40,0.00375,0.0216,2.85e-10,0.0181,1.2e-08,4.01e-31,8.52e-22,0.0607,1.49e-41,4e-09,7.96e-16,1.27e-11,0.742,0.0404,0.00158,3.54e-07,8.38e-35,0.585,4.49e-11,0.177,2.34e-22,0.00437,2.7e-13,4.38e-55,6.74e-24,1.73e-61,0.000464,1.42e-15,1.48e-08,2.91e-10,2.87e-10,9.15e-05,5.21e-50,6.59e-05,6.93e-06,2.56e-19,0.147,3.39e-15,5.07e-28,6.62e-07,0.783,2.03e-37,0.000836
"9","^FTSE",4.32e-08,0.0045,5.33e-10,1.01e-07,4.43e-18,5.13e-17,7.93e-21,0.638,1.63e-07,5.16e-16,9.34e-06,0.00228,3.19e-16,0.0726,8.36e-23,5.9e-05,8.49e-06,2.58e-13,0.413,4.45e-15,3.44e-11,8.88e-10,3.43e-07,1.5e-12,3.88e-17,7.01e-21,1.23e-06,0.000755,0.00461,1.05e-05,0.0612,2.35e-07,1.31e-07,4.81e-13,0.0603,1.83e-17,0.000678,0.0251,1.01e-06,0.707,6.3e-07,8.84e-06,3.81e-19,0.00113,0.000716,6.05e-10,9.4e-12,1.23e-09,0.00227,2.94e-18,0.22,5.4e-08,0.000195,7.66e-15,4.28e-17,0.832,8.1e-07,9.04e-12,2.86e-14,4.01e-16,3.18e-08,5.7e-05,0.0029,0.154,5.32e-11,0.489,5.53e-25,0.000276,4.64e-10,7.59e-05,0.46
"10","^GDAXI",0.127,6.46e-32,1.07e-57,1.3e-17,1.49e-06,3.53e-07,2.13e-06,4.31e-19,6.13e-05,1.67e-17,0.002,3.88e-06,1.27e-09,5.54e-22,0.00295,1.19e-19,0.00422,0.259,7.14e-14,0.000166,0.425,0.964,0.723,0.000413,1e-15,1.34e-07,2.96e-23,3.07e-47,0.00662,0.113,4.06e-11,0.0124,6.32e-08,3.91e-35,5.5e-22,0.0478,4.49e-53,2.34e-09,1.25e-22,4.26e-08,0.928,0.139,0.000239,1.4e-06,1.08e-39,0.478,8.53e-09,0.291,2.78e-27,0.0206,1.96e-11,1.22e-67,5.33e-28,5.1e-61,0.122,3.4e-11,2.68e-10,4.49e-11,4.05e-09,1.7e-06,9.12e-50,1.85e-05,0.000503,1.18e-15,0.111,7.35e-11,2.52e-31,7.74e-06,0.186,2.78e-32,0.115
