"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",1.51e-08,3.79e-44,3.77e-07,3.35e-35,9.7e-64,4.11e-17,2.47e-07,7.43e-07,4.81e-05,0.701,0.412,1.59e-18,0.000107,2.38e-10,0.407,3.15e-12,2.04e-23,0.00236,0.145,0.000142,0.00194,1.15e-39,4.44e-07,2.66e-29,4.71e-20,0.0169,0.028,0.462,0.00808,0.329,4.06e-21,0.62,1.05e-07,4.53e-34,0.14,3.69e-34,5.37e-38,3.51e-79,0.803,5.01e-05,0.000128,5.49e-64,1.46e-09,1.23e-32,1.7e-48,4.17e-13,7.97e-62,0.181,0.0192,3.6e-08,0.0015,0.0883,4.94e-16,0.00396,6.37e-20,2.53e-11,5.99e-43,0.511,0.000201,0.0604,0.131,6.08e-06,0.000163,6.28e-13,0.0171,1.84e-32,8.78e-09,0.0412,1.23e-23,0.303,1.56e-41,0.0914,0.0101,0.000643,2.94e-62,2.94e-28,2.14e-08,8.97e-08,5.68e-30,1.79e-17,0.0501,1.12e-09,6.68e-51,7.18e-09,0.161,0.000162,2.4e-09,9.36e-30,5.39e-15,1.91e-55,2.15e-29,2.66e-06,4.66e-06,8.03e-16,0.00107,0.000381,0.765,7.07e-10,4.47e-06,1.59e-05
"2","^AXJO",9.68e-08,4.29e-44,2.06e-06,2.13e-38,1.31e-63,1.37e-15,2.32e-06,8.72e-06,0.000388,0.414,0.232,7.5e-20,0.000717,1.46e-09,0.357,2.42e-13,1.1e-22,0.00796,0.046,1.08e-05,0.00705,2.3e-40,3.1e-06,1.17e-32,6.04e-22,0.0611,0.0572,0.702,0.00137,0.595,2.24e-23,0.59,6.9e-07,3.73e-35,0.0509,4.19e-37,2.24e-37,5.75e-81,0.883,0.000326,0.000704,4.59e-65,1.76e-09,8.77e-29,1.12e-48,2.18e-12,1.47e-57,0.188,0.0247,4.38e-07,0.000417,0.147,1.58e-16,0.00958,5.27e-18,2.39e-11,1.92e-44,0.371,2.26e-05,0.0182,0.0517,2.89e-05,0.000923,2.27e-12,0.0531,2.19e-28,1.58e-09,0.0804,1.67e-23,0.458,3.4e-37,0.041,0.0302,0.00285,5.11e-61,6.15e-25,2.82e-08,8.25e-08,9.81e-30,3.95e-20,0.0115,3.53e-10,1.48e-53,2.15e-08,0.253,0.000318,2.44e-10,3.76e-29,7.09e-15,1.01e-54,3.15e-28,1.58e-05,6.86e-07,1.04e-16,0.00276,0.00217,0.912,5.8e-11,3.42e-05,5.86e-05
"3","^BFX",7.9e-06,1.19e-51,4.7e-07,4.57e-40,4.75e-57,1.2e-16,5.6e-07,4.99e-06,0.000147,0.00972,0.0442,7.22e-27,0.242,1.19e-07,0.648,2.43e-16,7.13e-20,0.0089,0.0408,1.7e-06,0.00162,1.63e-37,9.25e-05,2.98e-33,4.07e-21,0.883,0.0241,0.343,3.62e-07,0.39,1.27e-27,0.444,1.03e-07,7.53e-33,0.00243,2.65e-41,3.14e-41,7.54e-78,0.75,0.000214,0.000456,9.92e-61,6.58e-13,1.63e-23,8.21e-58,1.01e-12,1.57e-47,0.985,0.00335,1.84e-07,1.08e-07,0.64,6.99e-14,0.133,7.61e-20,1.02e-08,2.04e-48,0.0292,5.67e-07,0.000152,0.00193,4.1e-06,0.000594,4.17e-16,0.645,3.94e-23,1.72e-12,0.0336,4.38e-20,0.227,1.67e-34,0.000476,0.012,0.00167,1.94e-53,6.3e-23,2.47e-10,2.2e-10,1.54e-26,3.6e-29,1.45e-05,1.8e-12,8.03e-57,9.15e-07,0.515,0.000818,8.24e-14,2e-31,8.07e-21,9.18e-58,1.14e-21,0.00323,4.86e-10,8.55e-20,0.00072,0.0364,0.178,7.08e-14,0.0164,0.0123
"4","^BSESN",2.28e-11,2.61e-44,1.42e-25,8.14e-06,2.2e-30,3.48e-45,2.35e-32,1.58e-36,1.49e-25,0.0398,0.0161,1.58e-07,3.93e-05,7.96e-16,0.00545,0.00392,2.12e-20,3.64e-16,1.75e-06,0.0132,1.21e-17,8.46e-21,5.31e-19,0.000539,0.0087,0.000237,2.76e-10,0.0154,0.189,5.83e-06,0.000192,0.00117,2.49e-25,5.84e-16,0.054,9.11e-11,2.75e-36,7.41e-31,0.00608,1.01e-18,4.64e-17,1.5e-28,1.04e-16,1.03e-93,2.46e-34,5.43e-23,3.84e-44,0.104,8.68e-07,7.79e-24,0.00555,0.0246,0.000177,7.27e-05,3.65e-57,4.89e-09,5.09e-26,0.862,0.0431,0.179,0.017,9.05e-23,3.95e-22,3.02e-24,2.43e-06,5.43e-100,0.000557,7.83e-08,3.17e-10,0.579,4.87e-68,0.156,4.92e-12,1.29e-16,4.13e-32,2.91e-84,8.57e-13,2.18e-06,3.66e-13,0.000527,0.0652,9.22e-05,7.01e-14,4.73e-10,0.0201,0.000709,0.072,1.42e-30,1.6e-20,4.8e-35,1.07e-14,5.55e-08,0.3,1.93e-06,1.62e-14,1.76e-11,0.000607,0.0154,4.93e-09,3.08e-05
"5","^BUK100P",0.000247,1.09e-36,8.05e-07,1.31e-38,4.41e-44,1.26e-15,6.16e-07,0.000136,1.13e-06,0.000331,2.24e-05,4.96e-32,0.558,0.00529,0.401,1.04e-24,2.37e-13,0.000442,0.335,5.62e-12,0.000908,2.17e-31,0.0048,4.08e-30,1.59e-13,0.359,0.00492,0.0548,1.6e-06,0.0441,7.71e-37,0.206,7.08e-07,1.42e-26,4.24e-07,3.14e-50,7.28e-42,2.66e-62,0.891,7.17e-07,5.56e-06,1.15e-47,4e-14,5.3e-17,2.03e-53,6.41e-10,1.19e-31,0.461,0.00198,1.4e-10,1.9e-10,0.506,6.52e-16,0.513,5.46e-16,1.08e-05,4.22e-51,0.00141,4.89e-10,5.2e-07,2.03e-06,9e-10,6.2e-06,3.04e-20,0.247,5.54e-17,1.26e-18,0.0236,8.98e-13,0.423,2.53e-21,4.05e-06,0.000163,5.25e-05,1.29e-41,4.44e-21,2.46e-09,7.02e-14,3.19e-21,1.17e-32,1.59e-08,1.17e-17,6.86e-66,0.00183,0.564,0.000592,4.86e-21,2.65e-32,1.55e-18,1.61e-43,1.64e-23,0.203,2.21e-14,1.3e-25,1.47e-05,0.575,0.00124,7.65e-20,0.341,0.00912
"6","^BVSP",0.205,0.00011,8.29e-24,3.04e-09,0.000475,6.46e-21,1.33e-34,1.2e-38,7.22e-18,0.097,0.27,0.122,0.000949,0.801,3.89e-26,0.947,0.00244,7.87e-08,1.62e-18,2.68e-21,1.19e-30,3.95e-06,0.197,1.9e-26,4.55e-23,0.0617,3.9e-07,0.0237,0.837,0.614,0.000101,8.2e-25,1.07e-30,8.45e-09,0.0793,0.00137,1.43e-05,0.000618,0.299,7.17e-16,5.13e-15,3.65e-05,7.77e-13,4.46e-12,0.00171,5.07e-11,0.725,4.53e-19,1.63e-18,1.47e-22,0.00678,0.000381,1.33e-12,0.0459,6.49e-29,1.09e-05,0.123,7.01e-05,3.84e-05,0.08,0.443,9.03e-22,2.9e-13,4.11e-15,0.409,2.8e-17,0.051,2.95e-07,1.1e-06,3.37e-10,8.96e-11,0.339,3.23e-16,2.89e-11,0.00343,4.15e-19,1.38e-13,5e-08,6.77e-07,7.81e-05,0.202,0.0117,0.00291,0.00466,0.258,0.32,0.899,5.22e-06,2.06e-12,0.00548,1.94e-06,0.159,0.881,0.275,2.23e-22,0.0165,0.94,0.25,0.0929,0.000388
"7","^DJI",0.00129,3.17e-51,9.98e-12,1.37e-30,5.92e-43,5.96e-21,6.95e-11,5.38e-08,7.17e-06,9.18e-09,1.21e-05,2e-45,0.153,0.0113,0.0107,1.4e-30,2.63e-11,0.00169,0.102,1.26e-09,5.57e-07,7.82e-30,0.032,1.36e-26,3.81e-14,0.00493,0.0337,0.000983,2.51e-13,0.000727,1.73e-37,0.00216,1.23e-12,7.85e-24,2.09e-08,2.13e-49,6.67e-51,3.29e-62,0.899,3.28e-06,8.17e-06,3.24e-45,6.65e-25,7.22e-20,1.82e-76,2.34e-10,1.28e-31,0.00637,1.44e-07,8.04e-12,3.07e-16,0.0447,4.59e-10,0.221,4.46e-23,9.02e-05,3.99e-45,4.05e-07,1.09e-10,1.91e-08,9.06e-09,1.13e-11,7.12e-05,2.57e-28,0.0115,1.32e-19,1.12e-23,0.0154,2.64e-13,0.00116,1.44e-27,4.16e-11,0.000557,8.3e-05,6.89e-38,4.45e-24,1.32e-15,2.07e-21,1.45e-19,2.15e-39,2.6e-13,4.84e-25,1.43e-76,0.00412,0.878,0.00082,7.84e-27,6.06e-39,1.03e-30,4.29e-59,6.67e-18,0.69,2.22e-18,1.97e-32,1.73e-08,0.919,3.05e-05,2.51e-24,0.569,0.812
"8","^FCHI",3.25e-06,3.3e-53,4.74e-11,1.91e-37,4.63e-57,1.05e-20,2.07e-10,1.05e-07,6.05e-06,0.000127,0.00483,4.73e-34,0.987,8.06e-06,0.181,9.31e-22,1.4e-17,0.00143,0.0793,5.35e-08,2.4e-05,5.07e-39,5.96e-05,6.63e-32,1.28e-17,0.139,0.00744,0.103,1.58e-08,0.103,2.79e-32,0.0446,4.62e-11,2.78e-33,7.52e-05,1.97e-45,4.3e-47,8.37e-79,0.625,1.32e-05,3.5e-05,4.51e-61,1.78e-20,1.03e-25,1.07e-67,1.34e-11,9.94e-44,0.165,1.21e-05,1.56e-10,3.04e-12,0.664,2.97e-14,0.635,4.78e-23,3.46e-08,6.68e-52,0.000301,3.47e-07,1.09e-05,5.5e-05,1.1e-09,4.57e-05,2.61e-23,0.567,3.39e-25,1.61e-16,0.0125,1.06e-17,0.0371,1.21e-30,5.23e-06,0.00157,0.00016,3.82e-53,4.02e-27,2.25e-13,2.62e-14,3.24e-26,6.63e-39,7.8e-09,5.83e-18,2.08e-67,7.85e-06,0.846,0.000794,1.74e-18,2.25e-36,5.96e-25,1.14e-57,5.84e-21,0.0292,6.74e-13,1.71e-24,1.73e-06,0.136,0.0226,3.54e-18,0.224,0.0629
"9","^FTSE",0.000118,8.86e-38,1.89e-07,3.93e-37,1.34e-45,6.59e-17,9.76e-08,2.4e-05,7.63e-08,0.000998,6.74e-05,2e-31,0.346,0.0029,0.352,3.22e-24,6.26e-14,0.000108,0.6,8.47e-11,0.000262,8.23e-32,0.00172,9.19e-29,6.18e-13,0.603,0.0019,0.0951,9.64e-06,0.0764,1.77e-36,0.179,1.21e-07,1.09e-26,4.8e-06,6.37e-49,1.31e-43,1.93e-64,0.848,5.23e-08,5.66e-07,8.91e-49,1.78e-14,9.12e-19,5.62e-56,9.78e-11,2.11e-33,0.479,0.00167,5.8e-12,8.29e-10,0.599,6.8e-16,0.668,1.56e-17,8.22e-06,1.68e-52,0.00237,2.42e-09,1.44e-06,6.72e-06,1.24e-10,6.63e-07,2.03e-21,0.408,5.64e-19,7.27e-18,0.0111,8.58e-13,0.55,2.04e-23,9.5e-06,2.49e-05,8.15e-06,1.3e-43,1.59e-23,1.15e-09,3.14e-14,8.38e-22,2.4e-30,1.37e-07,1.39e-17,1.82e-66,0.00126,0.446,0.000508,1.96e-20,4.75e-34,5.84e-19,1.01e-45,8.35e-25,0.121,1.32e-13,8.77e-26,5.55e-06,0.935,0.00283,6.22e-19,0.205,0.00502
"10","^GDAXI",0.000775,4.44e-43,1.2e-07,4.63e-36,1.96e-44,5.41e-15,3.28e-06,0.000303,0.0312,7.7e-09,9.43e-05,4.73e-38,0.188,0.00493,0.318,1.15e-27,4.19e-11,0.185,0.000328,1.82e-13,0.00221,2.09e-31,0.0213,8.98e-35,1.33e-19,0.0018,0.298,0.00752,7.85e-14,0.00102,7.92e-36,0.0685,1.21e-07,6.34e-27,3.63e-08,5.9e-45,1.19e-35,9.88e-61,0.526,0.0123,0.0217,4.63e-46,9.65e-20,9.19e-15,2.55e-61,4.85e-08,6.17e-29,0.107,2.22e-05,1.29e-06,2.72e-16,0.197,1.42e-12,0.545,5.56e-15,1.98e-06,6.89e-43,3.62e-06,9.75e-11,3.14e-08,2.67e-08,2.74e-06,0.067,3.5e-20,0.014,6.32e-14,4.87e-20,0.342,2.81e-14,0.00641,1.11e-18,2e-10,0.117,0.0604,6.73e-37,3.24e-16,1.05e-11,2.69e-15,1.1e-20,1.91e-51,1.88e-16,2.55e-22,1.11e-70,0.000632,0.28,0.0149,9.39e-25,2.03e-28,1.42e-23,7.85e-50,9.53e-19,0.442,3.21e-16,8.01e-29,6.86e-05,0.817,0.000114,9.94e-23,0.536,0.634
