"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",-0.35,-0.75,-0.86,-0.61,0.04,0.097,0.085,-0.73,0.095,0.42,-0.46,-0.53,0.26,0.54,-0.016,0.61,-0.44,-0.14,-0.65,0.0058,-0.14,-0.27,-0.24,-0.014,0.26,0.16,0.68,-0.86,-0.21,-0.38,-0.62,-0.37,-0.43,0.65,-0.71,-0.12,-0.87,-0.57,0.47,-0.57,-0.21,-0.34,-0.016,-0.54,-0.82,-0.29,0.33,-0.31,0.68,-0.057,-0.64,0.92,-0.71,-0.86,-0.03,-0.64,-0.32,-0.31,-0.26,0.06,-0.86,-0.48,-0.47,-0.68,-0.097,-0.63,0.55,-0.53,-0.16,-0.8,-0.29
"2","ACN",-0.042,-0.45,-0.84,-0.69,0.23,0.47,0.5,-0.52,0.4,0.74,-0.07,-0.19,0.45,0.25,0.28,0.45,-0.068,0.3,-0.39,0.35,0.039,0.063,0.18,0.35,0.42,0.56,0.49,-0.53,-0.17,-0.11,-0.36,-0.069,-0.33,0.74,-0.59,0.29,-0.53,-0.34,0.62,-0.34,-0.06,-0.062,0.26,-0.23,-0.5,-0.028,0.57,0.028,0.47,0.26,-0.41,0.72,-0.5,-0.86,0.34,-0.45,-0.56,-0.58,-0.49,0.22,-0.81,-0.13,-0.11,-0.53,0.35,-0.42,0.75,-0.17,0.069,-0.72,-0.41
"3","ADBE",0.014,-0.33,-0.64,-0.45,0.25,0.42,0.48,-0.39,0.38,0.64,0.061,-0.065,0.46,0.26,0.31,0.53,-0.0059,0.37,-0.29,0.33,0.082,0.1,0.15,0.35,0.48,0.52,0.57,-0.45,-0.21,-0.0012,-0.27,0.0082,-0.43,0.67,-0.49,0.31,-0.5,-0.23,0.56,-0.3,0.016,-0.0079,0.38,-0.12,-0.4,0.035,0.54,0.15,0.55,0.23,-0.28,0.67,-0.57,-0.71,0.3,-0.27,-0.44,-0.45,-0.48,0.37,-0.66,-0.06,-0.023,-0.42,0.34,-0.33,0.72,-0.039,0.23,-0.57,-0.35
"4","AMAT",-0.41,-0.74,-0.88,-0.64,-0.052,0.098,0.095,-0.79,0.15,0.5,-0.47,-0.53,0.16,0.5,-0.08,0.55,-0.47,-0.13,-0.71,0.011,-0.26,-0.32,-0.24,0.0049,0.21,0.19,0.62,-0.83,-0.18,-0.41,-0.68,-0.44,-0.38,0.71,-0.77,-0.12,-0.83,-0.66,0.46,-0.6,-0.3,-0.4,-0.036,-0.59,-0.79,-0.37,0.43,-0.33,0.63,-0.13,-0.68,0.9,-0.64,-0.88,-0.031,-0.68,-0.37,-0.35,-0.29,-0.037,-0.91,-0.53,-0.48,-0.75,-0.068,-0.66,0.51,-0.54,-0.26,-0.87,-0.4
"5","AMD",-0.17,-0.58,-0.78,-0.5,0.13,0.28,0.28,-0.59,0.31,0.54,-0.21,-0.3,0.38,0.49,0.11,0.64,-0.25,0.1,-0.5,0.19,-0.061,-0.089,-0.035,0.17,0.39,0.38,0.7,-0.71,-0.26,-0.18,-0.48,-0.2,-0.48,0.69,-0.64,0.093,-0.76,-0.43,0.6,-0.43,-0.091,-0.19,0.2,-0.35,-0.66,-0.14,0.41,-0.096,0.7,0.07,-0.48,0.88,-0.72,-0.79,0.11,-0.45,-0.44,-0.42,-0.35,0.26,-0.78,-0.3,-0.23,-0.55,0.12,-0.48,0.68,-0.3,0.054,-0.69,-0.3
"6","AMZN",0.56,0.12,-0.26,-0.35,0.69,0.71,0.76,0.21,0.43,0.6,0.58,0.32,0.59,-0.018,0.78,-0.0075,0.55,0.73,0.26,0.7,0.49,0.57,0.57,0.63,0.64,0.69,-0.0049,0.11,-0.054,0.4,0.35,0.52,-0.061,0.41,0.047,0.7,0.086,0.36,0.32,0.23,0.31,0.55,0.62,0.45,0.11,0.54,0.41,0.57,-0.038,0.7,0.33,0.061,0.033,-0.4,0.46,0.22,-0.37,-0.51,-0.51,0.55,-0.21,0.5,0.48,0.16,0.67,0.2,0.62,0.49,0.55,-0.057,0.073
"7","ASML",-0.41,-0.78,-0.9,-0.65,-0.042,0.089,0.071,-0.79,0.11,0.48,-0.49,-0.54,0.2,0.47,-0.085,0.56,-0.48,-0.17,-0.71,-0.0076,-0.24,-0.31,-0.25,-0.00075,0.2,0.16,0.64,-0.87,-0.19,-0.42,-0.68,-0.45,-0.39,0.69,-0.77,-0.14,-0.85,-0.65,0.47,-0.59,-0.3,-0.41,-0.07,-0.6,-0.83,-0.37,0.39,-0.35,0.62,-0.12,-0.69,0.9,-0.65,-0.89,-0.04,-0.69,-0.37,-0.35,-0.26,-0.06,-0.91,-0.54,-0.5,-0.75,-0.095,-0.65,0.51,-0.56,-0.25,-0.87,-0.37
"8","AVGO",-0.035,-0.34,-0.45,-0.44,0.28,0.049,0.053,-0.37,-0.18,0.094,-0.26,-0.35,0.29,0.44,0.23,0.46,-0.22,0.019,-0.32,0.011,0.21,-0.062,-0.19,-0.13,0.27,0.025,0.49,-0.46,-0.11,-0.15,-0.19,0.022,-0.29,0.23,-0.26,-0.04,-0.55,-0.18,0.09,-0.46,0.039,0.021,0.073,-0.2,-0.41,0.032,0.058,-0.12,0.55,0.18,-0.29,0.54,-0.54,-0.54,0.072,-0.35,-0.0088,-0.11,-0.28,0.32,-0.42,-0.14,-0.32,-0.34,-0.11,-0.47,0.47,-0.3,0.076,-0.39,-0.11
"9","BABA",-0.26,-0.4,-0.41,-0.32,0.018,-0.19,-0.15,-0.48,-0.29,-0.031,-0.43,-0.44,0.22,0.33,-0.0013,0.63,-0.41,-0.2,-0.41,-0.25,0.11,-0.25,-0.38,-0.32,0.054,-0.15,0.68,-0.54,-0.24,-0.3,-0.33,-0.17,-0.49,0.15,-0.35,-0.24,-0.6,-0.31,0.048,-0.62,-0.062,-0.23,-0.095,-0.38,-0.49,-0.15,0.0095,-0.28,0.65,-0.06,-0.47,0.6,-0.67,-0.46,0.054,-0.48,0.066,0.055,-0.15,0.14,-0.42,-0.32,-0.5,-0.49,-0.31,-0.61,0.31,-0.45,-0.065,-0.45,-0.28
"10","CRM",0.043,-0.049,0.032,0.052,0.21,-0.13,-0.08,-0.057,-0.25,-0.25,-0.074,0.0082,0.14,0.32,0.15,0.29,-0.075,-0.058,0.0078,-0.16,0.32,0.039,-0.18,-0.21,0.11,-0.15,0.32,-0.16,-0.12,0.14,0.088,0.1,-0.24,-0.14,0.082,-0.07,-0.27,0.058,-0.083,-0.2,0.3,0.077,0.1,-0.019,-0.12,0.16,-0.15,-0.054,0.37,0.065,-0.025,0.21,-0.36,-0.0096,0.14,-0.0016,0.27,0.21,-0.096,0.36,0.027,-0.029,-0.19,-0.032,-0.22,-0.2,0.12,-0.11,0.19,0.016,0.035
"11","CSCO",0.79,0.5,0.3,0.11,0.71,0.58,0.68,0.67,0.31,0.21,0.8,0.72,0.41,-0.31,0.79,-0.34,0.81,0.71,0.73,0.62,0.74,0.79,0.64,0.58,0.44,0.53,-0.34,0.55,0.049,0.74,0.79,0.78,0.12,-0.078,0.57,0.78,0.54,0.77,0.00019,0.56,0.66,0.75,0.64,0.78,0.51,0.82,0.15,0.73,-0.41,0.79,0.74,-0.46,0.41,0.21,0.69,0.63,-0.092,-0.24,-0.36,0.59,0.38,0.82,0.69,0.59,0.64,0.58,0.27,0.76,0.67,0.46,0.31
"12","FB",0.047,-0.38,-0.71,-0.55,0.38,0.48,0.53,-0.39,0.34,0.67,0.06,-0.072,0.46,0.32,0.37,0.4,0.037,0.36,-0.3,0.4,0.13,0.16,0.17,0.39,0.54,0.51,0.43,-0.46,-0.14,0.04,-0.24,0.039,-0.28,0.7,-0.48,0.35,-0.49,-0.23,0.54,-0.27,0.017,0.061,0.36,-0.12,-0.42,0.076,0.53,0.13,0.44,0.29,-0.25,0.63,-0.45,-0.79,0.31,-0.29,-0.44,-0.49,-0.56,0.33,-0.7,-0.054,-0.048,-0.42,0.37,-0.3,0.71,-0.058,0.2,-0.61,-0.27
"13","GOOGL",-0.42,-0.66,-0.71,-0.62,-0.026,-0.13,-0.13,-0.71,-0.24,0.15,-0.62,-0.65,0.14,0.49,-0.061,0.58,-0.55,-0.28,-0.6,-0.19,-0.066,-0.38,-0.44,-0.28,0.065,-0.1,0.63,-0.77,-0.16,-0.49,-0.55,-0.37,-0.38,0.38,-0.59,-0.32,-0.79,-0.53,0.19,-0.69,-0.23,-0.34,-0.21,-0.59,-0.72,-0.33,0.13,-0.46,0.65,-0.13,-0.64,0.77,-0.66,-0.71,-0.071,-0.72,-0.11,-0.13,-0.13,-0.035,-0.7,-0.52,-0.6,-0.64,-0.3,-0.73,0.43,-0.65,-0.26,-0.71,-0.31
"14","IBM",0.18,0.014,-0.13,-0.36,0.23,0.22,0.34,-0.036,0.077,0.31,0.16,0.15,0.068,-0.18,0.38,-0.15,0.19,0.27,0.09,0.24,0.26,0.2,0.13,0.22,0.087,0.33,-0.14,0.061,0.035,0.17,0.13,0.2,0.072,0.23,0.05,0.35,0.14,0.083,-0.05,-0.084,0.22,0.13,0.23,0.13,0.044,0.26,0.45,0.21,-0.2,0.37,0.078,-0.075,0.18,-0.24,0.5,-0.028,-0.13,-0.22,-0.37,0.084,-0.19,0.2,0.018,-0.13,0.26,-0.075,0.14,0.15,0.015,-0.19,-0.18
"15","INTC",-0.38,-0.52,-0.31,-0.25,-0.11,-0.38,-0.37,-0.5,-0.35,-0.2,-0.59,-0.56,-0.13,0.52,-0.16,0.48,-0.56,-0.44,-0.43,-0.34,-0.032,-0.41,-0.56,-0.46,-0.088,-0.3,0.53,-0.62,-0.19,-0.42,-0.39,-0.33,-0.34,0.11,-0.33,-0.43,-0.68,-0.38,-0.11,-0.6,-0.05,-0.36,-0.18,-0.46,-0.58,-0.25,-0.023,-0.39,0.56,-0.2,-0.46,0.57,-0.56,-0.33,-0.14,-0.49,0.15,0.16,0.13,-0.011,-0.37,-0.46,-0.6,-0.44,-0.51,-0.6,0.043,-0.55,-0.33,-0.4,-0.075
"16","INTU",0.11,-0.2,-0.58,-0.69,0.28,0.48,0.61,-0.3,0.39,0.71,0.11,0.034,0.29,0.038,0.43,0.067,0.13,0.39,-0.095,0.43,0.22,0.2,0.29,0.42,0.31,0.62,0.1,-0.19,-0.041,0.037,-0.077,0.11,-0.085,0.64,-0.33,0.44,-0.16,-0.1,0.39,-0.18,0.17,0.055,0.34,-0.016,-0.19,0.18,0.66,0.2,0.078,0.42,-0.16,0.33,-0.092,-0.63,0.63,-0.29,-0.49,-0.54,-0.49,0.16,-0.59,0.11,0.024,-0.35,0.47,-0.23,0.53,0.024,0.046,-0.54,-0.37
"17","MSFT",-0.15,-0.61,-0.89,-0.66,0.19,0.4,0.41,-0.6,0.39,0.71,-0.17,-0.29,0.4,0.39,0.19,0.5,-0.18,0.18,-0.5,0.28,-0.052,-0.032,0.069,0.31,0.44,0.48,0.55,-0.69,-0.17,-0.19,-0.48,-0.2,-0.34,0.8,-0.68,0.19,-0.69,-0.44,0.65,-0.37,-0.12,-0.16,0.21,-0.34,-0.65,-0.12,0.53,-0.058,0.55,0.14,-0.49,0.83,-0.57,-0.91,0.18,-0.5,-0.53,-0.53,-0.42,0.18,-0.88,-0.25,-0.19,-0.58,0.25,-0.45,0.72,-0.27,0.022,-0.78,-0.33
"18","NFLX",0.61,0.63,0.7,0.6,0.43,0.099,0.16,0.75,-0.056,-0.37,0.6,0.62,0.2,-0.23,0.42,-0.13,0.57,0.36,0.71,0.17,0.6,0.52,0.29,0.13,0.19,0.016,-0.16,0.6,-0.0047,0.65,0.73,0.67,-0.003,-0.51,0.73,0.34,0.49,0.74,-0.25,0.46,0.56,0.57,0.41,0.69,0.61,0.62,-0.31,0.54,-0.17,0.39,0.7,-0.51,0.19,0.63,0.26,0.73,0.33,0.26,-0.025,0.56,0.74,0.63,0.51,0.68,0.18,0.54,-0.074,0.63,0.62,0.77,0.43
"19","NOW",0.27,-0.17,-0.52,-0.42,0.47,0.61,0.7,-0.13,0.47,0.69,0.34,0.24,0.56,0.048,0.53,0.27,0.3,0.55,-0.015,0.5,0.32,0.39,0.4,0.58,0.55,0.66,0.27,-0.22,-0.1,0.28,0.019,0.23,-0.19,0.6,-0.29,0.58,-0.23,0.019,0.58,0.0019,0.24,0.23,0.5,0.13,-0.18,0.3,0.55,0.33,0.27,0.47,-0.023,0.42,-0.3,-0.59,0.53,-0.055,-0.45,-0.52,-0.59,0.46,-0.5,0.21,0.2,-0.2,0.56,-0.054,0.71,0.21,0.41,-0.4,-0.21
"20","NVDA",-0.37,-0.7,-0.67,-0.54,-0.011,-0.13,-0.16,-0.67,-0.19,0.12,-0.57,-0.63,0.16,0.52,-0.06,0.62,-0.54,-0.3,-0.59,-0.16,-0.077,-0.37,-0.42,-0.27,0.11,-0.083,0.7,-0.8,-0.22,-0.47,-0.54,-0.35,-0.47,0.4,-0.56,-0.31,-0.84,-0.5,0.19,-0.65,-0.19,-0.35,-0.14,-0.53,-0.76,-0.3,0.11,-0.38,0.68,-0.11,-0.6,0.81,-0.7,-0.69,-0.14,-0.64,-0.11,-0.12,-0.083,0.029,-0.67,-0.51,-0.56,-0.6,-0.33,-0.69,0.38,-0.6,-0.22,-0.65,-0.2
"21","ORCL",0.22,-0.21,-0.44,-0.44,0.46,0.48,0.57,-0.13,0.36,0.61,0.26,0.12,0.23,0.24,0.49,0.087,0.23,0.44,-0.034,0.5,0.25,0.28,0.23,0.5,0.54,0.54,0.074,-0.25,0.022,0.22,-0.0033,0.18,0.041,0.67,-0.23,0.47,-0.26,-0.026,0.38,-0.038,0.27,0.17,0.53,0.13,-0.22,0.29,0.65,0.37,0.17,0.42,0.029,0.34,-0.14,-0.56,0.39,-0.033,-0.37,-0.43,-0.48,0.39,-0.5,0.13,0.13,-0.19,0.43,-0.054,0.48,0.17,0.21,-0.38,-0.026
"22","QCOM",-0.049,-0.51,-0.84,-0.61,0.39,0.44,0.39,-0.46,0.23,0.61,-0.1,-0.31,0.49,0.41,0.29,0.37,-0.09,0.24,-0.45,0.31,0.029,0.045,0.11,0.3,0.58,0.34,0.43,-0.59,-0.12,-0.15,-0.34,-0.09,-0.26,0.64,-0.59,0.18,-0.59,-0.32,0.49,-0.28,-0.15,0.046,0.19,-0.25,-0.56,-0.057,0.34,-0.051,0.44,0.19,-0.38,0.68,-0.44,-0.88,0.043,-0.42,-0.37,-0.46,-0.41,0.23,-0.76,-0.18,-0.13,-0.43,0.24,-0.36,0.74,-0.22,0.14,-0.65,-0.2
"23","SAP",0.17,-0.41,-0.67,-0.4,0.5,0.58,0.59,-0.25,0.51,0.67,0.17,0.035,0.49,0.46,0.39,0.38,0.15,0.39,-0.2,0.5,0.18,0.27,0.28,0.53,0.7,0.58,0.4,-0.5,-0.098,0.19,-0.17,0.08,-0.21,0.74,-0.41,0.43,-0.56,-0.13,0.69,-0.031,0.16,0.14,0.5,0.0041,-0.46,0.19,0.44,0.26,0.46,0.35,-0.13,0.67,-0.45,-0.71,0.22,-0.11,-0.47,-0.52,-0.49,0.48,-0.63,0.016,0.13,-0.24,0.42,-0.085,0.73,0.067,0.36,-0.47,0.023
"24","SNOW",-0.12,-0.43,-0.86,-0.66,0.11,0.48,0.52,-0.55,0.49,0.82,-0.068,-0.18,0.43,0.18,0.19,0.4,-0.087,0.28,-0.44,0.33,-0.09,0.017,0.22,0.39,0.38,0.58,0.45,-0.49,-0.14,-0.16,-0.43,-0.17,-0.3,0.79,-0.66,0.28,-0.47,-0.4,0.68,-0.31,-0.19,-0.14,0.19,-0.29,-0.47,-0.13,0.58,-0.0092,0.39,0.16,-0.45,0.68,-0.43,-0.85,0.3,-0.47,-0.62,-0.61,-0.48,0.078,-0.84,-0.16,-0.095,-0.57,0.4,-0.38,0.7,-0.18,0.025,-0.76,-0.49
"25","SONY",-0.48,-0.71,-0.88,-0.54,-0.17,0.11,0.068,-0.79,0.22,0.56,-0.44,-0.55,0.17,0.42,-0.18,0.59,-0.48,-0.11,-0.76,-0.0062,-0.41,-0.36,-0.19,0.061,0.22,0.2,0.64,-0.8,-0.18,-0.48,-0.76,-0.52,-0.4,0.74,-0.85,-0.15,-0.79,-0.71,0.55,-0.56,-0.44,-0.46,-0.067,-0.62,-0.76,-0.48,0.44,-0.33,0.63,-0.26,-0.72,0.89,-0.66,-0.87,-0.16,-0.67,-0.44,-0.36,-0.18,-0.12,-0.92,-0.57,-0.42,-0.75,-0.028,-0.61,0.5,-0.51,-0.26,-0.86,-0.46
"26","SQ",0.31,0.48,0.64,0.44,0.13,-0.12,0.046,0.45,-0.058,-0.3,0.41,0.44,-0.18,-0.16,0.23,-0.13,0.3,0.19,0.5,0.041,0.34,0.21,0.019,-0.0089,-0.06,0.041,-0.2,0.47,0.085,0.4,0.47,0.36,0.15,-0.28,0.52,0.2,0.37,0.44,-0.3,0.2,0.45,0.25,0.3,0.44,0.48,0.37,0.025,0.39,-0.13,0.19,0.5,-0.41,0.15,0.53,0.27,0.51,0.29,0.28,0.044,0.31,0.5,0.4,0.27,0.38,0.039,0.29,-0.28,0.44,0.24,0.5,0.22
"27","TEAM",0.21,-0.093,-0.58,-0.56,0.29,0.69,0.77,-0.18,0.63,0.89,0.32,0.21,0.39,-0.028,0.43,0.035,0.31,0.6,-0.049,0.59,0.1,0.34,0.5,0.67,0.45,0.77,0.026,-0.092,-0.0058,0.17,-0.06,0.18,0.00059,0.72,-0.34,0.61,-0.055,-0.07,0.62,0.042,0.12,0.16,0.46,0.1,-0.073,0.21,0.73,0.34,0.034,0.41,-0.057,0.29,-0.05,-0.61,0.56,-0.11,-0.66,-0.68,-0.56,0.23,-0.57,0.2,0.26,-0.23,0.71,-0.015,0.63,0.21,0.23,-0.48,-0.35
