"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.63,0.88,0.61,-0.66,0.9,0.76,0.81,-0.67,0.49,0.037,0.86,0.74,-0.26,0.78,-0.049,0.37,-0.65,0.63,0.69,-0.55,0.52,0.43,0.73,-0.81,0.78,0.096,0.14,0.42,0.8,0.74,0.79,-0.31,0.51,-0.071,-0.22,0.9,0.89,0.84,0.91,0.16,0.7,0.87,0.21,0.72,0.58,0.016,0.88,0.93,0.91,0.53,0.86,0.89,0.24,0.75,0.64,0.61,0.84,0.89,0.58,0.22,0.86,0.72,0.83,-0.41,-0.76,0.77,NA,0.89,0.73,-0.023,0.84,-0.31,0.82,0.86,0.88,0.092,-0.58,-0.12,-0.014,0.84,0.77,0.24,0.31,0.8,0.72,0.87,0.56,0.21,0.78,0.75,0.21,0.75,0.8
"2","ACN",0.56,0.86,0.62,-0.59,0.79,0.63,0.82,-0.6,0.59,0.24,0.82,0.69,-0.069,0.78,0.11,0.51,-0.58,0.6,0.64,-0.51,0.53,0.39,0.65,-0.68,0.64,-0.00083,0.32,0.56,0.7,0.79,0.69,-0.2,0.49,0.15,0.0073,0.85,0.79,0.74,0.78,0.063,0.62,0.74,0.41,0.67,0.73,-0.027,0.78,0.82,0.8,0.63,0.81,0.81,0.33,0.81,0.72,0.7,0.81,0.77,0.62,0.39,0.79,0.75,0.73,-0.17,-0.66,0.77,NA,0.78,0.61,-0.034,0.82,-0.28,0.78,0.76,0.85,0.12,-0.54,0.035,-0.026,0.82,0.73,0.23,0.34,0.75,0.75,0.83,0.61,0.22,0.64,0.78,0.42,0.72,0.75
"3","ADBE",0.54,0.86,0.58,-0.57,0.85,0.78,0.73,-0.58,0.54,-0.04,0.79,0.76,-0.28,0.68,-0.053,0.38,-0.56,0.52,0.61,-0.44,0.6,0.53,0.82,-0.75,0.69,0.12,0.062,0.3,0.84,0.7,0.72,-0.33,0.62,-0.12,-0.23,0.82,0.85,0.83,0.89,0.25,0.68,0.83,0.23,0.76,0.61,0.04,0.82,0.87,0.91,0.4,0.77,0.85,0.33,0.71,0.61,0.65,0.83,0.87,0.57,0.25,0.82,0.68,0.85,-0.4,-0.68,0.84,NA,0.88,0.7,0.044,0.76,-0.25,0.81,0.8,0.84,0.09,-0.49,-0.14,-0.029,0.83,0.67,0.37,0.25,0.71,0.66,0.79,0.47,0.28,0.76,0.73,0.12,0.7,0.83
"4","AMAT",0.68,0.79,0.43,-0.73,0.57,0.25,0.62,-0.73,0.36,0.39,0.74,0.46,0.013,0.88,0.16,0.33,-0.69,0.82,0.73,-0.67,0.32,0.088,0.29,-0.61,0.49,-0.17,0.48,0.81,0.42,0.76,0.6,-0.081,0.22,0.23,0.11,0.85,0.73,0.44,0.63,-0.0057,0.64,0.53,0.26,0.45,0.56,-0.34,0.69,0.64,0.53,0.82,0.72,0.57,0.13,0.67,0.6,0.63,0.57,0.53,0.34,0.19,0.76,0.58,0.39,-0.13,-0.63,0.57,NA,0.47,0.27,-0.37,0.81,-0.49,0.72,0.7,0.68,0.013,-0.68,0.028,-0.071,0.67,0.86,0.12,0.49,0.8,0.86,0.83,0.79,0.1,0.34,0.65,0.64,0.74,0.47
"5","AMD",0.65,0.84,0.57,-0.7,0.89,0.71,0.76,-0.71,0.38,0.03,0.87,0.67,-0.26,0.79,-0.067,0.28,-0.7,0.68,0.69,-0.56,0.43,0.3,0.65,-0.83,0.85,0.11,0.17,0.4,0.75,0.69,0.78,-0.34,0.43,-0.081,-0.26,0.92,0.87,0.81,0.92,0.17,0.72,0.86,0.096,0.68,0.45,-0.0049,0.89,0.93,0.88,0.55,0.86,0.88,0.12,0.7,0.57,0.51,0.82,0.85,0.52,0.12,0.85,0.68,0.77,-0.48,-0.78,0.68,NA,0.85,0.73,-0.065,0.83,-0.36,0.76,0.85,0.87,0.071,-0.62,-0.16,0.00075,0.78,0.82,0.15,0.38,0.84,0.75,0.88,0.64,0.2,0.78,0.72,0.21,0.7,0.71
"6","AMZN",0.5,0.87,0.53,-0.52,0.86,0.74,0.63,-0.52,0.49,-0.17,0.71,0.82,-0.36,0.62,-0.084,0.29,-0.52,0.47,0.55,-0.4,0.59,0.54,0.85,-0.68,0.68,0.17,-0.043,0.19,0.9,0.69,0.65,-0.33,0.69,-0.25,-0.34,0.78,0.83,0.76,0.9,0.35,0.72,0.78,0.17,0.75,0.48,0.071,0.76,0.88,0.88,0.3,0.75,0.8,0.29,0.65,0.5,0.61,0.72,0.83,0.56,0.16,0.82,0.62,0.86,-0.49,-0.63,0.81,NA,0.88,0.67,0.025,0.72,-0.24,0.76,0.74,0.75,0.08,-0.46,-0.24,0.0011,0.85,0.62,0.41,0.25,0.63,0.65,0.72,0.41,0.36,0.7,0.7,-0.0067,0.67,0.83
"7","ASML",0.68,0.92,0.44,-0.72,0.75,0.54,0.63,-0.73,0.42,0.053,0.79,0.69,-0.26,0.86,-0.017,0.26,-0.69,0.75,0.76,-0.64,0.47,0.35,0.62,-0.73,0.61,0.003,0.19,0.58,0.73,0.8,0.7,-0.19,0.5,-0.1,-0.19,0.9,0.88,0.62,0.85,0.17,0.79,0.71,0.18,0.63,0.55,-0.21,0.82,0.8,0.78,0.61,0.79,0.71,0.19,0.66,0.55,0.68,0.68,0.72,0.41,0.12,0.9,0.58,0.66,-0.4,-0.72,0.77,NA,0.7,0.46,-0.22,0.85,-0.43,0.88,0.84,0.76,0.06,-0.65,-0.14,-0.039,0.83,0.82,0.32,0.39,0.81,0.83,0.86,0.62,0.2,0.56,0.68,0.3,0.84,0.68
"8","AVGO",0.7,0.81,0.49,-0.74,0.72,0.59,0.77,-0.75,0.4,0.22,0.9,0.54,-0.13,0.85,0.0036,0.35,-0.72,0.73,0.76,-0.62,0.38,0.23,0.52,-0.81,0.7,-0.04,0.3,0.59,0.61,0.72,0.76,-0.29,0.34,0.088,-0.064,0.89,0.85,0.74,0.81,-0.043,0.68,0.76,0.2,0.57,0.62,-0.2,0.85,0.78,0.78,0.67,0.76,0.78,0.16,0.7,0.65,0.58,0.82,0.75,0.42,0.21,0.85,0.63,0.62,-0.31,-0.79,0.66,NA,0.69,0.54,-0.16,0.79,-0.43,0.8,0.85,0.87,0.13,-0.66,0.034,-0.02,0.71,0.81,0.11,0.38,0.85,0.75,0.91,0.65,0.055,0.67,0.68,0.37,0.74,0.61
"9","BABA",0.54,0.69,0.54,-0.55,0.81,0.76,0.76,-0.51,0.44,-0.05,0.76,0.62,-0.24,0.49,-0.13,0.37,-0.56,0.4,0.43,-0.32,0.46,0.39,0.71,-0.77,0.72,0.13,-0.029,0.057,0.7,0.5,0.62,-0.58,0.44,-0.074,-0.25,0.67,0.8,0.85,0.8,0.062,0.55,0.78,0.21,0.62,0.52,0.029,0.71,0.82,0.85,0.23,0.63,0.82,0.22,0.64,0.6,0.43,0.83,0.84,0.55,0.25,0.74,0.64,0.79,-0.4,-0.69,0.64,NA,0.85,0.72,0.03,0.54,-0.27,0.57,0.66,0.8,0.11,-0.49,-0.1,-0.011,0.7,0.53,0.17,0.26,0.57,0.48,0.72,0.4,0.14,0.77,0.64,0.018,0.43,0.71
"10","CRM",0.58,0.66,0.53,-0.61,0.78,0.8,0.8,-0.59,0.43,0.037,0.83,0.53,-0.2,0.61,-0.093,0.37,-0.62,0.5,0.53,-0.42,0.43,0.36,0.64,-0.82,0.73,0.07,0.081,0.21,0.66,0.52,0.77,-0.54,0.39,-0.0056,-0.18,0.75,0.81,0.88,0.84,0.017,0.58,0.86,0.15,0.64,0.54,-0.0055,0.81,0.82,0.87,0.39,0.65,0.86,0.21,0.64,0.61,0.44,0.9,0.89,0.49,0.25,0.76,0.64,0.75,-0.37,-0.74,0.66,NA,0.81,0.75,0.095,0.63,-0.25,0.62,0.75,0.88,0.11,-0.53,-0.033,-0.02,0.63,0.62,0.11,0.33,0.69,0.51,0.78,0.46,0.088,0.85,0.63,0.083,0.5,0.7
