"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",-0.34,0.52,0.24,0.39,-0.63,0.46,0.27,0.33,0.32,-0.23,-0.17,0.22,-0.5,-0.44,-0.098,0.15,-0.48,0.25,-0.093,-0.12,0.2,-0.49,-0.32,-0.32,-0.36,-0.44,0.17,-0.26,-0.14,-0.29,0.19,-0.16,0.29,-0.44,-0.19,0.34,0.51,-0.64,-0.01,0.32,0.3,-0.58,0.19,0.7,0.55,0.4,-0.76,-0.19,0.026,0.36,-0.16,-0.28,-0.39,-0.35,0.53,-0.41,0.43,-0.19,-0.016,-0.22,-0.17,0.22,0.28,0.3,-0.36,0.72,0.1,0.17,-0.54,-0.27,0.82,-0.11,0.23,0.27,-0.62,0.63,0.2,0.21,-0.5,0.049,-0.22,0.16,-0.51,-0.35,-0.22,-0.25,0.089,0.48,0.33,0.67,-0.61,-0.45,-0.0097,0.24,0.15,-0.41,-0.24,0.038,-0.48,-0.4
"2","ACN",-0.31,0.82,0.55,0.51,-0.75,0.74,0.57,0.55,0.48,0.12,0.075,0.6,-0.15,-0.32,0.18,0.48,-0.48,0.39,-0.11,0.064,0.45,-0.62,-0.29,-0.43,-0.35,-0.068,0.27,0.028,0.18,-0.028,0.48,0.18,0.57,-0.55,0.1,0.62,0.81,-0.8,0.026,0.46,0.44,-0.73,0.6,0.83,0.87,0.51,-0.79,0.14,0.35,0.59,0.31,-0.034,-0.39,-0.095,0.79,-0.4,0.68,0.16,0.17,0.078,0.12,0.53,0.44,0.69,-0.067,0.84,0.44,0.27,-0.5,0.067,0.89,0.2,0.37,0.4,-0.72,0.84,0.51,0.52,-0.53,0.44,0.17,0.49,-0.75,-0.28,-0.095,-0.3,0.42,0.77,0.68,0.88,-0.59,-0.23,0.32,0.54,0.45,-0.23,0.033,0.37,-0.19,-0.19
"3","ADBE",-0.43,0.7,0.31,0.56,-0.81,0.53,0.33,0.34,0.29,-0.11,-0.11,0.39,-0.37,-0.49,-0.072,0.28,-0.6,0.24,-0.0019,0.034,0.2,-0.68,-0.4,-0.53,-0.51,-0.28,0.14,-0.18,0.026,-0.22,0.36,-0.1,0.33,-0.63,-0.083,0.51,0.63,-0.82,-0.034,0.31,0.29,-0.77,0.33,0.75,0.71,0.43,-0.87,-0.14,0.1,0.38,0.046,-0.26,-0.5,-0.32,0.58,-0.55,0.62,-0.084,0.055,-0.091,-0.079,0.25,0.26,0.42,-0.29,0.76,0.21,0.15,-0.64,-0.15,0.84,-0.016,0.21,0.26,-0.8,0.68,0.28,0.28,-0.64,0.35,-0.025,0.27,-0.67,-0.45,-0.12,-0.27,0.21,0.58,0.46,0.79,-0.66,-0.43,0.12,0.35,0.17,-0.39,-0.17,0.19,-0.41,-0.36
"4","AMAT",-0.29,0.65,0.42,0.57,-0.67,0.44,0.35,0.24,0.099,0.43,0.23,0.69,0.19,-0.11,0.13,0.62,-0.31,0.076,0.25,0.42,0.27,-0.61,-0.17,-0.62,-0.52,0.29,0.034,0.24,0.52,0.28,0.58,0.22,0.38,-0.56,0.33,0.61,0.58,-0.72,-0.042,0.11,0.11,-0.67,0.59,0.41,0.75,0.17,-0.56,0.24,0.39,0.29,0.53,0.15,-0.36,0.063,0.41,-0.36,0.59,0.41,0.3,0.34,0.37,0.31,0.084,0.55,0.24,0.39,0.5,0.045,-0.45,0.26,0.43,0.45,0.054,0.091,-0.63,0.43,0.43,0.51,-0.56,0.77,0.56,0.6,-0.79,-0.21,0.18,-0.18,0.57,0.53,0.55,0.66,-0.37,0.029,0.5,0.59,0.3,-0.045,0.29,0.58,0.15,0.12
"5","AMD",-0.31,0.51,0.32,0.21,-0.48,0.54,0.41,0.48,0.54,-0.31,-0.26,0.12,-0.47,-0.48,0.095,0.016,-0.43,0.43,-0.4,-0.27,0.32,-0.38,-0.43,-0.089,-0.098,-0.45,0.29,-0.28,-0.24,-0.39,0.035,-0.0077,0.4,-0.31,-0.29,0.21,0.53,-0.5,-0.0079,0.54,0.52,-0.45,0.22,0.73,0.51,0.57,-0.67,-0.099,0.056,0.52,-0.15,-0.27,-0.26,-0.35,0.65,-0.37,0.42,-0.23,-0.17,-0.29,-0.28,0.35,0.49,0.39,-0.42,0.82,0.028,0.29,-0.33,-0.2,0.86,-0.22,0.45,0.46,-0.53,0.72,0.21,0.2,-0.35,-0.064,-0.32,0.062,-0.3,-0.3,-0.26,-0.24,-0.038,0.45,0.37,0.56,-0.48,-0.44,-0.092,0.12,0.24,-0.46,-0.32,-0.082,-0.49,-0.4
"6","AMZN",-0.44,0.24,0.063,0.5,-0.65,0.14,-0.00036,-0.037,0.031,-0.11,-0.062,0.24,-0.39,-0.27,-0.31,0.22,-0.46,0.02,0.16,0.18,-0.009,-0.55,-0.21,-0.56,-0.54,-0.3,-0.03,-0.21,-0.035,-0.12,0.29,-0.29,0.026,-0.52,-0.054,0.33,0.26,-0.63,-0.11,0.073,0.06,-0.6,0.061,0.34,0.36,-0.14,-0.66,-0.26,-0.084,0.12,-0.11,-0.27,-0.47,-0.26,0.094,-0.42,0.33,-0.1,0.055,-0.097,-0.034,-0.0095,0.022,0.13,-0.22,0.28,0.052,-0.03,-0.65,-0.35,0.38,0.014,0.0086,0.059,-0.61,0.27,0.0071,0.13,-0.65,0.27,-0.0091,0.18,-0.59,-0.4,-0.049,-0.21,0.16,0.27,0.08,0.42,-0.59,-0.34,0.065,0.22,-0.05,-0.26,-0.092,0.17,-0.32,-0.3
"7","ASML",-0.3,0.84,0.5,0.57,-0.77,0.68,0.51,0.5,0.29,0.093,0.061,0.56,-0.18,-0.36,0.064,0.45,-0.5,0.23,0.058,0.13,0.38,-0.66,-0.31,-0.52,-0.45,-0.073,0.17,0.014,0.2,-0.025,0.5,0.12,0.5,-0.61,0.11,0.63,0.76,-0.81,0.0074,0.28,0.26,-0.77,0.54,0.81,0.84,0.53,-0.77,0.068,0.34,0.44,0.31,-0.037,-0.38,-0.14,0.7,-0.45,0.71,0.15,0.2,0.12,0.12,0.4,0.26,0.57,-0.088,0.81,0.41,0.15,-0.51,0.035,0.84,0.17,0.2,0.24,-0.74,0.77,0.5,0.41,-0.55,0.47,0.16,0.46,-0.75,-0.31,-0.051,-0.24,0.39,0.73,0.61,0.85,-0.58,-0.24,0.31,0.52,0.37,-0.24,0.011,0.41,-0.21,-0.18
"8","AVGO",-0.39,0.56,0.56,0.1,-0.48,0.6,0.58,0.6,0.49,-0.011,-0.23,0.26,-0.16,-0.37,0.29,0.15,-0.33,0.36,-0.33,-0.19,0.47,-0.37,-0.5,-0.062,-0.059,-0.14,0.25,-0.11,0.015,-0.22,0.021,0.27,0.57,-0.25,-0.17,0.14,0.5,-0.46,-0.079,0.53,0.5,-0.4,0.49,0.67,0.57,0.45,-0.6,0.18,0.32,0.6,0.16,-0.091,-0.088,-0.24,0.67,-0.37,0.38,0.07,-0.27,-0.16,-0.17,0.45,0.43,0.57,-0.2,0.73,0.13,0.26,-0.27,0.091,0.73,-0.0093,0.46,0.41,-0.48,0.7,0.3,0.35,-0.36,0.19,-0.007,0.24,-0.32,-0.32,0.012,-0.16,0.076,0.41,0.5,0.52,-0.31,-0.24,0.024,0.22,0.4,-0.46,-0.16,0.087,-0.2,-0.067
"9","BABA",0.3,-0.85,-0.54,-0.46,0.72,-0.76,-0.61,-0.6,-0.47,-0.051,-0.0097,-0.51,0.14,0.41,-0.13,-0.38,0.51,-0.4,0.039,-0.025,-0.42,0.63,0.36,0.4,0.33,0.058,-0.37,0.025,-0.094,0.11,-0.43,-0.16,-0.54,0.58,-0.058,-0.59,-0.75,0.75,-0.23,-0.35,-0.35,0.72,-0.59,-0.89,-0.81,-0.57,0.73,-0.13,-0.35,-0.5,-0.33,0.092,0.4,0.15,-0.82,0.44,-0.69,-0.1,-0.11,-0.051,-0.049,-0.54,-0.43,-0.63,0.13,-0.87,-0.38,-0.31,0.45,-0.072,-0.86,-0.096,-0.28,-0.37,0.67,-0.84,-0.52,-0.39,0.46,-0.41,-0.1,-0.4,0.65,0.31,0.092,0.23,-0.31,-0.74,-0.66,-0.84,0.53,0.28,-0.24,-0.46,-0.45,0.24,0.073,-0.3,0.24,0.25
"10","CRM",-0.46,0.65,0.53,0.32,-0.66,0.66,0.59,0.62,0.67,-0.18,-0.15,0.33,-0.37,-0.43,0.14,0.2,-0.52,0.56,-0.39,-0.093,0.49,-0.55,-0.54,-0.26,-0.17,-0.36,0.41,-0.19,-0.13,-0.26,0.24,0.13,0.54,-0.47,-0.14,0.36,0.66,-0.67,0.092,0.62,0.59,-0.62,0.39,0.81,0.67,0.51,-0.75,0.027,0.21,0.65,0.07,-0.17,-0.26,-0.26,0.72,-0.46,0.59,-0.047,-0.12,-0.097,-0.14,0.56,0.62,0.56,-0.31,0.83,0.19,0.37,-0.41,-0.16,0.82,-0.072,0.53,0.56,-0.7,0.84,0.32,0.31,-0.51,0.16,-0.15,0.25,-0.51,-0.36,-0.18,-0.24,0.15,0.59,0.46,0.66,-0.55,-0.33,0.08,0.32,0.41,-0.41,-0.19,0.17,-0.4,-0.29
