"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",1.4e-08,2.03e-47,1.75e-74,1.06e-26,0.523,0.125,0.18,1.21e-43,0.131,3.54e-12,1.38e-14,2.28e-19,2.61e-05,2.88e-20,0.795,3.8e-27,1.33e-13,0.0274,5.96e-32,0.928,0.029,1.68e-05,0.000116,0.828,2.41e-05,0.011,3.93e-36,1.03e-74,0.000688,5.66e-10,8.81e-28,9.43e-10,1.3e-12,7.2e-32,1.12e-40,0.0611,1.06e-80,2.19e-23,5.83e-15,1.77e-23,0.000884,3.42e-08,0.8,2.36e-20,7.27e-62,2.45e-06,1.24e-07,7.57e-07,5.78e-36,0.367,1.1e-30,6.6e-101,2.05e-39,7.19e-74,0.636,5.86e-31,2.5e-07,3.67e-07,2.65e-05,0.339,2.21e-73,6.04e-16,4.53e-15,9.75e-36,0.123,9.34e-30,1.08e-21,1.69e-19,0.0123,3.99e-58,1.97e-06
"2","ACN",0.506,3.03e-14,7.25e-67,4.92e-37,0.000236,3.85e-15,1.21e-17,7.34e-19,2.65e-11,1.73e-45,0.269,0.00295,6.08e-14,4.31e-05,4.75e-06,8.56e-14,0.28,1.22e-06,9.99e-11,1.01e-08,0.534,0.32,0.00458,8.39e-09,2.76e-12,2.13e-22,2.3e-16,1.12e-19,0.00763,0.0879,6.65e-09,0.276,7.4e-08,1.01e-45,1.42e-24,2.01e-06,2.59e-19,4.69e-08,6.81e-28,2.38e-08,0.339,0.326,2.09e-05,0.000177,5.11e-17,0.657,9.27e-23,0.663,2.36e-15,3.54e-05,2.28e-11,9.61e-41,4.33e-17,7.55e-75,4.23e-08,1.01e-13,5.63e-22,1.81e-24,1.14e-16,0.000326,3.55e-60,0.0436,0.0941,1.2e-19,6.83e-09,5e-12,1.62e-46,0.00594,0.273,1.83e-41,7.94e-12
"3","ADBE",0.824,6.51e-08,1.06e-30,5.49e-14,5.88e-05,4.14e-12,3.54e-16,1.59e-10,2.75e-10,2.61e-30,0.332,0.305,2.19e-14,3.41e-05,6.87e-07,7.5e-20,0.925,2.07e-09,2.44e-06,9.4e-08,0.192,0.107,0.0194,1.34e-08,1.2e-15,3.21e-19,2.09e-23,1.06e-13,0.000923,0.985,1.3e-05,0.897,9.04e-13,2.85e-34,2.09e-16,4.5e-07,4.72e-17,0.000221,4.44e-22,1.09e-06,0.804,0.9,5.99e-10,0.0574,3.37e-11,0.586,2.59e-20,0.0178,5.78e-21,0.000259,7.09e-06,6.29e-34,1.47e-23,1.09e-39,1.4e-06,1.2e-05,1.71e-13,4.93e-14,8e-16,1.25e-09,1.41e-32,0.346,0.721,1.82e-12,2.82e-08,6.07e-08,1.27e-41,0.533,0.000281,3.96e-23,9.93e-09
"4","AMAT",8.3e-12,3.65e-45,1.14e-82,5.84e-31,0.414,0.122,0.134,6.73e-56,0.0191,3.22e-17,2.1e-15,9.28e-20,0.00976,1.15e-17,0.207,3.47e-21,2.61e-15,0.0374,6.26e-40,0.864,2.05e-05,1.83e-07,9.52e-05,0.938,0.000743,0.002,2.53e-28,2.63e-65,0.00407,1.58e-11,3.2e-36,2.72e-13,3.64e-10,1.59e-40,2.37e-51,0.0477,8.84e-65,1.4e-32,6.88e-15,1.65e-26,1.48e-06,4.97e-11,0.564,1.13e-24,6.46e-56,1.15e-09,6.41e-13,8.86e-08,7.9e-29,0.0448,5.08e-36,6.66e-90,5.34e-31,3.52e-84,0.624,3.82e-35,1.2e-09,1.81e-08,4.26e-06,0.563,2.27e-98,1.68e-19,4.8e-16,3.59e-47,0.284,7.92e-33,2.05e-18,1.26e-20,3.99e-05,1.22e-78,2.67e-11
"5","AMD",0.00598,8.72e-24,1.38e-52,1.08e-17,0.0449,9.16e-06,5.13e-06,6.05e-25,4.02e-07,1.88e-20,0.000794,1.29e-06,3.72e-10,1.47e-16,0.0794,6.28e-30,6.62e-05,0.112,2.43e-17,0.00276,0.336,0.16,0.581,0.00653,1.04e-10,4.71e-10,4.03e-39,1.58e-39,3.5e-05,0.00483,7.36e-16,0.00108,5.55e-16,1.43e-36,3.51e-30,0.14,1.81e-49,1.67e-12,9.91e-26,1.31e-12,0.151,0.003,0.00182,1.35e-08,1.25e-32,0.0226,1.66e-11,0.127,4.51e-39,0.269,8.91e-16,8.46e-83,1.12e-41,3.26e-54,0.087,4.68e-14,3.88e-13,2.74e-12,1.58e-08,2.56e-05,7.21e-53,1.58e-06,0.000174,1.23e-21,0.0568,5.11e-16,1.73e-35,8.31e-07,0.393,1.05e-36,1.29e-06
"6","AMZN",4.28e-22,0.0585,4.05e-05,1.61e-08,2.31e-37,2.03e-40,9.28e-48,0.000801,8.6e-13,7.07e-26,9.44e-24,1.42e-07,6.58e-25,0.778,3.84e-52,0.906,2.44e-21,2.25e-43,2.68e-05,1.62e-38,1.29e-16,4.44e-23,1.67e-23,1.68e-29,6.01e-31,9.76e-37,0.938,0.0845,0.392,3.63e-11,1.02e-08,6.33e-19,0.333,1.91e-11,0.46,5.91e-39,0.173,2.87e-09,2.03e-07,0.000238,6.26e-07,3.3e-21,2.09e-28,6.1e-14,0.0707,2.89e-20,7.42e-12,1.73e-23,0.55,3.46e-38,7.8e-08,0.336,0.604,6.51e-11,2.33e-14,0.000383,1.11e-09,4.24e-18,8.43e-18,1.28e-21,0.000885,1.32e-17,4.33e-16,0.0113,3.74e-34,0.00108,9.83e-28,2.5e-16,5.43e-21,0.37,0.246
"7","ASML",7.56e-12,2.85e-53,1.81e-91,7.91e-32,0.508,0.158,0.263,2.4e-55,0.071,1.09e-15,6.82e-17,9.34e-21,0.00142,1.87e-15,0.18,1.47e-22,1.05e-15,0.00612,1.27e-39,0.904,0.000127,3.51e-07,6.49e-05,0.991,0.0011,0.00908,1.54e-30,5.1e-77,0.00309,5.57e-12,4.45e-36,7.02e-14,1.03e-10,2.21e-37,8.24e-51,0.0258,3.33e-70,8.22e-32,3.28e-15,5.63e-25,1.62e-06,2.28e-11,0.268,9.73e-26,1.22e-65,1.76e-09,1.6e-10,9.43e-09,1.04e-27,0.0593,2.36e-37,4.12e-93,2.27e-31,1.68e-87,0.523,2.7e-37,1.45e-09,1.4e-08,2.53e-05,0.339,1.32e-97,8.67e-21,3.94e-17,1.58e-46,0.132,5.17e-32,2.38e-18,2.13e-22,5.91e-05,3.09e-79,1.21e-09
"8","AVGO",0.577,4.42e-08,6.04e-14,4.37e-13,5.16e-06,0.441,0.402,1.99e-09,0.00532,0.135,2.84e-05,7.13e-09,3.82e-06,3.11e-13,0.000243,6.78e-15,0.000548,0.762,2.87e-07,0.857,0.00096,0.323,0.00261,0.0349,1.48e-05,0.69,2.84e-16,9.12e-15,0.0939,0.0199,0.00196,0.731,2.75e-06,3e-04,3.16e-05,0.525,4.78e-21,0.00341,0.156,1.42e-14,0.537,0.741,0.246,0.00113,1.09e-11,0.61,0.36,0.0645,4.27e-21,0.00343,2.74e-06,1.98e-20,2.45e-20,4.42e-20,0.255,7.84e-09,0.89,0.0813,5.45e-06,2.98e-07,1.97e-12,0.0304,2.45e-07,3.09e-08,0.0767,6.23e-15,5.43e-15,1.43e-06,0.229,1.84e-10,0.0939
"9","BABA",3.23e-05,2.79e-11,1.5e-11,3e-07,0.78,0.0029,0.0175,3.8e-16,2.76e-06,0.619,1.44e-12,2.2e-13,0.000409,6.46e-08,0.983,1.56e-29,1.35e-11,0.00147,1.35e-11,8.11e-05,0.078,5.28e-05,5.48e-10,2.59e-07,0.389,0.0176,5.37e-35,9.56e-21,0.000134,1.66e-06,6.86e-08,0.00568,2.71e-16,0.0203,1.87e-08,9.07e-05,1.99e-26,4.34e-07,0.444,2.12e-28,0.326,0.000202,0.132,4.55e-10,2.23e-16,0.0143,0.881,5.58e-06,2.7e-31,0.342,4.78e-15,6.17e-26,2.37e-34,1.6e-14,0.395,9.15e-16,0.297,0.387,0.0147,0.0271,4.23e-12,1.77e-07,1.54e-17,1.69e-16,6.16e-07,3.42e-27,4.39e-07,7.39e-14,0.305,6.08e-14,4.79e-06
"10","CRM",0.496,0.437,0.611,0.409,0.000685,0.0375,0.208,0.364,7.41e-05,5.38e-05,0.239,0.897,0.024,1.69e-07,0.0208,1.99e-06,0.238,0.357,0.902,0.0105,1.55e-07,0.534,0.00342,0.000859,0.0956,0.0143,2.63e-07,0.00896,0.0579,0.0216,0.164,0.101,9.59e-05,0.0218,0.194,0.267,2.02e-05,0.356,0.19,0.00113,1.87e-06,0.225,0.112,0.764,0.0493,0.0119,0.017,0.393,8.36e-10,0.307,0.693,0.00059,5.87e-09,0.879,0.0299,0.98,9.7e-06,0.000603,0.127,3.77e-09,0.667,0.643,0.00189,0.614,0.000551,0.00164,0.0668,0.0844,0.00241,0.799,0.585
