"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",3.25e-07,5.37e-16,0.000538,8.07e-09,2.55e-24,2.06e-12,5.86e-05,1.55e-06,3.31e-06,0.00091,0.0119,0.00154,1.36e-14,4.02e-11,0.159,0.0304,2.26e-13,0.000265,0.183,0.0965,0.00396,3.29e-14,2.73e-06,2.21e-06,8.62e-08,3.44e-11,0.012,0.00015,0.0398,1.71e-05,0.00585,0.023,1.54e-05,2.4e-11,0.00554,4.94e-07,2.55e-15,2.64e-25,0.882,3.18e-06,8.39e-06,1.83e-20,0.0065,1.3e-32,5.29e-18,2.37e-09,3.69e-40,0.00489,0.704,1.27e-07,0.0213,5.5e-05,6.89e-09,2.28e-07,1.6e-16,1.09e-09,6.36e-11,0.00477,0.815,0.00123,0.0157,0.00153,3.49e-05,9.14e-06,9.86e-08,6.08e-35,0.149,0.0144,2.15e-17,9.92e-05,6.59e-53,0.125,0.000802,8.17e-05,5.74e-24,2.09e-24,0.00412,0.00202,1.82e-14,0.483,0.00119,0.0196,3.44e-15,1.76e-07,0.00172,0.000199,0.199,2.49e-13,1.47e-06,4.36e-29,8.44e-23,7.32e-12,0.889,0.000397,0.0305,8.74e-10,0.000364,0.589,1.38e-13,1.82e-09
"2","ACN",5.19e-06,7.68e-53,8.76e-18,1.66e-15,4.99e-39,1.97e-37,9.14e-20,4.05e-18,2.08e-13,0.0796,0.281,1.12e-21,0.0357,1.85e-06,0.00822,2.87e-13,1.68e-13,7.28e-09,0.0981,0.357,1.29e-11,5.74e-24,1.57e-05,5.4e-11,2.77e-07,0.328,6.36e-05,0.69,0.0088,0.686,1.25e-13,0.0103,1.48e-19,3.33e-18,0.131,3.9e-23,1.84e-49,1.42e-47,0.707,1.8e-12,1.73e-11,1e-35,1.06e-21,6.3e-54,1.91e-65,1.55e-15,2.67e-46,0.0389,2.04e-07,4.27e-21,5.07e-06,0.624,6.11e-09,0.17,4.11e-46,1.5e-09,4.65e-30,0.02,0.0144,0.26,0.0779,1.42e-16,4.62e-11,3.68e-31,0.337,1.78e-57,3.13e-11,9.92e-05,9.68e-15,0.336,2.08e-71,0.00295,3.59e-08,1.69e-09,2.81e-35,5.55e-56,1.82e-15,3.99e-16,9.35e-17,1.65e-11,0.0143,3.46e-14,1.23e-39,5.09e-05,0.171,1.34e-05,2.56e-10,1.47e-42,3.41e-30,3.62e-68,1.31e-20,0.000895,1.85e-06,2.21e-17,1.39e-11,0.000819,0.632,3.3e-08,0.00542,0.00698
"3","ADBE",7e-11,5.81e-32,3.5e-06,2.75e-18,2.66e-49,1.49e-16,1.49e-06,3.42e-07,1.49e-05,0.119,0.0975,7.3e-09,2.39e-08,7.61e-14,0.297,4.57e-05,5.11e-22,0.000571,0.978,0.622,0.0038,1.12e-29,1.35e-09,8.04e-17,2.14e-15,3.46e-05,0.0379,0.00918,0.709,0.00171,8.83e-08,0.151,7.35e-07,6.23e-25,0.231,2.1e-15,4.27e-24,1.09e-52,0.622,6.9e-06,1.72e-05,7.66e-43,1.09e-06,4.1e-39,7.5e-34,1.22e-10,7.53e-67,0.0453,0.141,9.43e-09,0.505,0.000161,1.76e-14,1.94e-06,1.83e-20,4.48e-18,5.46e-24,0.224,0.426,0.19,0.256,0.000303,0.000124,1.9e-10,2.28e-05,4.01e-40,0.00264,0.028,2.31e-25,0.0291,8.85e-57,0.822,0.00264,0.00019,7.8e-47,6.82e-30,3.32e-05,3.58e-05,9.38e-26,2.66e-07,0.715,5.93e-05,9.34e-29,9.86e-12,0.0719,7.07e-05,0.00204,2.11e-20,3.96e-12,1.84e-45,4.08e-27,1.3e-10,0.0889,1.49e-07,0.014,3.7e-09,0.0134,0.00572,5.63e-10,6.57e-08
"4","AMAT",2.81e-05,1.61e-26,2.97e-10,2.26e-19,9.07e-29,2.52e-11,2.76e-07,0.000382,0.154,7.29e-11,0.000924,5.71e-31,0.00513,0.118,0.0643,1.67e-23,4.34e-06,0.277,0.000209,1.57e-10,7.19e-05,5.38e-23,0.0138,1.88e-23,9.33e-16,1.62e-05,0.63,0.000542,7.43e-16,3.63e-05,2.3e-20,0.0017,9.71e-09,2.59e-18,1.44e-06,1.06e-22,2.38e-20,1.13e-34,0.544,0.106,0.114,4.71e-29,7.65e-21,6.51e-10,3.14e-39,0.0165,1.16e-18,0.00045,8.05e-09,2.4e-05,1.06e-16,0.0337,7.7e-08,0.364,6.81e-10,5.57e-08,4.71e-21,9.74e-10,1.05e-05,3.73e-07,3.99e-08,5.11e-06,0.226,1.38e-17,0.000609,7.13e-09,9.46e-15,0.519,7.65e-12,0.000119,1.34e-10,1.22e-11,0.441,0.19,7.11e-25,1.01e-10,1.4e-10,1.89e-15,1.63e-18,9.78e-42,2e-18,9.97e-22,2.58e-45,0.00203,0.00955,0.00988,4.01e-19,7.22e-17,5.91e-18,5.55e-28,4.24e-08,0.673,1.49e-14,7.46e-21,7.15e-06,0.514,2.32e-05,2.8e-20,0.0321,0.0741
"5","AMD",4.88e-06,1.62e-15,2.16e-06,0.00231,1.35e-13,4.22e-17,4.83e-10,1.32e-13,4.36e-17,4.84e-06,0.000112,0.0945,1.18e-12,3.07e-13,0.171,0.814,6.04e-11,6.41e-11,2.72e-09,7.56e-05,2.55e-06,1.19e-08,1.35e-10,0.202,0.157,5.39e-12,2.32e-05,3.39e-05,0.000383,3.95e-09,0.616,0.912,3.16e-09,5.96e-06,1.62e-05,0.00254,1.85e-16,1.12e-14,0.91,3.18e-17,1.44e-15,5.49e-12,0.00141,1.07e-36,5e-15,3.66e-19,1.53e-28,0.153,0.422,6.12e-16,0.0256,8.42e-05,0.000119,1.6e-07,7.07e-27,3.15e-08,3.27e-10,0.000849,0.0136,2.16e-05,3.01e-05,1.41e-07,8.13e-14,4.22e-09,1.93e-10,3.06e-52,0.684,2.16e-05,1.28e-06,0.0039,5.37e-62,0.00171,6.43e-12,3.74e-12,7.86e-17,1.05e-34,0.0026,0.00354,1.9e-07,0.354,2.55e-06,0.374,9.92e-06,1.29e-05,0.000121,0.000507,0.582,6.47e-12,2.64e-08,1.12e-18,1.46e-13,1.61e-11,0.184,0.0729,4e-04,1.33e-12,1.63e-06,0.239,4e-14,2.44e-09
"6","AMZN",3.35e-11,0.000581,0.368,1.75e-14,1.76e-26,0.0455,0.996,0.599,0.659,0.115,0.369,6e-04,7.88e-09,0.000105,5.49e-06,0.0017,1.58e-12,0.771,0.0188,0.0104,0.897,6.71e-18,0.00194,1e-18,4.7e-17,1.18e-05,0.663,0.00185,0.61,0.0972,2.05e-05,2.5e-05,0.705,3.61e-16,0.441,1e-06,0.000188,1.49e-24,0.114,0.291,0.385,4.76e-22,0.382,5.85e-07,8.79e-08,0.0501,3.04e-27,0.000149,0.225,0.0808,0.125,8.38e-05,5.74e-13,0.000166,0.175,3.84e-10,7.87e-07,0.15,0.427,0.163,0.621,0.892,0.756,0.0642,0.00155,4.02e-05,0.452,0.667,2.13e-26,2.18e-07,1.48e-08,0.837,0.901,0.399,2.07e-22,6.96e-05,0.919,0.057,8.78e-27,7.05e-05,0.896,0.00901,8.89e-21,1.72e-09,0.479,0.00202,0.0193,8.23e-05,0.25,1.96e-10,2.16e-21,5.95e-07,0.349,0.00164,0.468,0.000117,0.184,0.0129,2.07e-06,1.01e-05
"7","ASML",7.45e-06,1.1e-56,6.52e-15,1.55e-19,1.4e-41,1.15e-29,4.52e-15,1.35e-14,1.86e-05,0.182,0.381,2.33e-18,0.0111,7.48e-08,0.354,1.08e-11,8e-15,0.000698,0.402,0.0664,1.27e-08,1.53e-27,5.25e-06,1.45e-15,5.69e-12,0.291,0.0169,0.841,0.00435,0.722,1.01e-14,0.0952,1.03e-14,1.24e-22,0.129,1.02e-24,3e-41,4.13e-50,0.915,4.08e-05,0.000107,1.34e-41,2.77e-17,5.36e-50,1.24e-56,1.62e-16,4.92e-43,0.326,5.48e-07,1.73e-11,3.75e-06,0.593,9.16e-09,0.0381,3.19e-32,6.63e-12,1.09e-33,0.0324,0.00395,0.0808,0.0807,1.41e-09,0.000128,3.2e-19,0.207,4.99e-50,1.09e-09,0.031,2.09e-15,0.618,8.33e-58,0.0132,0.00452,0.000356,3.37e-37,2.2e-42,9.06e-15,9.4e-10,1.35e-17,4.67e-13,0.0192,1.93e-12,1.37e-38,4.13e-06,0.461,0.000416,5.95e-09,1.87e-35,8.21e-23,9.28e-59,1.61e-20,0.000382,5.03e-06,3.53e-16,4.89e-08,0.000404,0.869,9.92e-10,0.0019,0.00763
"8","AVGO",5.56e-09,7.69e-19,1.27e-18,0.149,2.98e-13,7.8e-22,4.2e-20,2.02e-21,3.02e-14,0.873,0.000652,0.000158,0.0184,3.99e-08,2.68e-05,0.0309,1.49e-06,9.45e-08,9.2e-07,0.00553,4.23e-13,3.35e-08,9.98e-15,0.373,0.396,0.0495,0.00025,0.11,0.831,0.00122,0.759,6.47e-05,1.87e-19,0.000209,0.0123,0.0409,2.2e-14,1.75e-12,0.257,9.97e-17,7.45e-15,1.2e-09,7.58e-14,1.52e-28,1.05e-19,5.92e-12,1.41e-21,0.00907,2.52e-06,3.36e-22,0.0197,0.19,0.203,0.000506,2.11e-28,2.37e-08,1.85e-08,0.314,8.51e-05,0.0184,0.0136,6.97e-12,1.11e-10,1.88e-19,0.00332,1.47e-35,0.0676,0.000152,6.48e-05,0.191,1.18e-36,0.894,1.52e-12,4.43e-10,1.06e-13,3.61e-32,7.7e-06,1.92e-07,9.93e-08,0.00467,0.92,0.000432,2.56e-06,2.16e-06,0.865,0.0197,0.274,1.09e-09,8.38e-15,5.18e-16,5.1e-06,0.000604,0.731,0.00111,3.01e-09,2.21e-12,0.0214,0.212,0.00292,0.338
"9","BABA",1.26e-05,1.91e-59,1.68e-17,3.06e-12,1.9e-34,2.54e-41,2.68e-22,7.63e-22,5.72e-13,0.467,0.889,6.17e-15,0.0454,8.71e-10,0.0687,1.65e-08,6.32e-15,1.8e-09,0.576,0.721,2.28e-10,2.81e-24,6.76e-08,1.69e-09,9.95e-07,0.407,3.8e-08,0.722,0.176,0.105,7.03e-11,0.0201,2.95e-17,8.51e-20,0.4,1.22e-20,5.5e-39,3.44e-39,0.000913,1.43e-07,1.9e-07,2.98e-34,8.51e-21,7.44e-73,2.25e-49,1.61e-19,1.56e-35,0.0698,1.77e-07,1.07e-14,1.46e-06,0.186,1.82e-09,0.0265,2.15e-51,1.52e-11,2.45e-31,0.14,0.113,0.468,0.48,4.19e-17,7.2e-11,1.6e-24,0.0618,1.39e-65,1.19e-08,3.77e-06,8.8e-12,0.301,8.76e-62,0.167,3.11e-05,3.02e-08,6.86e-29,4.54e-57,8.21e-16,7.71e-09,1.85e-12,5.39e-10,0.147,1.96e-09,4.17e-26,5.44e-06,0.185,0.00105,4e-06,2.85e-37,1.31e-27,2.49e-56,1.41e-16,4.62e-05,0.000362,3.59e-12,6.07e-12,0.000414,0.296,1.04e-05,0.000598,0.000211
"10","CRM",1.67e-12,1.5e-26,2.95e-16,2.65e-06,5.23e-28,8.37e-28,9.62e-21,1.76e-23,5.41e-29,0.00788,0.0284,1.23e-06,2.44e-08,7.86e-11,0.0488,0.00433,1.06e-15,2.12e-18,6.37e-09,0.181,3.82e-14,8.96e-18,3.61e-17,0.000167,0.0129,7.62e-08,9.19e-10,0.00721,0.0638,0.000125,0.000395,0.0533,3.21e-17,7.91e-13,0.0446,1.03e-07,9.26e-28,2.47e-28,0.184,8.24e-24,2.85e-21,6.31e-24,6.82e-09,8.26e-51,2.58e-28,2.67e-15,2.58e-39,0.693,0.00283,9.91e-27,0.312,0.0158,0.000114,0.000132,5.6e-35,3.03e-12,7.61e-21,0.5,0.0867,0.162,0.0409,2.17e-18,9.89e-24,1.94e-18,4.06e-06,1.8e-55,0.00633,2.32e-08,9.5e-10,0.0229,3.75e-52,0.3,9.63e-17,1.24e-18,1.59e-31,1.69e-56,1.74e-06,3.94e-06,3.2e-15,0.0198,0.0315,0.000267,2.51e-15,8.04e-08,0.00923,0.000373,0.033,1.23e-20,2.45e-12,1.56e-27,6.35e-18,8.6e-07,0.252,2.55e-06,5.45e-10,8.8e-10,0.00715,0.014,1.64e-09,2.69e-05
