"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",1.24e-28,6.37e-80,5.25e-27,8.18e-33,4.26e-93,1.68e-47,5.42e-58,1.11e-33,1.68e-16,0.556,1.68e-72,8.08e-45,3.23e-05,4.12e-52,0.443,2.2e-09,1.4e-31,6.23e-29,3.94e-37,5.98e-21,5.04e-19,1.19e-12,1.27e-42,7.8e-59,2.49e-52,0.131,0.0225,8.5e-12,2.31e-56,9.08e-44,1.52e-53,4.18e-07,4.87e-18,0.267,0.000406,2.11e-92,5.6e-85,2.01e-68,2.17e-95,0.00997,4.04e-38,1.79e-77,0.000768,1.23e-41,1.05e-23,0.799,1.14e-80,6.7e-110,1.59e-96,1.23e-19,6.39e-73,1.97e-88,0.000128,3.34e-46,3.42e-30,2.67e-26,4.62e-68,3.75e-84,7.98e-24,0.000624,1.18e-74,4.98e-41,2.52e-65,8.78e-12,3.38e-47,2.39e-50,NA,8.73e-88,1.86e-43,0.724,1.17e-67,4.25e-07,4.35e-63,8.66e-74,2.07e-81,0.147,4.62e-24,0.0629,0.824,1.82e-67,1.04e-50,0.000178,4.41e-07,1.4e-56,3.36e-41,3.59e-77,1.46e-21,0.000638,3.45e-52,2.22e-45,0.000879,5.92e-46,3.69e-56
"2","ACN",3.84e-22,1.26e-74,5.46e-28,3.45e-25,1.23e-53,4.48e-29,1.6e-61,2.72e-25,2.48e-24,0.000125,1.57e-60,4.95e-36,0.275,2.42e-52,0.0755,3.05e-18,2.47e-23,3.11e-26,4.43e-30,3.95e-18,8.19e-20,2.01e-10,4.26e-31,1.36e-35,2.7e-30,0.99,1.63e-07,4.18e-22,4.25e-38,2.39e-55,4.04e-37,0.00127,1.05e-16,0.0202,0.909,8.42e-71,1.04e-54,2.79e-45,2.41e-52,0.319,4.8e-28,3.51e-45,1.52e-11,8.66e-34,4.42e-42,0.668,5.33e-52,1.12e-60,5.15e-57,1.14e-28,1.45e-58,8.56e-59,8.77e-08,9.57e-59,7.94e-41,8.52e-38,2.3e-60,7.96e-51,3.63e-28,3.1e-10,3.56e-54,3.85e-47,3.86e-43,0.00576,7.94e-33,1.47e-49,NA,1.5e-51,8.52e-27,0.592,2.39e-61,9.54e-06,7.01e-52,1.08e-48,3.22e-70,0.0563,6.4e-20,0.584,0.682,9.98e-63,5.21e-43,0.000218,5.01e-08,3.81e-46,4.16e-47,1.81e-63,3.76e-27,0.000374,3.26e-30,3.19e-53,6.54e-12,1.4e-40,1.61e-46
"3","ADBE",4.99e-20,4.84e-74,5.05e-24,1.89e-22,4.26e-70,3.06e-52,1.22e-42,1.69e-23,1.81e-20,0.534,2.66e-55,6.26e-49,9.57e-06,3.81e-35,0.408,5.12e-10,2.59e-22,1.87e-18,1.84e-26,5.32e-13,5.99e-26,3.88e-19,1.08e-60,1.17e-45,6.88e-36,0.0493,0.328,1.25e-06,7.89e-69,2.11e-38,1.03e-40,6.68e-08,4.55e-28,0.0602,0.000223,1.66e-62,5.3e-70,3.92e-64,4.63e-86,8.57e-05,1.09e-34,1.63e-64,0.000235,6.92e-48,9.77e-27,0.527,1.19e-60,8.94e-79,2.3e-96,3.81e-11,9.28e-51,1.21e-71,1.17e-07,1.45e-39,2.9e-27,7.63e-31,6.41e-65,2.73e-78,2.94e-23,4.7e-05,4.52e-62,1.93e-35,1.28e-69,4.92e-11,4e-35,7.08e-67,NA,1.74e-80,1.99e-37,0.489,1.14e-47,5.28e-05,5.4e-58,4.96e-57,8.34e-67,0.158,3.07e-16,0.0262,0.654,1.18e-65,2.4e-33,2.2e-09,5.29e-05,3.5e-40,4.4e-33,2.14e-54,7.53e-15,6.3e-06,2.16e-48,4.87e-42,0.0693,8.38e-38,1.49e-64
"4","AMAT",1.42e-35,2.61e-54,2.02e-12,3.15e-42,1.8e-22,5.43e-05,6.34e-28,2.08e-42,4.72e-09,3.15e-10,3.67e-45,9.57e-15,0.837,8.07e-83,0.0118,1.12e-07,2.47e-36,9.46e-61,1.91e-42,2.96e-34,3.59e-07,0.168,3.21e-06,2.92e-27,2.96e-16,0.00807,5.67e-16,2.47e-60,4.93e-12,1.27e-47,1.88e-25,0.203,0.00062,0.000322,0.0957,1.96e-69,4.69e-42,6.28e-13,9.06e-29,0.929,1.7e-30,1.03e-19,2.52e-05,1.32e-13,4.85e-22,5.58e-08,3.9e-37,6.02e-30,1.22e-19,1.13e-61,3.87e-41,6.63e-23,0.0456,3.33e-33,2.3e-25,4.55e-29,6.5e-23,3.53e-19,4.99e-08,0.00326,2.56e-47,9.26e-24,2.9e-10,0.0461,3.02e-29,3.21e-23,NA,8.09e-15,1.56e-05,1.59e-09,1.81e-58,8.78e-17,1.02e-40,1.01e-37,5e-35,0.838,9.86e-35,0.659,0.264,2.74e-33,2.03e-73,0.0548,1.09e-16,6.71e-58,2.68e-73,1.21e-64,3.22e-55,0.111,3.73e-08,3.13e-31,5.04e-30,4.28e-44,4.15e-15
"5","AMD",1.17e-31,2.35e-67,7.47e-23,5.96e-38,2.44e-84,8.14e-40,1.71e-47,8.75e-39,7.96e-10,0.641,4.79e-76,1.89e-34,3.67e-05,1.06e-53,0.292,9.48e-06,2.35e-37,1.1e-34,2.13e-36,7.11e-22,2.32e-12,1.69e-06,2.68e-31,2.81e-65,1.72e-69,0.0749,0.00828,5.04e-11,3.93e-47,4.13e-36,3.35e-53,5.98e-08,1.43e-12,0.205,3.31e-05,4.04e-104,5.83e-78,2.09e-59,7.68e-104,0.00673,9.17e-42,6.73e-76,0.131,1.3e-34,6.15e-14,0.938,1.71e-88,8.11e-107,2.25e-81,5.74e-21,1.62e-74,7.54e-80,0.0607,1.65e-38,1.68e-22,4.65e-18,3.06e-61,2.32e-72,1.71e-18,0.0605,1.6e-70,2.34e-35,2.08e-50,1.65e-15,1.78e-52,8.3e-35,NA,3.15e-72,3.78e-43,0.309,8.61e-64,5.29e-09,1.2e-48,2.24e-69,7.48e-77,0.267,1.64e-27,0.0133,0.991,1.86e-51,1.03e-61,0.0215,3.54e-10,3.69e-66,1.39e-46,2.17e-83,3.89e-30,0.00162,2.51e-52,1.81e-41,0.00109,8.67e-38,8.26e-40
"6","AMZN",3.77e-17,1.88e-77,2.65e-19,5.84e-19,1.98e-75,2.81e-44,1.95e-28,1.6e-18,1.29e-16,0.00595,3.18e-39,1.12e-60,5.54e-09,4.3e-28,0.185,2.78e-06,1.28e-18,4.96e-15,5.92e-21,5.57e-11,2.02e-24,1.29e-20,2.55e-72,1.7e-35,2.42e-35,0.00691,0.501,0.00272,4.58e-93,1.62e-36,1.07e-30,9.82e-08,7.26e-37,5.94e-05,2.63e-08,4.61e-53,3.66e-65,2.42e-47,7.5e-92,1.56e-08,1.14e-41,1.26e-51,0.00701,5.88e-46,5.04e-16,0.263,2.18e-48,8.32e-83,1.59e-83,1.99e-06,8.43e-47,7.67e-56,3.34e-06,8.91e-31,3e-17,1.07e-26,2.43e-41,1.57e-63,1.04e-21,0.0131,6.91e-62,2.22e-27,5e-75,4.21e-16,1.73e-28,3.33e-60,NA,8.81e-82,1.06e-33,0.696,2.16e-41,0.000163,7.85e-49,3.34e-45,1.09e-46,0.208,2.82e-14,0.00013,0.987,1.79e-71,4.17e-28,1.38e-11,4.84e-05,4.81e-29,3.51e-31,6.16e-41,2.43e-11,4.39e-09,1.04e-37,2.37e-37,0.916,4.93e-34,2.43e-63
"7","ASML",1.4e-34,3.59e-104,1.65e-13,1.44e-40,5.68e-46,7.56e-20,1.32e-28,2.88e-42,5.81e-12,0.403,2.44e-55,5.78e-36,3.28e-05,5.57e-75,0.794,2.44e-05,5.34e-37,2.05e-45,5.56e-49,6.53e-30,6.86e-15,1.2e-08,3.89e-28,2.1e-42,2.9e-26,0.962,0.00282,3.89e-24,2.37e-42,5.82e-57,3.98e-38,0.00209,1.74e-17,0.107,0.00254,8.07e-92,4.88e-80,3.17e-28,1.09e-70,0.00585,2.75e-55,2.49e-39,0.00438,1.8e-28,2.47e-21,0.00065,1.44e-62,3.31e-57,1.28e-52,4.48e-27,2.56e-53,7.42e-39,0.002,3.46e-32,3.44e-21,2.61e-35,8.29e-36,7.05e-42,1.31e-11,0.0673,6.33e-90,6.31e-24,4.55e-32,4.6e-11,1.58e-40,2.3e-49,NA,1.14e-37,3.77e-14,0.00052,3.28e-69,9.45e-13,3.26e-80,5.88e-67,6.88e-48,0.342,5.14e-31,0.0239,0.543,3.57e-63,1.92e-62,2.21e-07,1.04e-10,5.33e-60,1.34e-64,1.59e-73,2.92e-28,0.00163,1.13e-21,6.89e-35,1.71e-06,4.45e-68,1.03e-35
"8","AVGO",5.4e-38,2.17e-58,3.67e-16,2.13e-44,3.2e-41,3.1e-25,2.95e-49,1.91e-46,4.9e-11,0.000537,2.05e-89,5.08e-20,0.0398,3.72e-70,0.955,1.45e-08,1.49e-41,1.9e-43,6.08e-48,3.06e-28,3.93e-10,0.000214,2.7e-18,4.09e-60,8.57e-38,0.53,1.54e-06,3.98e-25,8.09e-27,1.93e-40,1.06e-47,3.99e-06,3.17e-08,0.169,0.316,1.49e-84,1.26e-69,1.28e-43,5.56e-60,0.495,3.45e-35,1.34e-48,0.00142,5.04e-23,1.01e-27,0.00117,7.77e-72,2.11e-51,3.65e-53,3.86e-34,9.91e-49,8.37e-52,0.014,1.75e-38,3.01e-31,3.97e-24,1.14e-61,4.03e-47,6.21e-12,0.000766,1.77e-69,4.47e-29,2.26e-27,8.82e-07,7.1e-55,9.1e-33,NA,9.97e-37,5.56e-20,0.0141,1.62e-55,1.99e-12,3.35e-56,3.78e-71,2.84e-76,0.0424,3.76e-32,0.595,0.751,3.13e-40,5.77e-58,0.0982,5.5e-10,5.54e-70,7.55e-47,6.73e-99,9.79e-32,0.389,3.06e-34,1.09e-34,1.86e-09,2.59e-45,3.89e-27
"9","BABA",3.26e-20,7.66e-36,4.51e-20,3.33e-21,7.05e-60,3.31e-48,5.19e-49,4.57e-18,6.2e-13,0.434,2.99e-48,4.62e-28,0.000139,1.29e-16,0.0476,1.13e-09,2.14e-22,4.61e-11,6.59e-13,1.7e-07,9.25e-15,2.99e-10,5.96e-40,1.97e-49,2e-40,0.0345,0.645,0.368,1.15e-37,4.51e-17,1.14e-27,2.14e-23,3.66e-13,0.242,6.18e-05,3.41e-34,3.65e-56,4.58e-70,4.7e-57,0.328,3.44e-21,2.41e-51,0.000958,8.59e-28,1.08e-18,0.649,1.2e-39,8.15e-62,1.09e-69,0.000244,5.36e-29,9.18e-63,0.000622,9.24e-30,3.36e-26,6.92e-13,2.25e-63,4.61e-68,8.76e-21,7.66e-05,1.97e-44,5.15e-30,2.43e-54,6.16e-11,4.28e-36,1.6e-30,NA,6.79e-71,9.11e-42,0.641,2.72e-20,1.26e-05,1.55e-22,2.39e-32,6.18e-57,0.0837,3.6e-16,0.103,0.86,3.34e-38,8.92e-20,0.00582,3.53e-05,3.38e-23,7.57e-16,4.77e-41,5.26e-11,0.0292,2.52e-50,2.3e-30,0.777,1.95e-12,2.96e-39
"10","CRM",4.71e-24,9.66e-33,7.81e-20,3.26e-27,5.16e-52,1.01e-57,1.03e-57,1.77e-24,1.81e-12,0.556,7.55e-66,2.95e-19,0.00151,4.81e-27,0.143,2.47e-09,1.04e-27,3.99e-17,2.54e-19,7.07e-12,8.26e-13,6.15e-09,1.26e-29,6.1e-63,1.64e-43,0.274,0.2,0.000909,8.68e-33,5.53e-19,3.55e-49,4.06e-20,1.12e-10,0.93,0.00472,2.74e-46,3.14e-59,6.05e-82,2.77e-67,0.791,5.21e-24,3.06e-73,0.016,2.04e-30,6.47e-20,0.931,2.75e-59,3.11e-62,8.32e-79,2.73e-10,2.54e-31,1.02e-74,0.000992,1.86e-30,1.55e-26,6.01e-13,4.02e-90,5.52e-84,1.44e-16,6.22e-05,1.84e-47,3.3e-30,4.88e-46,1.36e-09,5.85e-44,4.56e-32,NA,2.01e-60,1.11e-45,0.135,2.07e-28,5.75e-05,1.16e-27,1.34e-45,4.87e-82,0.0782,2.29e-19,0.609,0.753,2.65e-29,9.29e-28,0.0951,1.2e-07,6.35e-36,7.41e-18,7.03e-52,3.94e-14,0.166,2.94e-70,2.73e-29,0.193,5.55e-17,1.17e-38
