"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.014,-0.033,-0.054,0.055,-0.046,-0.034,0.0082,-0.064,-0.064,-0.074,-0.068,0.068,0.033,0.061,-0.014,0.044,-0.03,-0.049,0.01,0.0021,-0.035,-0.02,-0.072,-0.093,-0.023,0.12,-0.035,-0.049,-0.026,0.0092,0.054,-0.039,0.0076,-0.052,-0.06,-0.045,-0.035,0.018,-0.052,-0.073,-0.082,0.007,-0.066,-0.092,-0.048,-0.064,-0.022,-0.062,-0.011,-0.039,-0.009,0.023,0.068,0.0026,0.097,0.035,-0.032,-0.041,-0.06,0.054,-0.028,0.045,-0.07,-0.06,-0.042,-0.1,-0.087,0.012,0.087,0.046,-0.034
"2","^AXJO",-0.026,-0.047,-0.063,0.055,-0.054,-0.034,0.0095,-0.075,-0.057,-0.07,-0.066,0.066,0.038,0.052,-0.022,0.044,-0.029,-0.045,0.016,-0.0034,-0.045,-0.025,-0.076,-0.096,-0.019,0.11,-0.04,-0.064,-0.027,0.0058,0.042,-0.042,0.0092,-0.043,-0.066,-0.041,-0.034,0.011,-0.054,-0.073,-0.087,0.0053,-0.07,-0.097,-0.064,-0.065,-0.023,-0.063,-0.034,-0.045,-0.02,0.0091,0.065,-0.0018,0.092,0.031,-0.033,-0.056,-0.071,0.052,-0.04,0.042,-0.074,-0.065,-0.045,-0.11,-0.082,0.0078,0.082,0.047,-0.039
"3","^BFX",0.081,0.037,-0.021,0.12,0.09,0.015,0.096,-0.0021,-0.025,-0.057,-0.0065,0.0066,-0.0024,-0.027,0.011,0.0085,0.047,-0.022,-0.023,0.11,-0.011,0.048,0.011,0.0025,0.0074,0.065,0.068,0.01,-0.0059,0.016,-0.03,0.062,-0.0035,-0.015,0.011,0.018,0.051,0.074,-0.11,0.022,-0.0016,0.029,-0.0031,0.01,0.086,0.024,-0.035,0.039,0.069,-0.0059,0.087,0.036,0.031,0.061,0.054,0.042,0.0084,-0.061,0.012,0.032,-0.031,0.17,0.086,0.063,0.022,0.036,0.055,0.039,0.029,0.067,0.041
"4","^BSESN",-0.1,-0.043,0.03,-0.031,-0.012,-0.11,-0.0094,-0.13,-0.14,-0.14,-0.1,-0.0082,-0.049,-0.0053,0.048,0.024,-0.099,-0.13,-0.099,-0.13,0.0026,-0.11,-0.093,-0.16,0.032,0.067,0.0096,-0.012,-0.0081,-0.039,-0.055,-0.069,-0.07,-0.07,-0.094,-0.092,-0.026,-0.12,-0.026,-0.077,-0.11,-0.044,-0.097,-0.12,0.022,-0.079,-0.21,-0.094,-0.0082,-0.01,-0.049,0.041,0.016,0.056,-0.041,-0.14,-0.011,0.002,-0.17,-0.0053,-0.17,-0.035,-0.061,-0.16,-0.078,-0.12,-0.095,-0.12,-0.099,-0.085,-0.14
"5","^BUK100P",0.037,-0.047,-0.015,0.06,0.06,0.024,0.059,0.0023,-0.0052,-0.0046,0.017,-0.039,0.034,-0.041,0.023,-0.066,0.013,-0.026,-0.029,0.028,-0.02,0.0079,0.032,0.026,0.021,0.082,-0.015,-0.043,0.037,-0.012,-0.045,9.2e-05,0.049,-0.0021,0.026,0.041,0.086,0.018,-0.091,0.018,-0.019,-0.00092,0.025,0.00016,-0.022,0.015,-0.048,0.052,-0.065,-0.023,0.06,0.018,-0.0032,0.046,0.046,0.016,0.003,-0.078,-0.02,0.034,-0.055,0.038,0.058,0.066,-0.016,0.063,0.11,0.03,0.015,0.043,-0.0022
"6","^BVSP",-0.047,0.037,0.016,0.037,-0.022,-0.094,-0.07,-0.049,0.076,-0.09,-0.01,-0.038,-0.051,0.027,-0.0073,-0.043,-0.065,-0.027,-0.076,0.023,0.0013,-0.088,-0.043,-0.078,-0.068,-0.13,0.079,0.0069,0.031,-0.019,-0.12,-0.0076,-0.039,-0.11,-0.041,-0.048,0.039,0.12,-0.037,-0.038,-0.047,-0.068,-0.067,-0.049,0.0048,-0.11,-0.054,-0.098,0.022,-0.12,-0.11,0.046,0.08,-0.0063,0.007,-0.053,0.013,-0.018,-0.068,-0.1,-0.026,-0.032,-0.078,-0.0068,-0.039,-0.012,-0.012,-0.0098,-0.058,0.0053,-0.056
"7","^DJI",0.07,0.0093,-0.078,0.13,0.095,0.028,0.076,0.031,0.033,-0.059,0.052,0.02,-0.053,-0.046,-0.043,0.0098,0.025,-0.014,-0.065,0.055,0.027,0.059,0.054,0.032,-0.053,0.0029,0.06,-0.037,0.023,0.0013,-0.084,0.074,-0.016,0.028,0.082,0.025,0.04,0.076,-0.11,0.06,0.015,0.012,0.02,0.0066,0.0077,0.03,-0.0028,0.001,0.0025,-0.0059,0.0032,-0.023,0.034,0.017,0.023,0.054,-0.016,-0.1,-0.033,0.026,0.0095,0.097,0.034,0.094,0.07,0.064,0.051,0.059,0.056,0.1,-0.013
"8","^FCHI",0.084,-0.016,-0.036,0.12,0.088,0.03,0.13,0.0083,0.0064,-0.01,0.027,-0.019,-0.018,-0.014,0.013,0.015,0.062,0.0069,-0.016,0.08,0.0034,0.058,0.058,0.036,-0.042,0.017,0.096,-0.0066,0.0054,-0.00073,-0.047,0.028,0.021,-0.031,0.0061,0.056,0.087,0.076,-0.11,0.029,-0.004,0.022,0.019,-0.0036,0.045,0.06,-0.067,0.047,0.015,-0.0041,0.064,0.0066,-0.0015,0.034,0.017,0.054,0.026,-0.076,0.0091,0.044,-0.052,0.13,0.053,0.085,0.028,0.081,0.058,0.061,0.063,0.039,-0.00015
"9","^FTSE",0.052,-0.031,-0.036,0.052,0.045,0.022,0.029,-0.0029,-0.0048,-0.022,0.012,-0.011,0.02,-0.027,0.0019,-0.035,0.0033,-0.035,-0.018,0.027,-0.028,0.027,0.029,0.022,-0.014,0.063,0.019,-0.0044,0.047,-0.04,-0.062,0.039,0.013,-0.012,3e-05,0.035,0.022,0.027,-0.091,0.016,-0.012,-0.007,0.0068,0.005,0.015,0.012,-0.075,0.036,-0.026,-0.042,0.049,0.035,0.01,0.056,0.046,0.034,0.017,-0.068,-0.0099,0.015,-0.028,0.055,0.053,0.063,-0.0059,0.083,0.1,0.023,0.033,0.038,0.00077
"10","^GDAXI",0.067,-0.018,-0.02,0.094,0.068,0.037,0.12,-0.015,0.035,-0.018,-0.0038,0.014,-0.013,-0.0022,-0.029,0.036,0.04,0.0047,-0.018,0.11,-0.012,0.043,0.042,0.027,0.022,0.061,0.097,-0.044,-0.0071,0.0012,-0.026,-0.028,0.029,0.014,-0.0061,0.041,0.083,0.044,-0.1,0.00088,-0.018,0.017,-0.0016,-0.018,0.034,0.027,-0.06,0.022,-0.025,-0.045,0.062,-0.013,-0.0049,0.019,0.0036,0.042,0.018,-0.082,-0.0057,0.016,-0.081,0.076,0.043,0.073,0.017,0.033,0.023,0.05,0.029,0.041,-0.041
