"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",-0.025,0.2,0.16,-0.029,0.11,-0.045,0.17,0.031,0.21,0.14,0.21,0.1,0.11,0.22,0.14,0.22,0.049,-0.042,0.14,0.051,0.17,-0.0012,0.26,0.021,0.086,-0.12,0.075,0.18,0.068,0.11,0.019,-0.0012,0.19,0.15,0.19,0.18,-0.067,0.14,0.041,0.14,0.016,-0.077,0.2,0.21,0.19,0.0062,0.058,0.15,0.16,0.18,0.14,0.2,0.23,0.16,0.13,0.13,0.18,0.12,0.12,0.18,0.14,0.16,0.15,0.25,0.00072,0.19,0.11,0.066,-0.004,0.18,0.015,0.093,0.17,0.18,-0.22,-0.027,-0.18,-0.27,0.17,0.12,0.13,-0.005,0.12,0.15,0.17,0.12,0.21,-0.00097,0.091,0.19,0.15,0.14
"2","^AXJO",-0.024,0.21,0.17,-0.029,0.11,-0.043,0.17,0.03,0.21,0.14,0.22,0.11,0.11,0.23,0.13,0.23,0.048,-0.045,0.15,0.055,0.17,-0.0044,0.27,0.018,0.096,-0.1,0.085,0.18,0.078,0.12,0.012,-0.0041,0.2,0.16,0.2,0.19,-0.07,0.15,0.052,0.14,0.016,-0.079,0.21,0.22,0.2,0.00031,0.068,0.16,0.18,0.19,0.14,0.21,0.24,0.17,0.14,0.13,0.19,0.12,0.13,0.18,0.15,0.17,0.15,0.27,-0.0038,0.2,0.12,0.063,-0.0094,0.18,0.014,0.093,0.17,0.19,-0.22,-0.023,-0.18,-0.27,0.16,0.12,0.14,-0.011,0.12,0.16,0.18,0.12,0.22,-0.0055,0.091,0.18,0.15,0.15
"3","^BFX",-0.011,0.35,0.3,-0.037,0.21,-0.036,0.28,0.051,0.37,0.29,0.37,0.27,0.17,0.37,0.19,0.32,0.062,-0.042,0.25,0.08,0.31,0.016,0.41,0.051,0.2,-0.12,0.24,0.32,0.21,0.2,0.026,-0.023,0.35,0.3,0.29,0.34,0.097,0.24,0.17,0.21,0.035,-0.058,0.32,0.28,0.34,0.035,0.087,0.32,0.27,0.29,0.2,0.34,0.35,0.32,0.24,0.29,0.32,0.16,0.26,0.31,0.21,0.31,0.12,0.43,0.031,0.32,0.19,0.071,0.0064,0.21,0.026,0.14,0.29,0.3,-0.22,-0.07,-0.21,-0.23,0.27,0.25,0.19,-0.002,0.25,0.3,0.35,0.22,0.37,-0.014,0.28,0.29,0.22,0.27
"4","^BSESN",-0.015,0.13,0.08,-0.043,0.048,-0.11,0.06,0.074,0.091,0.056,0.099,0.075,0.038,0.097,0.046,0.098,0.088,-0.04,0.18,0.038,0.1,0.12,0.058,0.064,0.0067,-0.26,0.014,0.13,0.031,0.077,0.049,-0.023,0.14,0.058,0.12,0.087,-0.055,0.079,-0.12,0.12,0.024,-0.0068,0.14,0.075,0.11,-0.00059,0.056,0.07,0.09,0.091,0.056,0.11,0.043,0.02,0.097,-0.0031,0.056,0.025,0.03,0.064,0.017,0.076,0.017,0.14,0.029,0.12,0.073,0.17,0.0082,0.052,0.043,0.14,0.13,0.078,-0.12,-0.1,-0.13,-0.15,0.074,0.046,0.073,-0.015,0.043,0.12,0.058,0.061,0.075,0.046,0.043,0.13,0.073,0.061
"5","^BUK100P",-0.04,0.28,0.25,-0.059,0.15,-0.029,0.22,0.061,0.32,0.22,0.31,0.19,0.14,0.3,0.16,0.22,0.08,-0.056,0.21,0.093,0.22,0.062,0.36,0.077,0.14,-0.15,0.14,0.23,0.16,0.15,0.011,-0.022,0.3,0.21,0.2,0.26,-0.018,0.16,0.15,0.15,0.012,-0.061,0.23,0.2,0.24,0.037,0.071,0.26,0.15,0.24,0.18,0.27,0.28,0.25,0.17,0.21,0.25,0.12,0.22,0.22,0.12,0.22,0.09,0.34,0.072,0.24,0.15,0.087,0.039,0.17,0.066,0.13,0.2,0.21,-0.19,-0.065,-0.14,-0.17,0.2,0.22,0.14,6e-06,0.2,0.21,0.28,0.18,0.31,0.022,0.22,0.22,0.12,0.2
"6","^BVSP",-0.028,0.35,0.32,3.8e-05,0.28,-0.072,0.3,0.072,0.39,0.33,0.38,0.26,0.19,0.39,0.22,0.31,0.061,-0.036,0.36,0.049,0.35,0.061,0.41,0.05,0.23,-0.047,0.15,0.34,0.17,0.25,0.043,0.014,0.38,0.34,0.34,0.39,-0.092,0.25,0.19,0.25,0.041,-0.029,0.3,0.25,0.28,0.035,0.092,0.35,0.28,0.37,0.21,0.39,0.38,0.35,0.34,0.27,0.31,0.27,0.34,0.33,0.24,0.33,0.22,0.41,0.031,0.33,0.27,0.14,0.056,0.27,0.036,0.22,0.27,0.32,-0.31,-0.03,-0.26,-0.32,0.32,0.2,0.23,0.029,0.22,0.3,0.37,0.27,0.41,0.026,0.21,0.3,0.23,0.28
"7","^DJI",-0.0013,0.37,0.37,-0.0075,0.29,-0.034,0.36,0.037,0.45,0.33,0.42,0.29,0.19,0.39,0.25,0.36,0.022,-0.041,0.36,0.036,0.35,0.028,0.44,0.032,0.16,-0.0081,0.2,0.35,0.25,0.23,0.041,0.047,0.42,0.34,0.34,0.42,-0.027,0.26,0.25,0.24,0.051,0.012,0.34,0.29,0.33,0.067,0.092,0.36,0.29,0.37,0.2,0.43,0.39,0.4,0.37,0.31,0.36,0.28,0.34,0.38,0.23,0.37,0.23,0.45,0.04,0.35,0.26,0.095,0.07,0.29,0.014,0.22,0.3,0.33,-0.29,-0.02,-0.2,-0.28,0.32,0.26,0.25,-0.0096,0.26,0.31,0.41,0.29,0.47,0.023,0.27,0.3,0.26,0.35
"8","^FCHI",-0.026,0.29,0.25,-0.043,0.2,-0.064,0.23,0.05,0.33,0.25,0.33,0.22,0.15,0.34,0.17,0.29,0.065,-0.037,0.24,0.086,0.28,0.036,0.4,0.06,0.15,-0.15,0.13,0.28,0.15,0.15,0.027,-0.043,0.32,0.24,0.23,0.3,-0.064,0.2,0.15,0.18,0.034,-0.052,0.28,0.22,0.29,0.062,0.076,0.29,0.2,0.26,0.16,0.32,0.31,0.28,0.23,0.22,0.28,0.16,0.25,0.26,0.14,0.25,0.088,0.38,0.039,0.28,0.17,0.079,0.0015,0.17,0.034,0.15,0.24,0.25,-0.2,-0.053,-0.18,-0.2,0.23,0.21,0.18,0.0048,0.2,0.24,0.29,0.18,0.34,0.0064,0.2,0.26,0.19,0.22
"9","^FTSE",-0.008,0.32,0.28,-0.03,0.17,-0.011,0.24,0.019,0.37,0.26,0.34,0.2,0.15,0.33,0.18,0.25,0.034,-0.054,0.24,0.12,0.29,0.021,0.4,0.028,0.16,-0.14,0.16,0.28,0.18,0.19,-0.012,0.003,0.33,0.26,0.24,0.29,-0.035,0.19,0.14,0.18,0.0015,-0.064,0.26,0.23,0.29,0.046,0.066,0.3,0.21,0.27,0.18,0.32,0.31,0.29,0.21,0.24,0.3,0.15,0.22,0.27,0.16,0.26,0.11,0.39,0.027,0.29,0.16,0.089,0.014,0.19,0.021,0.16,0.21,0.26,-0.24,-0.027,-0.19,-0.21,0.24,0.23,0.18,0.017,0.23,0.27,0.3,0.24,0.35,-0.011,0.24,0.26,0.16,0.24
"10","^GDAXI",0.0016,0.31,0.25,-0.047,0.22,-0.029,0.27,0.035,0.37,0.28,0.36,0.25,0.16,0.37,0.18,0.29,0.045,-0.051,0.25,0.055,0.28,0.037,0.42,0.055,0.15,-0.15,0.15,0.28,0.16,0.16,0.052,-0.018,0.34,0.28,0.25,0.33,-0.051,0.23,0.18,0.19,0.029,-0.029,0.31,0.25,0.32,0.022,0.092,0.3,0.19,0.29,0.19,0.33,0.31,0.3,0.22,0.25,0.3,0.18,0.26,0.27,0.15,0.28,0.1,0.38,0.043,0.3,0.18,0.089,0.033,0.18,0.028,0.17,0.27,0.27,-0.18,-0.03,-0.14,-0.18,0.24,0.23,0.18,0.045,0.22,0.26,0.32,0.21,0.36,-0.0056,0.25,0.29,0.19,0.24
