"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.0491,0.766,0.542,0.141,0.286,0.976,0.229,0.351,0.0263,0.259,0.216,0.954,0.173,0.212,0.321,0.0613,0.238,0.114,0.191,0.45,0.608,0.0739,0.0386,0.649,0.148,0.459,0.665,0.13,0.0144,0.152,0.302,0.0835,0.278,0.109,0.913,0.123,0.0101,0.154,0.0841,0.463,0.169,0.129,0.426,0.374,0.852,0.469,0.504,0.783,0.384,0.146,0.526,0.347,0.272,0.0239,0.0238,0.413,0.165,0.165,0.0803,0.982,0.162,0.487,0.141,0.523,0.116,0.0165,0.339,0.0782,0.245,0.776,0.351,0.785,0.551,0.142,0.0981,0.00814,0.19,0.162,0.0672,0.633,0.219,0.326,0.623,0.113,0.783,0.438,0.249,0.474,0.388,0.571,0.664,0.875,0.0464,0.314,0.709,0.0346,0.0997,0.948,0.575,0.091
"2","^AXJO",0.0333,0.711,0.569,0.161,0.251,0.952,0.238,0.294,0.0203,0.255,0.195,0.977,0.145,0.205,0.324,0.0659,0.201,0.114,0.188,0.44,0.615,0.0629,0.0316,0.65,0.133,0.418,0.738,0.11,0.0188,0.173,0.345,0.0895,0.331,0.101,0.883,0.1,0.00819,0.169,0.0667,0.396,0.148,0.111,0.432,0.44,0.794,0.439,0.42,0.749,0.402,0.162,0.524,0.361,0.244,0.0254,0.0308,0.425,0.146,0.182,0.0566,0.955,0.145,0.413,0.15,0.494,0.107,0.0246,0.294,0.0658,0.218,0.723,0.319,0.785,0.648,0.123,0.095,0.00733,0.19,0.189,0.0485,0.614,0.228,0.299,0.55,0.0856,0.766,0.382,0.272,0.429,0.341,0.53,0.689,0.842,0.0407,0.372,0.735,0.0254,0.0748,0.951,0.583,0.0974
"3","^BFX",0.032,0.0272,0.31,0.00655,0.186,0.0298,0.0223,0.057,0.738,0.0605,0.000828,0.0061,0.236,0.00122,0.00597,0.0222,0.107,0.582,0.419,0.101,0.453,0.0286,0.0784,0.0728,0.111,0.114,0.203,0.011,0.00531,0.00618,0.783,0.0101,0.0661,0.077,0.0199,0.033,0.00119,0.53,0.571,0.715,0.407,0.112,0.0454,0.874,0.272,0.0909,0.116,0.243,0.386,0.12,0.0163,0.0188,0.0678,0.000705,0.00199,0.0479,0.0359,0.0301,0.0919,0.0047,0.0055,0.186,0.525,0.198,0.00917,0.0552,0.0429,0.479,0.122,0.0788,0.0442,0.0638,0.857,0.673,0.029,0.00699,0.000959,0.151,0.0726,0.0485,0.0146,0.185,0.88,0.153,0.831,0.992,0.00542,0.0289,0.0811,0.0027,0.0126,0.00189,0.0137,0.0109,0.044,0.165,0.00567,0.318,0.0301,0.0671
"4","^BSESN",0.735,0.558,0.447,0.828,0.913,0.119,0.325,0.107,0.494,0.56,0.144,0.952,0.318,0.187,0.314,0.483,0.899,0.606,0.274,0.793,0.571,0.868,0.808,0.854,0.422,0.509,0.654,0.493,0.168,0.255,0.163,0.257,0.531,0.539,0.412,0.388,0.104,0.686,0.0974,0.616,0.265,0.948,0.0667,0.263,0.126,0.474,0.587,0.522,0.866,0.843,0.441,0.534,0.688,0.0913,0.166,0.67,0.482,0.12,0.548,0.793,0.644,0.46,0.209,0.603,0.224,0.553,0.926,0.102,0.535,0.637,0.545,0.694,0.433,0.355,0.424,0.357,0.215,0.223,0.881,0.324,0.178,0.646,0.65,0.293,0.0612,0.33,0.125,0.527,0.95,0.036,0.8,0.794,0.84,0.573,0.968,0.389,0.218,0.25,0.238,0.328
"5","^BUK100P",0.102,0.0765,0.312,0.0289,0.117,0.0173,0.0144,0.0734,0.112,0.151,0.0305,0.203,0.279,0.0465,0.023,0.331,0.336,0.848,0.491,0.218,0.871,0.222,0.192,0.436,0.25,0.0388,0.122,0.0463,0.014,0.000882,0.301,0.022,0.172,0.257,0.0634,0.137,0.00747,0.835,0.24,0.517,0.678,0.182,0.15,0.251,0.986,0.205,0.183,0.109,0.307,0.803,0.0104,0.0345,0.754,0.0105,0.00504,0.2,0.241,0.06,0.167,0.00665,0.0721,0.861,0.362,0.221,0.0683,0.0908,0.202,0.667,0.156,0.484,0.12,0.746,0.964,0.98,0.0612,0.214,0.0883,0.358,0.144,0.109,0.0428,0.36,0.816,0.408,0.819,0.73,0.0324,0.144,0.125,8.5e-05,0.0311,0.000243,0.336,0.131,0.137,0.0766,0.108,0.561,0.117,0.334
"6","^BVSP",0.0976,0.0774,0.0229,0.212,0.142,0.0602,0.111,0.271,0.342,0.103,0.0187,0.119,0.016,0.0881,0.00548,0.256,0.509,0.119,0.101,0.27,0.176,0.109,0.325,0.128,0.00428,0.0636,0.608,0.0631,0.191,0.17,0.568,0.00749,0.0385,0.0356,0.161,0.19,0.0145,0.266,0.126,0.391,0.342,0.172,0.00451,0.721,0.177,0.641,0.322,0.0167,0.105,0.311,0.0673,0.188,0.226,0.0178,0.211,0.179,0.163,0.18,0.263,0.0491,0.0604,0.111,0.128,0.00927,0.0796,0.102,0.11,0.262,0.34,0.435,0.22,0.0599,0.0699,0.175,0.292,0.121,0.244,0.288,0.294,0.109,0.0512,0.108,0.54,0.354,0.943,0.85,0.0296,0.14,0.25,0.0641,0.933,0.19,0.058,0.441,0.0424,0.139,0.0329,0.146,0.0134,0.0769
"7","^DJI",0.325,0.00245,0.0321,0.19,0.177,0.134,0.176,0.122,0.288,0.027,0.00498,0.028,0.0061,0.0192,0.000758,0.057,0.258,0.203,0.99,0.0434,0.0299,0.0664,0.126,0.0586,0.0651,0.187,0.618,0.0511,0.00378,0.00577,0.545,0.0102,0.288,0.0338,0.0287,0.00724,0.00294,0.242,0.113,0.0519,0.0179,0.0317,0.00847,0.925,0.029,0.41,0.67,0.0158,0.0353,0.147,0.032,0.0035,0.17,0.00233,0.00014,0.0283,0.111,0.018,0.0702,0.00221,0.0103,0.136,0.448,0.157,0.00343,0.509,0.0145,0.0411,0.421,0.149,0.4,0.0289,0.405,0.0209,0.0996,0.0112,0.021,0.149,0.251,0.00283,0.00342,0.203,0.14,0.273,0.464,0.561,0.000398,0.019,0.0574,0.0334,0.0275,0.00933,0.0457,0.105,0.0251,0.218,0.00417,0.00598,0.00335,0.0541
"8","^FCHI",0.0192,0.0172,0.0888,0.0045,0.0432,0.0549,0.00192,0.0523,0.829,0.012,0.00064,0.0112,0.0267,0.000933,0.0029,0.0306,0.0665,0.487,0.325,0.0341,0.879,0.0109,0.0326,0.0774,0.0506,0.0265,0.11,0.0117,0.00371,0.00105,0.776,0.000909,0.00902,0.0119,0.0294,0.00584,0.000239,0.261,0.568,0.467,0.215,0.0191,0.0044,0.865,0.0352,0.0445,0.14,0.0733,0.0992,0.185,0.016,0.00758,0.0881,0.000626,8.64e-05,0.00649,0.0129,0.00776,0.0467,0.00295,0.00198,0.343,0.961,0.251,0.00399,0.0587,0.0161,0.431,0.0422,0.104,0.0304,0.0939,0.759,0.32,0.00911,0.00321,0.00205,0.155,0.0299,0.00144,0.000362,0.0398,0.85,0.0801,0.908,0.706,0.00119,0.0106,0.0148,0.00013,0.0204,0.0181,0.00215,0.0288,0.00542,0.105,0.00104,0.202,0.00136,0.00669
"9","^FTSE",0.0327,0.0069,0.146,0.00391,0.156,0.0243,0.00161,0.0258,0.23,0.0184,0.000998,0.159,0.088,0.0107,0.01,0.0605,0.291,0.905,0.624,0.0662,0.956,0.0506,0.131,0.225,0.123,0.00585,0.135,0.0171,0.00119,0.000947,0.357,0.00467,0.0209,0.0167,0.0856,0.0027,0.000602,0.286,0.389,0.627,0.731,0.0474,0.0532,0.919,0.439,0.0862,0.219,0.0457,0.151,0.636,0.00633,0.00459,0.326,0.00098,0.00151,0.0517,0.0559,0.0116,0.0767,0.000849,0.00752,0.344,0.389,0.281,0.00192,0.0313,0.0266,0.667,0.11,0.338,0.14,0.45,0.873,0.992,0.0387,0.0291,0.0273,0.276,0.0709,0.0807,0.0208,0.171,0.5,0.124,0.673,0.516,0.00285,0.0637,0.0893,1.01e-05,0.0107,6.24e-05,0.0355,0.0424,0.0397,0.131,0.0141,0.189,0.0142,0.109
"10","^GDAXI",0.00239,0.00338,0.0359,0.0061,0.0245,0.00406,0.000547,0.00735,0.382,0.000474,1.7e-05,0.0191,0.00851,2.69e-05,0.000753,0.051,0.0421,0.912,0.683,0.00292,0.407,0.00213,0.00563,0.0257,0.0057,0.0712,0.201,0.00463,0.00116,0.00217,0.918,0.000152,0.00754,0.00521,0.00569,0.00408,7.99e-05,0.175,0.558,0.569,0.608,0.00282,0.000569,0.541,0.0172,0.0778,0.145,0.0259,0.172,0.21,0.00623,0.00219,0.179,0.000657,0.000326,0.00706,0.0148,0.00134,0.0193,3.32e-05,0.000147,0.0729,0.413,0.143,0.000165,0.0122,0.0055,0.857,0.124,0.168,0.0647,0.0179,0.745,0.82,0.00222,0.00108,0.0024,0.164,0.00456,3.99e-05,6.35e-06,0.00299,0.632,0.0722,0.909,0.619,7.17e-05,0.00819,0.023,7.96e-05,0.000679,0.00128,0.00105,0.00772,0.00142,0.0262,0.000121,0.0933,0.000341,0.00331
