"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","^AORD",0.82,0.595,0.384,0.376,0.459,0.581,0.895,0.303,0.301,0.237,0.277,0.273,0.601,0.331,0.828,0.482,0.633,0.431,0.869,0.973,0.569,0.753,0.249,0.136,0.708,0.0598,0.57,0.429,0.672,0.882,0.386,0.533,0.903,0.405,0.332,0.47,0.572,0.774,0.403,0.243,0.185,0.911,0.29,0.14,0.44,0.303,0.725,0.318,0.855,0.527,0.886,0.713,0.271,0.966,0.119,0.569,0.602,0.51,0.331,0.388,0.649,0.467,0.26,0.339,0.497,0.0973,0.164,0.85,0.16,0.455,0.586
"2","^AXJO",0.68,0.454,0.309,0.375,0.388,0.583,0.878,0.227,0.36,0.259,0.289,0.288,0.547,0.4,0.728,0.478,0.637,0.472,0.802,0.957,0.467,0.691,0.221,0.124,0.759,0.0693,0.516,0.305,0.661,0.926,0.496,0.497,0.883,0.494,0.287,0.509,0.581,0.859,0.388,0.241,0.164,0.932,0.263,0.12,0.305,0.296,0.715,0.314,0.581,0.473,0.754,0.884,0.299,0.977,0.14,0.616,0.596,0.366,0.252,0.402,0.523,0.495,0.236,0.296,0.473,0.0672,0.19,0.9,0.185,0.451,0.533
"3","^BFX",0.194,0.556,0.735,0.0544,0.149,0.809,0.123,0.973,0.689,0.358,0.916,0.915,0.969,0.668,0.863,0.891,0.449,0.727,0.712,0.0858,0.864,0.441,0.86,0.969,0.906,0.3,0.274,0.873,0.924,0.792,0.628,0.317,0.956,0.814,0.857,0.778,0.413,0.234,0.0838,0.722,0.979,0.647,0.96,0.867,0.168,0.698,0.571,0.535,0.266,0.924,0.161,0.566,0.614,0.325,0.383,0.5,0.893,0.329,0.849,0.608,0.618,0.00713,0.167,0.315,0.723,0.562,0.379,0.531,0.637,0.282,0.515
"4","^BSESN",0.0997,0.491,0.63,0.621,0.845,0.079,0.881,0.0301,0.0232,0.0291,0.109,0.896,0.433,0.932,0.442,0.698,0.112,0.0382,0.112,0.0392,0.967,0.0896,0.134,0.0108,0.608,0.282,0.877,0.848,0.896,0.531,0.375,0.269,0.258,0.263,0.133,0.14,0.677,0.0464,0.672,0.218,0.086,0.478,0.117,0.0443,0.719,0.202,0.000699,0.13,0.895,0.866,0.427,0.509,0.793,0.368,0.507,0.0246,0.854,0.974,0.00722,0.932,0.00483,0.576,0.325,0.00798,0.209,0.046,0.127,0.0629,0.11,0.173,0.0288
"5","^BUK100P",0.55,0.447,0.812,0.334,0.338,0.705,0.344,0.971,0.934,0.941,0.789,0.535,0.585,0.513,0.716,0.286,0.833,0.672,0.647,0.65,0.754,0.9,0.613,0.673,0.733,0.189,0.813,0.491,0.558,0.847,0.467,0.999,0.431,0.973,0.679,0.513,0.165,0.77,0.141,0.769,0.763,0.988,0.684,0.998,0.729,0.814,0.443,0.404,0.294,0.712,0.331,0.773,0.959,0.457,0.464,0.803,0.962,0.213,0.753,0.586,0.375,0.546,0.351,0.293,0.793,0.311,0.0809,0.631,0.807,0.492,0.972
"6","^BVSP",0.452,0.553,0.799,0.557,0.729,0.13,0.261,0.427,0.221,0.148,0.867,0.538,0.413,0.662,0.907,0.489,0.298,0.663,0.224,0.714,0.984,0.156,0.487,0.211,0.277,0.0431,0.202,0.912,0.619,0.762,0.0535,0.903,0.532,0.0873,0.515,0.436,0.529,0.0598,0.55,0.543,0.448,0.276,0.282,0.427,0.939,0.0716,0.388,0.116,0.724,0.0586,0.0714,0.462,0.198,0.919,0.911,0.398,0.833,0.773,0.273,0.0945,0.682,0.61,0.209,0.912,0.527,0.844,0.844,0.876,0.35,0.932,0.37
"7","^DJI",0.261,0.881,0.209,0.0342,0.127,0.657,0.22,0.619,0.593,0.342,0.404,0.748,0.392,0.46,0.493,0.875,0.688,0.824,0.293,0.373,0.66,0.347,0.385,0.612,0.398,0.963,0.337,0.558,0.711,0.984,0.176,0.236,0.797,0.651,0.186,0.689,0.524,0.224,0.0795,0.332,0.809,0.841,0.754,0.916,0.902,0.635,0.964,0.987,0.968,0.924,0.959,0.709,0.584,0.79,0.71,0.386,0.797,0.107,0.6,0.676,0.879,0.119,0.59,0.13,0.263,0.304,0.417,0.343,0.366,0.105,0.84
"8","^FCHI",0.176,0.801,0.561,0.0574,0.157,0.626,0.0418,0.894,0.918,0.87,0.67,0.76,0.77,0.816,0.831,0.807,0.32,0.912,0.797,0.2,0.956,0.349,0.352,0.567,0.504,0.786,0.122,0.915,0.931,0.991,0.449,0.655,0.741,0.616,0.922,0.366,0.163,0.224,0.0649,0.641,0.949,0.725,0.755,0.954,0.469,0.339,0.279,0.446,0.815,0.947,0.302,0.915,0.981,0.584,0.785,0.383,0.671,0.225,0.884,0.48,0.407,0.0388,0.396,0.174,0.65,0.195,0.353,0.325,0.314,0.534,0.998
"9","^FTSE",0.406,0.62,0.562,0.403,0.473,0.72,0.637,0.963,0.938,0.719,0.851,0.86,0.753,0.664,0.976,0.573,0.958,0.572,0.767,0.668,0.653,0.668,0.636,0.73,0.823,0.31,0.756,0.944,0.454,0.519,0.318,0.527,0.834,0.844,1,0.576,0.726,0.663,0.143,0.794,0.844,0.911,0.913,0.936,0.809,0.848,0.229,0.568,0.679,0.496,0.431,0.575,0.87,0.365,0.456,0.587,0.783,0.277,0.874,0.807,0.649,0.381,0.395,0.314,0.925,0.184,0.0919,0.711,0.592,0.538,0.99
"10","^GDAXI",0.284,0.767,0.743,0.13,0.277,0.556,0.0454,0.815,0.575,0.779,0.952,0.822,0.83,0.972,0.642,0.564,0.518,0.939,0.769,0.0843,0.844,0.486,0.498,0.664,0.726,0.331,0.117,0.479,0.909,0.985,0.68,0.652,0.643,0.827,0.923,0.51,0.182,0.48,0.105,0.989,0.771,0.787,0.98,0.779,0.584,0.66,0.332,0.725,0.685,0.466,0.32,0.834,0.938,0.759,0.954,0.499,0.771,0.188,0.927,0.792,0.193,0.221,0.487,0.24,0.784,0.601,0.708,0.423,0.64,0.51,0.51
