"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.008,0.34,0.32,-0.014,0.24,-0.024,0.31,-0.0018,0.39,0.32,0.36,0.3,0.16,0.37,0.19,0.31,-0.02,-0.033,0.29,0.0012,0.33,0.02,0.41,0.02,0.18,0.0025,0.21,0.34,0.21,0.22,0.09,0.075,0.35,0.31,0.29,0.39,0.04,0.23,0.24,0.22,0.0046,0.075,0.3,0.3,0.27,-0.035,0.096,0.35,0.23,0.34,0.12,0.35,0.35,0.36,0.33,0.3,0.29,0.29,0.27,0.35,0.24,0.36,0.19,0.4,-0.002,0.35,0.25,0.1,0.089,0.26,0.0011,0.17,0.3,0.24,-0.27,0.0047,-0.18,-0.26,0.3,0.24,0.19,0.077,0.24,0.24,0.39,0.23,0.41,0.0048,0.28,0.26,0.24,0.34
"2","ACN",-0.015,0.32,0.32,-0.073,0.18,-0.034,0.3,-0.0049,0.39,0.31,0.35,0.24,0.16,0.36,0.2,0.29,0.03,-0.04,0.31,0.036,0.27,0.021,0.39,0.035,0.098,0.04,0.17,0.29,0.22,0.23,0.021,0.043,0.39,0.3,0.29,0.35,0.014,0.25,0.24,0.16,0.068,-0.035,0.31,0.25,0.27,0.039,0.072,0.25,0.21,0.36,0.16,0.35,0.32,0.35,0.29,0.26,0.29,0.23,0.26,0.33,0.19,0.31,0.19,0.37,0.012,0.32,0.19,0.068,0.038,0.23,-0.0027,0.18,0.27,0.27,-0.2,-0.052,-0.12,-0.18,0.27,0.22,0.18,0.017,0.27,0.28,0.34,0.27,0.37,0.0021,0.25,0.24,0.19,0.31
"3","ADBE",0.026,0.38,0.33,-0.018,0.22,0.019,0.32,-0.039,0.38,0.33,0.39,0.28,0.18,0.41,0.25,0.35,-0.038,-0.049,0.38,0.0013,0.36,0.01,0.42,0.0029,0.17,0.13,0.2,0.39,0.27,0.25,0.086,0.039,0.38,0.34,0.34,0.43,0.025,0.3,0.27,0.21,0.032,0.064,0.31,0.34,0.3,0.017,0.091,0.36,0.25,0.39,0.18,0.36,0.41,0.41,0.35,0.33,0.31,0.31,0.31,0.36,0.23,0.37,0.3,0.46,0.02,0.39,0.31,0.054,0.078,0.29,-0.043,0.27,0.37,0.32,-0.33,0.033,-0.24,-0.31,0.32,0.27,0.24,0.062,0.3,0.29,0.4,0.27,0.43,0.0018,0.24,0.33,0.23,0.32
"4","AMAT",-0.035,0.34,0.35,-0.043,0.24,-0.039,0.33,0.067,0.4,0.35,0.38,0.22,0.21,0.43,0.27,0.33,0.063,-0.054,0.34,0.012,0.39,0.039,0.47,0.069,0.19,0.059,0.17,0.35,0.26,0.26,0.042,0.013,0.4,0.36,0.34,0.42,-0.0056,0.31,0.3,0.23,0.036,0.046,0.36,0.31,0.32,0.026,0.074,0.37,0.25,0.38,0.24,0.36,0.38,0.43,0.35,0.35,0.36,0.23,0.32,0.36,0.2,0.36,0.22,0.44,0.03,0.35,0.28,0.092,0.042,0.23,0.037,0.2,0.33,0.31,-0.26,-0.034,-0.22,-0.27,0.31,0.26,0.22,0.0027,0.27,0.32,0.37,0.33,0.47,-0.0081,0.25,0.31,0.21,0.31
"5","AMD",0.029,0.28,0.28,0.024,0.2,-0.025,0.3,-0.0044,0.32,0.29,0.32,0.2,0.13,0.32,0.18,0.28,-0.016,-0.023,0.23,0.029,0.33,0.022,0.37,-0.003,0.078,0.018,0.17,0.29,0.17,0.2,0.081,0.052,0.32,0.29,0.25,0.36,-0.014,0.24,0.21,0.18,0.016,0.052,0.3,0.24,0.26,0.012,0.092,0.3,0.16,0.31,0.14,0.35,0.31,0.32,0.37,0.27,0.24,0.23,0.23,0.3,0.13,0.32,0.24,0.35,-0.015,0.28,0.21,0.027,0.012,0.25,0.0059,0.17,0.26,0.25,-0.26,0.015,-0.21,-0.25,0.29,0.23,0.19,0.089,0.27,0.23,0.32,0.24,0.38,0.15,0.24,0.3,0.19,0.23
"6","AMZN",0.054,0.29,0.28,-0.0046,0.14,0.042,0.26,-0.055,0.31,0.24,0.34,0.24,0.13,0.33,0.16,0.27,-0.063,-0.048,0.22,-0.014,0.28,-0.033,0.36,-0.035,0.15,0.015,0.17,0.27,0.19,0.19,0.12,0.051,0.3,0.24,0.21,0.32,0.1,0.3,0.23,0.14,0.026,0.047,0.26,0.27,0.22,0.016,0.13,0.28,0.14,0.28,0.13,0.27,0.3,0.32,0.3,0.31,0.22,0.25,0.27,0.28,0.19,0.26,0.24,0.35,-0.031,0.32,0.26,0.0045,0.081,0.22,-0.063,0.13,0.27,0.21,-0.25,0.061,-0.23,-0.23,0.26,0.22,0.13,0.067,0.24,0.2,0.31,0.18,0.32,-0.047,0.24,0.24,0.21,0.21
"7","ASML",-0.0088,0.35,0.32,-0.048,0.2,4e-04,0.32,0.032,0.38,0.34,0.36,0.25,0.19,0.41,0.24,0.3,0.031,-0.067,0.31,0.044,0.34,-0.00054,0.43,0.056,0.079,0.094,0.11,0.34,0.23,0.25,0.059,0.031,0.39,0.32,0.28,0.4,-0.11,0.29,0.35,0.2,0.11,0.06,0.36,0.3,0.29,-0.0043,0.092,0.36,0.23,0.36,0.24,0.35,0.36,0.39,0.33,0.31,0.33,0.23,0.3,0.35,0.16,0.35,0.17,0.39,0.015,0.33,0.26,0.062,0.061,0.23,0.023,0.2,0.32,0.29,-0.15,0.0099,-0.1,-0.13,0.3,0.23,0.22,0.021,0.32,0.27,0.35,0.26,0.42,-0.046,0.23,0.3,0.23,0.28
"8","AVGO",-0.013,0.39,0.36,-0.024,0.24,-0.045,0.36,0.027,0.44,0.4,0.45,0.25,0.25,0.45,0.28,0.34,0.023,-0.074,0.36,0.016,0.42,0.029,0.43,0.05,0.17,0.034,0.15,0.39,0.28,0.27,0.042,0.014,0.48,0.38,0.32,0.45,-0.066,0.34,0.35,0.23,0.082,0.05,0.36,0.3,0.38,0.021,0.12,0.38,0.24,0.41,0.23,0.39,0.41,0.47,0.4,0.36,0.38,0.3,0.36,0.4,0.22,0.41,0.26,0.43,0.055,0.37,0.28,0.079,0.076,0.29,0.041,0.22,0.35,0.32,-0.11,-0.019,-0.065,-0.12,0.35,0.25,0.18,0.061,0.32,0.33,0.41,0.33,0.46,0.018,0.26,0.33,0.26,0.33
"9","BABA",0.044,0.19,0.13,0.095,0.11,-0.021,0.14,-0.08,0.16,0.17,0.22,0.11,0.088,0.19,0.065,0.19,-0.095,0.037,0.087,-0.02,0.23,-0.041,0.23,-0.085,0.11,-0.046,0.087,0.16,0.089,0.21,0.027,-0.13,0.23,0.13,0.14,0.22,0.044,0.21,0.11,0.13,-0.034,-0.071,0.17,0.19,0.082,0.0058,0.0098,0.19,0.086,0.15,0.017,0.2,0.28,0.21,0.27,0.16,0.13,0.091,0.14,0.12,0.13,0.15,0.14,0.22,-0.032,0.22,0.18,0.031,-0.037,0.11,-0.079,0.1,0.14,0.089,-0.15,0.021,-0.13,-0.15,0.18,0.12,0.087,-0.077,0.12,0.15,0.2,0.077,0.19,-0.038,0.15,0.11,0.11,0.15
"10","CRM",0.04,0.31,0.26,0.018,0.17,0.027,0.22,-0.052,0.32,0.27,0.34,0.22,0.16,0.34,0.18,0.28,-0.059,-0.073,0.22,0.016,0.25,0.038,0.33,0.0065,0.11,-0.029,0.2,0.28,0.18,0.21,0.11,-0.06,0.31,0.26,0.24,0.33,-0.012,0.23,0.29,0.1,0.058,0.17,0.24,0.26,0.24,0.0025,0.047,0.31,0.14,0.3,0.13,0.27,0.33,0.3,0.25,0.27,0.28,0.23,0.24,0.31,0.14,0.33,0.24,0.33,0.13,0.35,0.23,0.033,0.17,0.18,-0.059,0.094,0.25,0.25,-0.17,0.044,-0.13,-0.16,0.23,0.23,0.1,0.0063,0.2,0.22,0.33,0.23,0.3,0.05,0.24,0.21,0.14,0.25
