"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.076,0.09,0.1,0.08,0.083,0.019,0.09,0.11,-0.0069,0.13,0.15,0.14,0.077,0.13,0.14,0.14,0.0035,0.038,0.013,0.12,0.23,0.09,0.1,0.11,0.12,0.017,0.076,0.099,0.09,0.14,-0.11,0.15,0.089,0.17,0.12,0.13,0.14,0.11,-0.031,0.05,0.062,0.091,0.2,0.016,0.04,-0.018,-0.043,0.12,0.05,0.098,0.06,0.075,0.12,0.1,0.084,0.13,0.11,0.15,0.11,0.093,0.15,0.1,-0.04,0.11,0.16,0.055,0.12,0.042,-0.014,0.091,0.011,0.047,-0.041,0.057,0.041,0.2,0.12,0.12,0.074,0.13,0.094,0.12,-0.11,0.065,-0.14,-0.059,0.16,0.14,0.022,0.15,0.095,0.0038,0.12,0.15,0.11,0.065,0.16,0.097,0.13,0.16
"2","ACN",0.065,0.18,0.15,0.061,0.098,0.15,0.17,0.13,0.061,0.13,0.18,0.17,0.16,0.15,0.24,0.15,0.04,0.12,-0.048,0.096,0.13,0.15,0.11,0.12,0.15,0.099,0.072,0.19,0.17,0.18,-0.079,0.19,0.13,0.11,0.12,0.17,0.2,0.1,-0.019,0.11,0.13,0.12,0.26,0.057,0.12,0.013,-0.017,0.21,0.15,0.14,0.19,0.19,0.11,0.19,0.21,0.17,0.065,0.2,0.079,0.16,0.19,0.14,-0.011,0.051,0.19,0.092,0.13,0.11,0.028,0.057,0.037,0.15,-0.044,0.11,0.09,0.2,0.18,0.12,0.083,0.21,0.22,0.11,-0.074,0.099,-0.026,-5e-04,0.26,0.2,0.056,0.19,0.15,0.13,0.16,0.077,0.17,0.084,0.2,0.17,0.26,0.17
"3","ADBE",0.072,0.13,0.18,0.064,0.11,0.12,0.12,0.14,-0.0065,0.14,0.19,0.14,0.13,0.2,0.19,0.17,0.0042,0.11,0.016,0.11,0.16,0.16,0.098,0.12,0.15,0.0077,0.038,0.19,0.13,0.19,-0.0079,0.18,0.088,0.13,0.15,0.15,0.17,0.14,-0.053,0.067,0.093,0.099,0.23,0.075,0.12,-0.04,-0.069,0.16,0.099,0.21,0.12,0.13,0.14,0.16,0.11,0.14,0.12,0.18,0.099,0.13,0.2,0.13,-0.078,0.052,0.2,0.02,0.11,0.075,-0.042,0.09,-0.017,0.19,-0.07,0.084,0.029,0.18,0.13,0.13,0.094,0.18,0.17,0.21,-0.098,0.12,-0.081,-0.0056,0.19,0.18,0.059,0.15,0.11,0.032,0.13,0.14,0.13,0.089,0.22,0.18,0.23,0.17
"4","AMAT",0.2,0.25,0.16,0.12,0.2,0.14,0.22,0.2,0.04,0.2,0.21,0.24,0.18,0.19,0.29,0.15,0.21,0.015,-0.033,0.1,0.12,0.13,0.22,0.25,0.15,0.22,-0.014,0.24,0.19,0.26,-0.021,0.29,0.2,0.18,0.23,0.2,0.24,0.044,0.0038,-0.0025,0.012,0.18,0.18,-0.051,0.21,0.11,0.11,0.21,0.14,0.12,0.17,0.2,0.17,0.19,0.24,0.17,0.2,0.22,0.2,0.21,0.29,0.15,-0.0015,0.18,0.22,0.13,0.21,0.012,0.18,0.14,0.11,0.17,0.063,-0.0055,0.22,0.21,0.22,0.12,0.18,0.16,0.12,0.23,-0.087,0.17,-0.046,-0.036,0.21,0.15,0.09,0.088,0.2,0.19,0.17,0.15,0.25,0.17,0.26,0.18,0.23,0.12
"5","AMD",0.062,0.13,0.11,0.059,0.11,0.07,0.12,0.13,-0.059,0.1,0.12,0.13,0.077,0.085,0.17,0.16,0.00022,0.071,-0.0054,0.12,0.12,0.073,0.15,0.11,0.16,0.084,0.048,0.18,0.1,0.22,-0.02,0.14,0.086,0.13,0.14,0.15,0.13,0.13,-0.018,0.066,0.079,0.062,0.079,-0.028,0.17,-0.054,-0.087,0.14,0.035,0.063,0.034,0.11,0.075,0.12,0.15,0.078,0.13,0.15,0.077,0.12,0.24,0.11,-0.068,0.052,0.16,0.072,0.17,0.054,0.052,0.08,-0.049,0.13,-0.035,0.08,0.042,0.13,0.13,0.086,0.0075,0.12,0.071,0.19,-0.0071,0.085,-0.075,-0.0026,0.15,0.14,0.11,0.15,0.12,0.097,0.17,0.16,0.16,0.047,0.18,0.14,0.17,0.076
"6","AMZN",0.11,0.14,0.14,0.17,0.11,0.071,0.11,0.11,-0.085,0.095,0.14,0.11,0.13,0.14,0.11,0.11,0.023,-0.005,0.064,0.11,0.19,0.14,0.12,0.1,0.095,0.039,0.036,0.12,0.02,0.15,0.0042,0.18,0.082,0.15,0.13,0.13,0.13,0.063,-0.1,-0.028,-0.0074,0.087,0.18,-0.034,0.063,0.022,-0.016,0.13,0.11,0.13,0.15,0.057,0.17,0.12,0.12,0.1,0.16,0.14,0.088,0.063,0.11,0.12,-0.096,0.087,0.13,0.046,0.11,-0.013,0.0019,0.04,0.035,0.11,0.017,0.056,0.084,0.12,0.12,0.12,0.1,0.14,0.15,0.1,-0.11,0.11,-0.062,-0.036,0.17,0.14,0.064,0.12,0.058,0.04,0.16,0.09,0.13,0.091,0.15,0.18,0.15,0.15
"7","ASML",0.21,0.22,0.15,0.16,0.18,0.13,0.21,0.2,-0.016,0.15,0.21,0.2,0.18,0.2,0.21,0.13,0.14,-0.042,0.0096,0.12,0.14,0.17,0.21,0.2,0.16,0.18,-0.0089,0.21,0.14,0.24,0.03,0.28,0.19,0.16,0.21,0.18,0.22,0.052,-0.082,-0.03,-0.025,0.17,0.2,0.022,0.18,0.081,0.047,0.17,0.11,0.085,0.19,0.18,0.21,0.17,0.18,0.16,0.21,0.22,0.21,0.14,0.24,0.12,-0.049,0.14,0.19,0.12,0.17,-0.041,0.13,0.15,0.081,0.17,0.015,-0.02,0.19,0.21,0.18,0.09,0.19,0.13,0.095,0.24,-0.04,0.19,-0.024,-0.031,0.22,0.16,0.09,0.082,0.15,0.12,0.14,0.13,0.2,0.15,0.26,0.16,0.22,0.12
"8","AVGO",0.14,0.24,0.2,0.097,0.15,0.12,0.23,0.18,-0.0014,0.2,0.23,0.22,0.18,0.2,0.27,0.19,0.11,0.047,0.00043,0.14,0.12,0.15,0.17,0.22,0.17,0.11,0.047,0.25,0.17,0.29,0.036,0.27,0.15,0.17,0.26,0.2,0.21,0.11,0.0043,0.07,0.079,0.17,0.22,0.016,0.23,0.054,0.025,0.21,0.16,0.17,0.18,0.2,0.18,0.21,0.23,0.17,0.17,0.22,0.12,0.26,0.3,0.15,-0.084,0.18,0.24,0.075,0.19,0.058,0.088,0.24,0.043,0.29,-0.0049,0.077,0.16,0.2,0.17,0.16,0.14,0.18,0.12,0.25,-0.18,0.16,-0.14,-0.08,0.25,0.17,0.059,0.14,0.22,0.18,0.2,0.23,0.23,0.15,0.28,0.23,0.26,0.12
"9","BABA",0.061,0.036,0.066,-0.025,0.047,0.049,0.098,0.15,-0.13,0.048,0.085,0.14,0.13,0.14,0.078,0.065,0.026,0.048,-0.037,0.05,0.14,0.083,0.044,0.0078,-0.0027,0.092,0.065,0.11,0.11,0.062,-0.045,0.14,0.13,-0.0028,0.093,0.081,0.13,0.008,-0.16,0.15,0.065,0.016,0.16,0.011,0.093,-0.0062,0.019,0.045,0.12,-0.041,0.081,0.057,0.19,0.086,0.037,0.0047,0.041,0.086,0.079,-0.04,0.092,0.081,0.033,0.066,0.12,0.094,0.065,0.021,0.018,0.031,0.0012,0.036,-0.02,-0.016,0.0087,0.096,0.12,0.0092,0.057,0.045,0.078,0.076,-0.067,0.096,-0.11,-0.045,0.099,0.12,0.031,-0.049,0.071,-0.018,0.072,0.059,0.023,0.025,0.099,0.043,0.13,0.11
"10","CRM",0.0097,0.08,0.11,0.039,0.041,0.08,0.08,0.072,0.045,0.1,0.11,0.084,0.12,0.093,0.18,0.095,-0.03,0.085,0.0096,0.14,0.11,0.042,0.058,0.072,0.092,0.021,0.035,0.13,0.18,0.1,0.011,0.16,0.035,0.059,0.12,0.12,0.16,0.053,0.024,0.041,0.061,-0.0084,0.15,-0.032,0.12,-0.062,-0.063,0.091,0.069,0.12,0.052,0.057,0.13,0.097,0.061,0.086,0.066,0.11,0.037,0.062,0.11,0.085,-0.0058,0.0033,0.12,-0.016,0.097,0.082,-0.04,0.046,-0.035,0.12,-0.018,0.08,-0.0068,0.09,0.085,0.026,0.034,0.072,0.036,0.11,-0.064,0.05,-0.025,0.078,0.12,0.081,0.11,0.13,0.058,0.051,0.084,0.073,0.14,0.011,0.16,0.13,0.12,0.13
