"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.085,0.076,0.025,0.045,0.057,0.055,0.03,0.038,0.056,-0.03,0.034,0.019,-0.021,0.017,0.032,-0.053,0.0041,0.053,-0.037,0.051,0.038,0.05,0.086,0.029,-0.022,0.024,-0.038,0.056,0.047,-0.064,-0.053,0.039,0.0039,-0.085,-0.048,0.047,0.074,0.075,-0.1,0.057,-0.032,0.025,0.017,0.021,0.05,0.022,-0.061,0.017,0.053,0.0029,0.0088,-0.043,0.0069,0.023,-0.0035,0.028,-0.02,-0.056,-0.031,0.015,-0.008,0.043,0.036,0.11,0.071,0.1,0.054,0.067,0.058,0.11,0.015
"2","ACN",0.08,0.051,0.00049,0.081,0.12,0.018,0.085,0.055,0.011,-0.027,0.032,0.07,0.011,0.048,-0.018,-0.034,0.055,0.021,-0.026,0.024,0.024,0.043,0.073,0.054,-0.086,0.08,0.089,-0.0057,-0.027,0.026,-0.068,0.069,-0.039,0.033,0.045,0.041,0.071,0.14,-0.069,0.046,0.028,0.024,0.092,0.04,0.04,0.034,-0.048,0.057,0.053,0.049,0.021,0.064,0.072,0.026,0.015,0.073,0.0039,-0.034,0.06,0.058,-0.025,0.11,0.062,0.077,0.067,0.067,0.12,0.082,0.067,0.11,0.00044
"3","ADBE",0.081,0.064,-0.058,0.024,0.047,0.007,0.073,0.029,0.0045,-0.037,0.031,0.074,-0.068,-0.033,-0.084,-0.046,0.037,-0.023,0.063,0.025,-0.017,0.075,0.063,0.055,0.012,0.059,0.0018,0.034,0.012,-0.052,-0.059,0.053,-0.0096,0.0069,0.028,0.054,0.059,0.092,-0.043,0.075,0.0011,0.077,0.01,0.02,0.12,-0.012,0.028,0.0084,0.04,-0.011,0.038,0.088,0.034,0.069,0.018,0.075,-0.0054,-0.011,-0.033,0.0013,-0.00079,0.11,0.078,0.071,0.044,0.059,0.082,0.11,0.12,0.067,0.023
"4","AMAT",0.096,0.053,0.031,0.067,0.05,-0.0023,0.019,0.04,0.11,-0.05,0.01,-0.035,-0.023,0.0018,0.073,-0.014,-0.0023,0.076,0.0068,0.064,0.044,-0.008,0.05,0.0074,-0.034,0.079,0.048,-0.0022,-0.043,0.029,0.0078,0.024,0.014,-0.046,0.0037,0.031,0.057,0.084,-0.031,0.089,0.0055,0.0096,-0.012,0.042,0.07,-0.024,-0.04,0.014,0.035,0.021,0.041,0.09,0.044,0.011,0.024,0.0084,-0.022,-0.01,-0.032,0.05,-0.016,0.041,0.09,0.083,0.039,0.046,0.034,0.063,0.067,0.072,-0.024
"5","AMD",0.11,0.047,-0.035,-0.0085,0.04,0.073,0.049,0.06,0.057,-0.0039,0.011,-0.1,-0.00023,0.018,0.071,-0.019,0.01,-0.041,0.013,0.12,0.028,0.045,0.073,0.053,0.062,0.051,0.03,0.033,0.038,0.012,0.021,0.065,0.051,-0.056,0.0066,0.053,0.059,0.036,-0.063,0.096,-0.027,-0.0044,0.012,0.021,0.039,0.019,0.027,0.00079,0.056,-0.015,0.052,0.15,-0.021,0.0036,-0.035,0.019,-0.015,0.0073,-0.089,0.056,-0.063,0.038,0.031,0.063,0.026,0.12,0.18,0.088,0.08,0.068,-0.027
"6","AMZN",0.084,0.056,0.0023,0.087,0.021,0.044,0.046,0.046,0.00057,0.0012,0.069,0.05,0.044,-0.0023,0.018,-0.05,0.033,0.024,-0.031,0.046,-0.021,0.059,0.075,0.066,0.018,0.067,-0.042,-0.014,0.0051,-0.025,-0.059,0.062,-0.094,0.0015,-0.069,0.014,-0.013,0.1,-0.11,0.073,-0.018,0.047,0.012,0.024,0.041,-0.00042,-0.017,0.016,0.03,-0.019,0.038,-0.018,-0.024,0.062,-0.0069,0.063,-0.035,-0.042,-0.036,-0.041,-0.017,0.1,0.055,0.12,0.067,0.11,0.093,0.1,0.078,0.063,0.021
"7","ASML",0.15,0.053,0.0043,0.11,0.14,0.069,0.087,0.11,0.092,0.014,0.034,0.05,0.034,-0.068,0.083,-0.036,0.072,0.088,0.031,0.11,0.089,0.09,0.11,0.098,-0.057,0.1,0.036,-0.0033,0.028,0.031,-0.027,0.066,0.011,0.028,0.044,0.13,0.063,0.083,-0.055,0.15,-0.019,0.15,0.083,0.077,0.067,0.096,-0.014,0.066,-0.01,0.042,0.088,0.08,-0.013,0.046,0.08,0.11,0.0013,-0.013,0.022,0.0059,0.032,0.062,0.15,0.14,0.089,0.16,0.081,0.15,0.072,0.11,0.028
"8","AVGO",0.078,0.027,-0.0054,0.068,0.09,0.024,0.023,0.017,0.07,-0.056,0.00086,-0.034,-0.006,-7e-04,0.087,0.015,0.0048,-0.037,0.021,0.056,0.041,0.045,0.018,0.009,-0.046,0.048,0.021,0.017,0.021,-0.037,-0.026,0.02,0.012,-0.056,0.011,0.039,-0.027,0.0075,-0.1,0.041,-0.033,0.086,-0.001,-0.012,0.049,0.01,0.0091,-0.013,0.025,0.0057,-0.044,0.066,-0.038,-0.034,-0.04,0.021,-0.0085,0.0085,0.03,0.059,0.0024,0.02,0.0043,0.073,0.047,0.095,0.025,0.051,0.1,0.082,-0.0051
"9","BABA",0.12,0.084,-0.03,0.14,0.11,0.025,0.074,0.053,0.096,-0.0097,0.061,0.0041,-0.0035,-0.024,-0.042,-0.067,0.043,0.056,0.004,0.054,0.055,0.072,0.1,0.044,0.034,0.086,0.0099,0.0097,0.037,-0.015,-0.031,0.11,-0.021,-0.034,-0.024,0.048,0.017,0.11,-0.11,0.087,0.002,0.13,0.022,0.041,0.062,0.031,-0.026,0.054,0.072,0.0069,-0.0046,-0.00042,-0.024,0.024,0.093,0.081,-0.065,-0.011,-0.019,0.054,0.0085,0.053,0.077,0.12,0.093,0.17,0.066,0.09,0.076,0.076,0.08
"10","CRM",0.038,0.072,-0.078,0.055,0.057,0.036,0.029,-0.019,-0.051,-0.045,0.035,0.026,-0.097,-0.045,0.014,0.018,0.013,-0.02,-0.038,0.0097,-0.024,0.039,0.028,0.0024,-0.02,-0.1,-0.013,0.0062,-0.022,-0.036,-0.045,0.0022,-0.034,0.05,-0.045,-0.0049,0.047,-0.013,-0.11,0.037,-0.0058,0.03,-0.0062,-0.047,0.048,-0.017,0.074,-0.029,0.031,-0.045,0.034,0.006,0.027,0.019,-0.025,0.039,0.045,-0.0098,-0.024,-0.044,-0.058,0.051,0.053,0.031,-0.024,0.044,0.025,0.057,0.035,0.035,-0.0022
