"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.178,0.23,0.689,0.474,0.367,0.382,0.635,0.552,0.377,0.634,0.589,0.763,0.736,0.788,0.609,0.401,0.948,0.402,0.558,0.417,0.551,0.427,0.176,0.647,0.722,0.708,0.543,0.376,0.459,0.315,0.404,0.533,0.951,0.179,0.452,0.461,0.244,0.236,0.0978,0.368,0.611,0.688,0.786,0.743,0.428,0.73,0.333,0.786,0.404,0.963,0.889,0.499,0.914,0.717,0.956,0.664,0.754,0.372,0.625,0.813,0.9,0.494,0.566,0.0721,0.263,0.0982,0.396,0.288,0.363,0.0858,0.815
"2","ACN",0.204,0.419,0.994,0.202,0.0583,0.776,0.176,0.386,0.861,0.664,0.611,0.269,0.861,0.451,0.781,0.592,0.387,0.738,0.678,0.701,0.703,0.494,0.249,0.393,0.173,0.205,0.158,0.928,0.665,0.682,0.282,0.278,0.535,0.602,0.477,0.514,0.262,0.0238,0.272,0.463,0.657,0.706,0.146,0.522,0.525,0.592,0.451,0.368,0.4,0.441,0.746,0.311,0.257,0.686,0.813,0.249,0.951,0.592,0.339,0.359,0.699,0.073,0.328,0.224,0.288,0.287,0.0662,0.196,0.291,0.0875,0.994
"3","ADBE",0.201,0.308,0.361,0.704,0.456,0.912,0.251,0.645,0.944,0.556,0.621,0.241,0.285,0.601,0.182,0.466,0.562,0.722,0.318,0.689,0.787,0.234,0.322,0.383,0.845,0.353,0.977,0.589,0.852,0.411,0.349,0.4,0.88,0.914,0.659,0.391,0.349,0.146,0.498,0.238,0.986,0.223,0.871,0.756,0.053,0.856,0.653,0.895,0.528,0.858,0.552,0.163,0.595,0.279,0.773,0.233,0.932,0.864,0.604,0.984,0.99,0.0954,0.217,0.26,0.487,0.348,0.193,0.0859,0.0682,0.29,0.713
"4","AMAT",0.13,0.403,0.621,0.287,0.43,0.971,0.764,0.532,0.0798,0.426,0.871,0.585,0.715,0.977,0.249,0.821,0.971,0.227,0.915,0.314,0.49,0.899,0.428,0.907,0.595,0.213,0.449,0.972,0.5,0.643,0.901,0.699,0.822,0.463,0.953,0.627,0.365,0.182,0.628,0.158,0.931,0.879,0.849,0.512,0.266,0.703,0.527,0.827,0.579,0.735,0.518,0.157,0.489,0.857,0.71,0.895,0.732,0.874,0.618,0.431,0.795,0.517,0.155,0.187,0.543,0.466,0.587,0.317,0.291,0.253,0.7
"5","AMD",0.0958,0.462,0.581,0.893,0.532,0.246,0.438,0.346,0.367,0.952,0.86,0.11,0.997,0.778,0.262,0.768,0.874,0.515,0.843,0.067,0.66,0.481,0.25,0.4,0.325,0.422,0.638,0.597,0.553,0.851,0.743,0.307,0.421,0.375,0.917,0.399,0.355,0.565,0.32,0.127,0.675,0.944,0.847,0.739,0.537,0.763,0.666,0.99,0.376,0.814,0.414,0.0148,0.737,0.955,0.585,0.765,0.813,0.908,0.159,0.38,0.316,0.551,0.63,0.321,0.683,0.0494,0.00374,0.164,0.204,0.279,0.674
"6","AMZN",0.186,0.378,0.971,0.167,0.736,0.483,0.467,0.471,0.993,0.985,0.278,0.43,0.488,0.971,0.777,0.429,0.6,0.705,0.622,0.467,0.736,0.354,0.235,0.297,0.772,0.288,0.506,0.82,0.936,0.687,0.347,0.327,0.136,0.981,0.276,0.829,0.842,0.11,0.084,0.25,0.778,0.462,0.851,0.709,0.517,0.995,0.785,0.803,0.636,0.764,0.553,0.781,0.7,0.327,0.913,0.321,0.575,0.507,0.573,0.519,0.789,0.101,0.381,0.0641,0.289,0.095,0.143,0.111,0.215,0.323,0.737
"7","ASML",0.0211,0.406,0.946,0.0781,0.0228,0.276,0.171,0.0757,0.146,0.828,0.586,0.425,0.593,0.279,0.188,0.572,0.252,0.164,0.619,0.072,0.158,0.153,0.0704,0.12,0.364,0.11,0.575,0.959,0.662,0.626,0.666,0.294,0.856,0.654,0.483,0.0443,0.322,0.192,0.387,0.0202,0.765,0.0198,0.188,0.224,0.289,0.129,0.823,0.297,0.87,0.51,0.163,0.205,0.836,0.472,0.206,0.0746,0.983,0.833,0.73,0.926,0.611,0.326,0.0178,0.0215,0.159,0.0121,0.199,0.0158,0.256,0.0728,0.661
"8","AVGO",0.217,0.67,0.932,0.285,0.154,0.7,0.719,0.786,0.268,0.38,0.989,0.595,0.924,0.991,0.17,0.812,0.94,0.556,0.74,0.379,0.513,0.48,0.777,0.887,0.469,0.444,0.737,0.784,0.735,0.563,0.68,0.749,0.852,0.38,0.86,0.535,0.672,0.906,0.104,0.513,0.607,0.176,0.987,0.846,0.44,0.873,0.886,0.838,0.69,0.928,0.483,0.299,0.544,0.588,0.528,0.743,0.893,0.894,0.635,0.355,0.969,0.752,0.946,0.25,0.457,0.131,0.693,0.418,0.108,0.194,0.936
"9","BABA",0.0512,0.182,0.636,0.0228,0.0823,0.692,0.243,0.401,0.127,0.878,0.334,0.948,0.956,0.705,0.506,0.29,0.493,0.376,0.95,0.396,0.386,0.258,0.105,0.484,0.596,0.171,0.876,0.878,0.558,0.816,0.628,0.0889,0.746,0.596,0.707,0.447,0.792,0.0778,0.0847,0.166,0.974,0.0393,0.724,0.519,0.326,0.627,0.676,0.394,0.252,0.913,0.942,0.995,0.706,0.704,0.143,0.198,0.304,0.863,0.76,0.393,0.893,0.405,0.222,0.0553,0.143,0.0081,0.3,0.154,0.228,0.227,0.203
"10","CRM",0.547,0.256,0.216,0.382,0.37,0.565,0.642,0.76,0.42,0.476,0.577,0.676,0.126,0.479,0.824,0.771,0.833,0.755,0.55,0.879,0.705,0.541,0.653,0.97,0.755,0.107,0.842,0.922,0.725,0.566,0.478,0.972,0.589,0.43,0.473,0.938,0.456,0.842,0.0855,0.554,0.927,0.641,0.922,0.46,0.452,0.789,0.244,0.652,0.621,0.478,0.595,0.924,0.667,0.759,0.697,0.533,0.482,0.877,0.703,0.491,0.356,0.424,0.406,0.621,0.702,0.486,0.689,0.371,0.583,0.583,0.972
