"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.274,0.195,0.132,0.248,0.233,0.787,0.195,0.106,0.921,0.057,0.0347,0.038,0.269,0.0524,0.0404,0.0464,0.959,0.583,0.856,0.0796,0.000951,0.195,0.133,0.117,0.0795,0.805,0.277,0.154,0.194,0.0442,0.103,0.0282,0.202,0.0135,0.0911,0.0577,0.0512,0.105,0.653,0.476,0.373,0.19,0.004,0.822,0.561,0.8,0.538,0.0931,0.468,0.159,0.388,0.279,0.0964,0.148,0.224,0.0629,0.104,0.0284,0.116,0.178,0.0351,0.135,0.569,0.121,0.0182,0.429,0.081,0.545,0.837,0.192,0.876,0.497,0.558,0.41,0.554,0.00421,0.085,0.0909,0.285,0.0623,0.175,0.0945,0.119,0.348,0.0376,0.399,0.0193,0.0377,0.751,0.0319,0.17,0.957,0.0727,0.0255,0.103,0.348,0.0231,0.16,0.06,0.0242
"2","ACN",0.347,0.0105,0.0284,0.38,0.156,0.0309,0.0161,0.0631,0.377,0.0555,0.0087,0.0115,0.0229,0.0257,0.000412,0.026,0.565,0.0815,0.494,0.168,0.0597,0.0296,0.116,0.0961,0.0268,0.154,0.3,0.00605,0.0116,0.00821,0.258,0.00647,0.0594,0.1,0.0774,0.0148,0.00293,0.143,0.784,0.124,0.0662,0.0744,0.000111,0.415,0.0896,0.851,0.807,0.00178,0.0329,0.0465,0.00638,0.00551,0.12,0.00468,0.00224,0.0164,0.352,0.00379,0.257,0.0241,0.00643,0.0508,0.875,0.464,0.00652,0.183,0.0661,0.116,0.691,0.409,0.597,0.0339,0.527,0.13,0.196,0.00415,0.00802,0.0913,0.233,0.00189,0.00156,0.116,0.286,0.154,0.714,0.994,0.000146,0.00367,0.419,0.00556,0.0277,0.0587,0.0227,0.265,0.0154,0.224,0.00351,0.0152,0.000174,0.0117
"3","ADBE",0.299,0.0613,0.00955,0.359,0.121,0.0728,0.0758,0.0463,0.925,0.0366,0.00722,0.0475,0.0694,0.00358,0.00581,0.0167,0.952,0.111,0.821,0.107,0.0232,0.0171,0.16,0.0723,0.0322,0.912,0.583,0.00549,0.0699,0.00722,0.91,0.00784,0.205,0.0641,0.0293,0.0305,0.0113,0.046,0.444,0.332,0.182,0.152,0.00103,0.281,0.0916,0.566,0.32,0.0199,0.155,0.00258,0.0954,0.0707,0.0469,0.0202,0.103,0.0408,0.0837,0.00869,0.152,0.0637,0.00318,0.0583,0.263,0.454,0.00434,0.776,0.111,0.278,0.543,0.193,0.812,0.00548,0.316,0.228,0.673,0.00871,0.0691,0.0589,0.176,0.0111,0.0114,0.00254,0.157,0.0928,0.243,0.936,0.00582,0.0108,0.393,0.0306,0.11,0.641,0.0528,0.0466,0.0517,0.2,0.00115,0.00929,0.00104,0.0152
"4","AMAT",0.00433,0.000305,0.0237,0.0854,0.00424,0.0444,0.00135,0.00349,0.563,0.00293,0.00177,0.000465,0.00776,0.00499,1.98e-05,0.0269,0.00214,0.831,0.639,0.137,0.0782,0.0698,0.00118,0.000315,0.0257,0.00131,0.838,0.000388,0.00636,0.000141,0.767,1.94e-05,0.00407,0.00787,0.000659,0.00419,0.000524,0.528,0.957,0.971,0.857,0.00905,0.00852,0.468,0.00235,0.116,0.112,0.00206,0.0364,0.0873,0.0131,0.00439,0.0159,0.00524,0.000386,0.012,0.00434,0.00106,0.00294,0.00252,2.39e-05,0.0258,0.983,0.0112,0.00159,0.0521,0.00271,0.867,0.0091,0.0406,0.101,0.0136,0.362,0.937,0.00161,0.00237,0.00118,0.0754,0.0096,0.0177,0.0861,0.000819,0.209,0.0123,0.508,0.609,0.00227,0.0282,0.195,0.205,0.00312,0.00546,0.0151,0.0313,0.000332,0.0155,0.000142,0.00733,0.000761,0.0907
"5","AMD",0.376,0.0537,0.13,0.396,0.101,0.312,0.083,0.0567,0.395,0.151,0.09,0.0669,0.269,0.22,0.0167,0.0171,0.997,0.308,0.938,0.0891,0.0826,0.291,0.0291,0.107,0.0248,0.227,0.494,0.00751,0.132,0.00141,0.775,0.0371,0.214,0.0524,0.0375,0.028,0.0522,0.059,0.795,0.345,0.254,0.369,0.255,0.689,0.0121,0.442,0.213,0.0386,0.611,0.367,0.622,0.109,0.281,0.0785,0.0252,0.264,0.0655,0.027,0.266,0.0795,0.000499,0.109,0.325,0.458,0.0235,0.302,0.0126,0.436,0.458,0.249,0.481,0.0536,0.614,0.252,0.543,0.0522,0.0632,0.218,0.914,0.0777,0.305,0.00728,0.918,0.222,0.284,0.97,0.0342,0.0502,0.109,0.0266,0.0776,0.164,0.0135,0.018,0.0213,0.497,0.00994,0.047,0.0134,0.272
"6","AMZN",0.105,0.0498,0.0438,0.0136,0.125,0.309,0.109,0.107,0.221,0.172,0.0423,0.118,0.061,0.0491,0.101,0.122,0.74,0.943,0.359,0.111,0.00559,0.0447,0.0744,0.145,0.172,0.571,0.601,0.0862,0.77,0.0342,0.952,0.00785,0.238,0.0348,0.0529,0.0549,0.0681,0.367,0.147,0.69,0.916,0.21,0.0084,0.621,0.368,0.751,0.82,0.057,0.124,0.0544,0.0319,0.412,0.0142,0.0847,0.0758,0.132,0.0211,0.0386,0.205,0.361,0.126,0.0896,0.165,0.21,0.0644,0.506,0.128,0.847,0.979,0.566,0.613,0.106,0.802,0.417,0.228,0.0834,0.0818,0.0894,0.131,0.0505,0.0316,0.135,0.115,0.103,0.37,0.601,0.016,0.0385,0.354,0.0798,0.408,0.564,0.0221,0.194,0.0558,0.188,0.0326,0.0105,0.0271,0.0289
"7","ASML",0.00276,0.00117,0.0294,0.0198,0.0109,0.0603,0.0023,0.00407,0.822,0.0295,0.00193,0.00381,0.0109,0.00396,0.00192,0.0645,0.0389,0.546,0.891,0.0775,0.0501,0.014,0.00194,0.00315,0.0175,0.0086,0.898,0.0019,0.0398,0.000456,0.662,5.08e-05,0.00596,0.0184,0.00246,0.00927,0.00118,0.452,0.239,0.665,0.719,0.0136,0.004,0.754,0.00762,0.242,0.495,0.0154,0.111,0.22,0.00684,0.00762,0.00179,0.0126,0.0105,0.0178,0.00274,0.00136,0.00234,0.0375,0.000416,0.09,0.482,0.0407,0.00715,0.0872,0.0156,0.555,0.0659,0.0344,0.246,0.0165,0.835,0.773,0.00482,0.00236,0.00831,0.196,0.00544,0.0682,0.169,0.000526,0.565,0.00612,0.732,0.651,0.00163,0.0194,0.194,0.24,0.0309,0.0928,0.0389,0.0684,0.00376,0.0306,0.000153,0.0226,0.00119,0.0897
"8","AVGO",0.0369,0.000428,0.00311,0.164,0.0285,0.0944,0.00069,0.00827,0.984,0.00455,0.00101,0.00125,0.00874,0.00336,6.49e-05,0.007,0.113,0.504,0.995,0.0505,0.0824,0.0361,0.0136,0.00162,0.0147,0.124,0.496,0.000341,0.0117,1.89e-05,0.603,6.15e-05,0.0275,0.0151,0.000159,0.00325,0.00224,0.125,0.951,0.317,0.256,0.0162,0.00162,0.816,0.000778,0.439,0.719,0.00222,0.0228,0.0127,0.00988,0.00425,0.00794,0.00209,0.000865,0.0157,0.0116,0.00119,0.0745,0.00011,1.19e-05,0.0252,0.224,0.00744,0.000427,0.28,0.00537,0.405,0.203,0.000503,0.532,2.57e-05,0.944,0.27,0.0184,0.00343,0.0164,0.0189,0.0449,0.00762,0.0735,0.000322,0.00842,0.0222,0.0398,0.247,0.000339,0.0115,0.399,0.0445,0.00145,0.00923,0.00387,0.000997,0.000759,0.0295,4.82e-05,0.000703,0.000109,0.0755
"9","BABA",0.378,0.601,0.344,0.725,0.501,0.48,0.158,0.0348,0.0643,0.487,0.221,0.0405,0.0673,0.0437,0.261,0.348,0.712,0.492,0.598,0.474,0.0461,0.232,0.532,0.91,0.969,0.186,0.349,0.116,0.101,0.37,0.518,0.0424,0.0683,0.968,0.179,0.245,0.0554,0.908,0.0204,0.0297,0.346,0.82,0.0174,0.872,0.18,0.929,0.78,0.517,0.0849,0.559,0.245,0.411,0.00667,0.215,0.599,0.946,0.551,0.214,0.256,0.566,0.186,0.241,0.636,0.341,0.0962,0.176,0.346,0.758,0.801,0.659,0.986,0.608,0.775,0.818,0.9,0.165,0.0912,0.895,0.413,0.519,0.261,0.276,0.338,0.165,0.109,0.519,0.155,0.0807,0.653,0.48,0.31,0.796,0.297,0.4,0.746,0.724,0.154,0.538,0.0581,0.12
"10","CRM",0.889,0.249,0.107,0.577,0.56,0.247,0.249,0.301,0.513,0.131,0.112,0.226,0.0868,0.183,0.0102,0.17,0.67,0.223,0.89,0.0423,0.1,0.547,0.403,0.298,0.185,0.765,0.618,0.0584,0.00899,0.147,0.871,0.0247,0.612,0.396,0.0892,0.0765,0.021,0.443,0.728,0.557,0.382,0.904,0.0335,0.646,0.0787,0.371,0.368,0.188,0.322,0.0868,0.459,0.416,0.0663,0.162,0.384,0.213,0.343,0.129,0.593,0.37,0.122,0.222,0.934,0.962,0.097,0.819,0.163,0.239,0.564,0.508,0.619,0.0912,0.798,0.25,0.922,0.194,0.22,0.712,0.629,0.302,0.61,0.101,0.361,0.469,0.718,0.264,0.0769,0.244,0.123,0.0555,0.408,0.463,0.226,0.292,0.0486,0.877,0.0173,0.0545,0.08,0.064
